Experiment = Comp_FCC | seed 2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(23.7) | Exp. Target Length = 120.0 cm | Total Events = 12400.1 |        del_theta = 0.00 mrad, theta_max = 3141.6 mrad |        del_Elepton = 0.0 % , Elepton_min = 0.00 GeV, Elepton_max = 200000.00 GeV|        del_Ehadron = 0.0 %, Ehadron_min = 0.00 GeV GeV, Ehadron_max = 200000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.000000e-04    1.373824e-04    1.221640e-04   4.000000e+00         1.000000e+01         4.895313e+00        1.133635e+01         4.000000e+04         2.659435e+04        1.427841e+02                                           1.225741e-01    3.501059e-01                       0.0                 0.0                       0.0                      0.0                      2.260400e+04 
1.373824e-04    1.887392e-04    1.711862e-04   4.000000e+00         1.000000e+01         6.120256e+00        1.133635e+01         4.000000e+04         2.170721e+04        9.857596e+01                                           4.345166e-01    6.591787e-01                       0.0                 0.0                       0.0                      0.0                      4.221900e+04 
1.887392e-04    2.592944e-04    2.330798e-04   4.000000e+00         1.000000e+01         5.805696e+00        1.133635e+01         4.000000e+04         1.920667e+04        7.392899e+01                                           1.070080e+00    1.034447e+00                       0.0                 0.0                       0.0                      0.0                      5.810000e+04 
1.887392e-04    2.592944e-04    2.516851e-04   1.000000e+01         1.000000e+02         1.036047e+01        1.133635e+01         4.000000e+04         2.403488e+04        7.543922e+01                                           3.791917e-02    1.947285e-01                       0.0                 0.0                       0.0                      0.0                      1.540000e+03 
2.592944e-04    3.562248e-04    3.055401e-04   4.000000e+00         1.000000e+01         6.539947e+00        1.133635e+01         4.000000e+04         1.604219e+04        5.450284e+01                                           1.993733e+00    1.411996e+00                       0.0                 0.0                       0.0                      0.0                      6.918800e+04 
2.592944e-04    3.562248e-04    3.209367e-04   1.000000e+01         1.000000e+02         1.168253e+01        1.133635e+01         4.000000e+04         2.383709e+04        6.079817e+01                                           4.015472e-01    6.336775e-01                       0.0                 0.0                       0.0                      0.0                      4.163000e+03 
3.562248e-04    4.893901e-04    4.242159e-04   4.000000e+00         1.000000e+01         6.070350e+00        1.133635e+01         4.000000e+04         1.483193e+04        4.271760e+01                                           3.320541e+00    1.822235e+00                       0.0                 0.0                       0.0                      0.0                      7.778900e+04 
3.562248e-04    4.893901e-04    4.240433e-04   1.000000e+01         1.000000e+02         1.324678e+01        1.133635e+01         4.000000e+04         2.144536e+04        4.863564e+01                                           1.378961e+00    1.174292e+00                       0.0                 0.0                       0.0                      0.0                      8.400000e+03 
4.893901e-04    6.723358e-04    5.768485e-04   4.000000e+00         1.000000e+01         6.215425e+00        1.133635e+01         4.000000e+04         1.233737e+04        3.138165e+01                                           5.144172e+00    2.268077e+00                       0.0                 0.0                       0.0                      0.0                      8.395000e+04 
4.893901e-04    6.723358e-04    5.860881e-04   1.000000e+01         1.000000e+02         1.517810e+01        1.133635e+01         4.000000e+04         1.933138e+04        3.537146e+01                                           3.565791e+00    1.888330e+00                       0.0                 0.0                       0.0                      0.0                      1.459700e+04 
