Experiment = FASERv2FCC_wide | seed 2 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660.0 cm | Total Events = 251280441.6 |        del_theta = 0.00 mrad, theta_max = 3141.6 mrad |        del_Elepton = 0.0 % , Elepton_min = 0.00 GeV, Elepton_max = 200000.00 GeV|        del_Ehadron = 0.0 %, Ehadron_min = 0.00 GeV GeV, Ehadron_max = 200000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.887392e-04    2.592944e-04    2.296973e-04   4.000000e+00         1.000000e+01         5.390570e+00        1.133635e+01         4.000000e+04         1.503728e+04        6.808121e+01                                           1.914486e+03    4.375484e+01                       0.0                 0.0                       0.0                      0.0                      5.817800e+04 
3.562248e-04    4.893901e-04    4.350038e-04   4.000000e+00         1.000000e+01         6.257304e+00        1.133635e+01         4.000000e+04         1.277179e+04        3.949984e+01                                           1.088089e+04    1.043115e+02                       0.0                 0.0                       0.0                      0.0                      7.775200e+04 
4.893901e-04    6.723358e-04    5.573876e-04   4.000000e+00         1.000000e+01         5.457032e+00        1.133635e+01         4.000000e+04         8.705647e+03        2.858960e+01                                           2.180678e+04    1.476712e+02                       0.0                 0.0                       0.0                      0.0                      8.384000e+04 
4.893901e-04    6.723358e-04    6.342269e-04   1.000000e+01         1.000000e+02         1.469592e+01        1.133635e+01         4.000000e+04         1.437989e+04        2.913603e+01                                           6.594826e+03    8.120854e+01                       0.0                 0.0                       0.0                      0.0                      1.440900e+04 
6.723358e-04    9.236709e-04    8.038459e-04   4.000000e+00         1.000000e+01         6.082763e+00        1.133635e+01         4.000000e+04         8.678035e+03        2.133828e+01                                           4.019855e+04    2.004958e+02                       0.0                 0.0                       0.0                      0.0                      8.822000e+04 
6.723358e-04    9.236709e-04    8.175060e-04   1.000000e+01         1.000000e+02         1.464817e+01        1.133635e+01         4.000000e+04         1.458639e+04        2.521200e+01                                           1.798915e+04    1.341236e+02                       0.0                 0.0                       0.0                      0.0                      2.313800e+04 
9.236709e-04    1.268961e-03    1.118103e-03   4.000000e+00         1.000000e+01         6.621603e+00        1.133635e+01         4.000000e+04         5.903013e+03        1.387341e+01                                           6.899847e+04    2.626756e+02                       0.0                 0.0                       0.0                      0.0                      9.152900e+04 
9.236709e-04    1.268961e-03    1.084519e-03   1.000000e+01         1.000000e+02         1.863614e+01        1.133635e+01         4.000000e+04         1.364880e+04        1.809254e+01                                           4.209379e+04    2.051677e+02                       0.0                 0.0                       0.0                      0.0                      3.514800e+04 
1.268961e-03    1.743329e-03    1.514041e-03   4.000000e+00         1.000000e+01         6.508176e+00        1.133635e+01         4.000000e+04         5.067553e+03        1.003302e+01                                           1.070341e+05    3.271607e+02                       0.0                 0.0                       0.0                      0.0                      9.378000e+04 
1.268961e-03    1.743329e-03    1.551358e-03   1.000000e+01         1.000000e+02         2.044298e+01        1.133635e+01         4.000000e+04         1.063843e+04        1.189671e+01                                           8.684945e+04    2.947023e+02                       0.0                 0.0                       0.0                      0.0                      5.096000e+04 
