Experiment = FASERv | seed 1 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 100 cm | Total Events = 258.2 |    del_theta = 0.1 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 100.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
4.893901e-04    6.723358e-04    6.522737e-04   4.000000e+00         1.000000e+01         4.150569e+00        1.133635e+01         5.698000e+03         3.797597e+03        8.971427e+00                                           2.050544e-03    4.528293e-02                       0.00167299          0.351281                  0.357315                 0.220678                 5.928000e+03 
6.723358e-04    9.236709e-04    8.183728e-04   4.000000e+00         1.000000e+01         4.820344e+00        1.133635e+01         5.698000e+03         3.813452e+03        5.913432e+00                                           9.729288e-03    9.863715e-02                       0.000562975         0.1208                    0.0133534                0.267904                 1.878600e+04 
9.236709e-04    1.268961e-03    1.129216e-03   4.000000e+00         1.000000e+01         5.197947e+00        1.133635e+01         5.698000e+03         3.168094e+03        5.202037e+00                                           4.275770e-02    2.067794e-01                       0.00218246          0.0448707                 0.0997832                0.147516                 3.823500e+04 
9.236709e-04    1.268961e-03    1.041377e-03   1.000000e+01         1.000000e+02         1.006477e+01        1.133635e+01         5.698000e+03         5.392595e+03        5.956995e+00                                           3.863125e-04    1.965483e-02                       0.000223045         0.0                       0.247356                 0.387293                 1.470000e+02 
1.268961e-03    1.743329e-03    1.529372e-03   4.000000e+00         1.000000e+01         5.582710e+00        1.133635e+01         5.698000e+03         2.682900e+03        4.087576e+00                                           1.300696e-01    3.606517e-01                       0.0148194           0.0625648                 0.101046                 0.122661                 5.476800e+04 
1.268961e-03    1.743329e-03    1.564239e-03   1.000000e+01         1.000000e+02         1.077503e+01        1.133635e+01         5.698000e+03         4.162545e+03        4.619714e+00                                           7.311644e-03    8.550815e-02                       0.00249958          0.0304461                 0.0924094                0.0510435                1.224000e+03 
1.743329e-03    2.395027e-03    2.077061e-03   4.000000e+00         1.000000e+01         5.868830e+00        1.133635e+01         5.698000e+03         2.272326e+03        2.281781e+00                                           2.439934e-01    4.939569e-01                       0.0178529           0.0235876                 0.101293                 0.102453                 6.656200e+04 
1.743329e-03    2.395027e-03    2.118806e-03   1.000000e+01         1.000000e+02         1.195148e+01        1.133635e+01         5.698000e+03         3.708946e+03        2.545342e+00                                           3.261428e-02    1.805943e-01                       0.0132643           0.0141343                 0.15063                  0.0676753                3.375000e+03 
2.395027e-03    3.290345e-03    2.882347e-03   4.000000e+00         1.000000e+01         6.151122e+00        1.133635e+01         5.698000e+03         1.883556e+03        1.797578e+00                                           5.199942e-01    7.211062e-01                       0.0151056           0.0219254                 0.0277401                0.074998                 7.521200e+04 
2.395027e-03    3.290345e-03    2.926389e-03   1.000000e+01         1.000000e+02         1.338757e+01        1.133635e+01         5.698000e+03         3.136853e+03        2.158062e+00                                           1.376777e-01    3.710494e-01                       0.0194233           0.00286385                0.0523141                0.042668                 7.252000e+03 
3.290345e-03    4.520354e-03    3.929124e-03   4.000000e+00         1.000000e+01         6.291456e+00        1.133635e+01         5.698000e+03         1.558540e+03        1.440273e+00                                           1.024581e+00    1.012216e+00                       0.0911048           0.0113234                 0.0326665                0.0814383                8.162500e+04 
3.290345e-03    4.520354e-03    3.988637e-03   1.000000e+01         1.000000e+02         1.459875e+01        1.133635e+01         5.698000e+03         2.660899e+03        1.766536e+00                                           4.338068e-01    6.586401e-01                       0.013417            0.00754947                0.00505763               0.0112068                1.263000e+04 
4.520354e-03    6.210169e-03    5.313292e-03   4.000000e+00         1.000000e+01         6.424690e+00        1.133635e+01         5.698000e+03         1.324178e+03        9.018000e-01                                           1.375401e+00    1.172775e+00                       0.0191518           0.0182722                 0.0331244                0.0700836                8.616800e+04 
4.520354e-03    6.210169e-03    5.379126e-03   1.000000e+01         1.000000e+02         1.624698e+01        1.133635e+01         5.698000e+03         2.340746e+03        1.120656e+00                                           8.900860e-01    9.434437e-01                       0.0786849           0.00053106                0.0858318                0.042178                 2.083100e+04 
6.210169e-03    8.531679e-03    7.425986e-03   4.000000e+00         1.000000e+01         6.501554e+00        1.133635e+01         5.698000e+03         1.103497e+03        5.674839e-01                                           1.861332e+00    1.364306e+00                       0.0360862           0.0100097                 0.0593717                0.0453503                8.924300e+04 
6.210169e-03    8.531679e-03    7.484511e-03   1.000000e+01         1.000000e+02         1.862546e+01        1.133635e+01         5.698000e+03         2.054458e+03        7.535625e-01                                           1.842763e+00    1.357484e+00                       0.186306            0.00290612                0.115463                 0.0527424                3.182500e+04 
8.531679e-03    1.172102e-02    1.012414e-02   4.000000e+00         1.000000e+01         6.648033e+00        1.133635e+01         5.698000e+03         9.540443e+02        4.666071e-01                                           2.938074e+00    1.714081e+00                       0.318064            0.0146141                 0.0764223                0.077978                 9.177800e+04 
8.531679e-03    1.172102e-02    1.022564e-02   1.000000e+01         1.000000e+02         2.130851e+01        1.133635e+01         5.698000e+03         1.818696e+03        6.378913e-01                                           4.177709e+00    2.043944e+00                       0.228947            0.00111019                0.033261                 0.0327821                4.739600e+04 
8.531679e-03    1.172102e-02    1.125713e-02   1.000000e+02         1.000000e+03         1.060815e+02        1.133635e+01         5.698000e+03         5.258272e+03        6.423808e-01                                           9.125330e-04    3.020816e-02                       0.00036999          0.118499                  0.456127                 0.32594                  5.400000e+01 
1.172102e-02    1.610262e-02    1.375452e-02   4.000000e+00         1.000000e+01         6.723936e+00        1.133635e+01         5.698000e+03         8.332785e+02        3.054860e-01                                           3.376255e+00    1.837459e+00                       0.263914            0.00916813                0.0527685                0.0599681                9.362500e+04 
1.172102e-02    1.610262e-02    1.387831e-02   1.000000e+01         1.000000e+02         2.469363e+01        1.133635e+01         5.698000e+03         1.641331e+03        4.106838e-01                                           6.439256e+00    2.537569e+00                       0.198435            0.00291351                0.00785754               0.0404833                6.130800e+04 
1.172102e-02    1.610262e-02    1.464322e-02   1.000000e+02         1.000000e+03         1.111316e+02        1.133635e+01         5.698000e+03         4.578710e+03        4.054433e-01                                           3.471341e-02    1.863154e-01                       0.00562504          0.00506373                0.13973                  0.0290108                8.420000e+02 
1.610262e-02    2.212216e-02    1.910219e-02   4.000000e+00         1.000000e+01         6.809525e+00        1.133635e+01         5.698000e+03         7.283187e+02        1.556796e-01                                           3.061027e+00    1.749579e+00                       0.117053            0.00424254                0.0863645                0.0315328                9.474600e+04 
1.610262e-02    2.212216e-02    1.928054e-02   1.000000e+01         1.000000e+02         2.842443e+01        1.133635e+01         5.698000e+03         1.452202e+03        2.093951e-01                                           8.215937e+00    2.866346e+00                       0.849292            0.00366363                0.132389                 0.0632233                7.143200e+04 
1.610262e-02    2.212216e-02    1.989400e-02   1.000000e+02         1.000000e+03         1.189161e+02        1.133635e+01         5.698000e+03         3.820366e+03        2.233779e-01                                           1.771073e-01    4.208412e-01                       0.0511912           0.00307414                0.102523                 0.146147                 2.785000e+03 
2.212216e-02    3.039195e-02    2.595033e-02   4.000000e+00         1.000000e+01         7.323737e+00        1.133635e+01         5.698000e+03         6.702410e+02        1.303774e-01                                           3.416224e+00    1.848303e+00                       0.49892             0.00212719                0.0817137                0.115435                 8.112000e+04 
2.212216e-02    3.039195e-02    2.636770e-02   1.000000e+01         1.000000e+02         3.220735e+01        1.133635e+01         5.698000e+03         1.296864e+03        1.722480e-01                                           1.469976e+01    3.834027e+00                       1.24377             0.00103586                0.0562505                0.0464096                7.849700e+04 
2.212216e-02    3.039195e-02    2.696316e-02   1.000000e+02         1.000000e+03         1.274540e+02        1.133635e+01         5.698000e+03         3.235668e+03        1.808525e-01                                           7.828714e-01    8.848002e-01                       0.0261839           0.00337519                0.082965                 0.0618355                6.113000e+03 
3.039195e-02    4.175319e-02    3.501001e-02   4.000000e+00         1.000000e+01         8.258137e+00        1.133635e+01         5.698000e+03         6.298921e+02        9.181815e-02                                           2.236494e+00    1.495491e+00                       0.483949            0.000736881               0.0918869                0.160923                 5.199000e+04 
3.039195e-02    4.175319e-02    3.583180e-02   1.000000e+01         1.000000e+02         3.558098e+01        1.133635e+01         5.698000e+03         1.157521e+03        1.160343e-01                                           1.963716e+01    4.431383e+00                       2.3705              0.00229096                0.0919207                0.0809562                8.413600e+04 
3.039195e-02    4.175319e-02    3.649880e-02   1.000000e+02         1.000000e+03         1.378641e+02        1.133635e+01         5.698000e+03         2.734156e+03        1.174441e-01                                           2.068267e+00    1.438147e+00                       0.160678            0.000666395               0.0967653                0.0477392                1.130500e+04 
4.175319e-02    5.736153e-02    4.509108e-02   4.000000e+00         1.000000e+01         9.216398e+00        1.133635e+01         5.698000e+03         6.005203e+02        4.326712e-02                                           4.132838e-01    6.428715e-01                       0.0715871           0.00135577                0.141031                 0.170974                 1.311400e+04 
4.175319e-02    5.736153e-02    4.921083e-02   1.000000e+01         1.000000e+02         3.849184e+01        1.133635e+01         5.698000e+03         1.030107e+03        4.579178e-02                                           1.675344e+01    4.093096e+00                       1.42519             0.00266969                0.133394                 0.0635042                8.735000e+04 
4.175319e-02    5.736153e-02    4.998702e-02   1.000000e+02         1.000000e+03         1.520548e+02        1.133635e+01         5.698000e+03         2.378097e+03        4.629327e-02                                           3.113496e+00    1.764510e+00                       0.42286             0.00165558                0.123176                 0.0625922                1.831700e+04 
5.736153e-02    7.880463e-02    6.786278e-02   1.000000e+01         1.000000e+02         4.307038e+01        1.133635e+01         5.698000e+03         9.604199e+02        3.837779e-02                                           2.095507e+01    4.577671e+00                       2.15514             0.000676588               0.0617313                0.0622093                8.698500e+04 
5.736153e-02    7.880463e-02    6.887983e-02   1.000000e+02         1.000000e+03         1.698726e+02        1.133635e+01         5.698000e+03         2.110674e+03        3.784198e-02                                           6.825038e+00    2.612477e+00                       0.560795            0.000193059               0.0741071                0.0380036                2.767100e+04 
7.880463e-02    1.082637e-01    9.222675e-02   1.000000e+01         1.000000e+02         4.844717e+01        1.133635e+01         5.698000e+03         9.161359e+02        2.703299e-02                                           2.194748e+01    4.684814e+00                       4.38195             0.0016769                 0.158117                 0.124162                 8.338200e+04 
7.880463e-02    1.082637e-01    9.336078e-02   1.000000e+02         1.000000e+03         1.909921e+02        1.133635e+01         5.698000e+03         1.920769e+03        2.585294e-02                                           1.169546e+01    3.419863e+00                       2.03892             0.00101122                0.150691                 0.0917476                4.068300e+04 
1.082637e-01    1.487352e-01    1.238589e-01   1.000000e+01         1.000000e+02         5.434829e+01        1.133635e+01         5.698000e+03         8.852718e+02        1.020503e-02                                           1.210824e+01    3.479690e+00                       0.164376            0.000764553               0.0533027                0.0356557                7.764200e+04 
1.082637e-01    1.487352e-01    1.254278e-01   1.000000e+02         1.000000e+03         2.152374e+02        1.133635e+01         5.698000e+03         1.782781e+03        8.846796e-03                                           1.009609e+01    3.177434e+00                       0.443505            0.000628948               0.0846007                0.0445321                5.375300e+04 
1.082637e-01    1.487352e-01    1.351282e-01   1.000000e+03         1.000000e+04         1.107705e+03        1.133635e+01         5.698000e+03         5.044858e+03        5.100077e-03                                           1.654708e-02    1.286355e-01                       0.00389168          0.0125652                 0.0481393                0.0977304                4.140000e+02 
1.487352e-01    2.043360e-01    1.747904e-01   1.000000e+01         1.000000e+02         6.183820e+01        1.133635e+01         5.698000e+03         8.686261e+02        6.392356e-03                                           9.546201e+00    3.089693e+00                       0.963984            0.00061348                0.0496558                0.0520545                6.871200e+04 
1.487352e-01    2.043360e-01    1.770505e-01   1.000000e+02         1.000000e+03         2.469210e+02        1.133635e+01         5.698000e+03         1.657497e+03        5.845405e-03                                           1.289402e+01    3.590824e+00                       1.13299             0.00133312                0.0563905                0.019883                 6.386400e+04 
1.487352e-01    2.043360e-01    1.849825e-01   1.000000e+03         1.000000e+04         1.128921e+03        1.133635e+01         5.698000e+03         4.220519e+03        4.095927e-03                                           1.228185e-01    3.504548e-01                       0.00939626          0.00750719                0.128356                 0.169671                 1.469000e+03 
2.043360e-01    2.807216e-01    2.372474e-01   1.000000e+01         1.000000e+02         6.986203e+01        1.133635e+01         5.698000e+03         8.730316e+02        4.527558e-03                                           7.479855e+00    2.734932e+00                       1.97988             0.00223958                0.214451                 0.157201                 5.580800e+04 
2.043360e-01    2.807216e-01    2.406226e-01   1.000000e+02         1.000000e+03         2.762223e+02        1.133635e+01         5.698000e+03         1.576480e+03        4.028510e-03                                           1.620164e+01    4.025126e+00                       3.74849             0.000948323               0.202909                 0.107759                 6.997800e+04 
2.043360e-01    2.807216e-01    2.464035e-01   1.000000e+03         1.000000e+04         1.218798e+03        1.133635e+01         5.698000e+03         3.782621e+03        2.745778e-03                                           4.023186e-01    6.342859e-01                       0.085815            0.00957509                0.23488                  0.0465229                3.630000e+03 
2.807216e-01    3.856620e-01    3.102240e-01   1.000000e+01         1.000000e+02         7.795189e+01        1.133635e+01         5.698000e+03         8.656298e+02        2.107948e-03                                           2.675590e+00    1.635723e+00                       0.366369            0.000776222               0.040839                 0.0413834                3.853000e+04 
2.807216e-01    3.856620e-01    3.136640e-01   1.000000e+02         1.000000e+03         2.965950e+02        1.133635e+01         5.698000e+03         1.514609e+03        1.763222e-03                                           9.735520e+00    3.120179e+00                       0.17254             0.000291606               0.0505239                0.032281                 7.418400e+04 
2.807216e-01    3.856620e-01    3.170887e-01   1.000000e+03         1.000000e+04         1.279910e+03        1.133635e+01         5.698000e+03         3.447574e+03        1.141530e-03                                           4.570826e-01    6.760789e-01                       0.0347079           0.00160817                0.110221                 0.114596                 6.652000e+03 
3.856620e-01    5.298317e-01    4.309523e-01   1.000000e+01         1.000000e+02         8.999152e+01        1.133635e+01         5.698000e+03         9.137889e+02        4.991330e-04                                           4.213923e-01    6.491473e-01                       0.0792163           0.00353464                0.394595                 0.198329                 1.441900e+04 
3.856620e-01    5.298317e-01    4.574329e-01   1.000000e+02         1.000000e+03         3.113951e+02        1.133635e+01         5.698000e+03         1.436079e+03        4.012504e-04                                           5.148662e+00    2.269066e+00                       1.61141             0.00156074                0.345784                 0.219355                 7.744600e+04 
3.856620e-01    5.298317e-01    4.651848e-01   1.000000e+03         1.000000e+04         1.380932e+03        1.133635e+01         5.698000e+03         3.108731e+03        2.490102e-04                                           4.306631e-01    6.562492e-01                       0.0998791           0.00257841                0.309233                 0.13705                  1.047500e+04 
