Experiment = FASERv | seed 2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 80 cm | Total Events = 93.5 |        del_theta = 0.06 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
4.893901e-04    6.723358e-04    6.556337e-04   4.000000e+00         1.000000e+01         4.610200e+00        1.133635e+01         5.698000e+03         4.081644e+03        6.776289e+00                                           4.230799e-04    2.056891e-02                       0.000344508         0.2                       0.371429                 0.357143                 6.116000e+04 
6.723358e-04    9.236709e-04    8.119891e-04   4.000000e+00         1.000000e+01         4.750002e+00        1.133635e+01         5.698000e+03         3.775033e+03        5.748575e+00                                           3.721118e-03    6.100096e-02                       0.000299307         0.143478                  0.118478                 0.263043                 1.889190e+05 
9.236709e-04    1.268961e-03    1.131887e-03   4.000000e+00         1.000000e+01         5.291813e+00        1.133635e+01         5.698000e+03         3.232766e+03        4.080741e+00                                           1.668052e-02    1.291531e-01                       0.000929868         0.114425                  0.106601                 0.227139                 3.802490e+05 
9.236709e-04    1.268961e-03    1.088849e-03   1.000000e+01         1.000000e+02         1.006790e+01        1.133635e+01         5.698000e+03         5.226446e+03        5.283521e+00                                           6.616963e-05    8.134472e-03                       0.000284529         0.4                       0.8                      3.5                      1.479000e+03 
1.268961e-03    1.743329e-03    1.536535e-03   4.000000e+00         1.000000e+01         5.630507e+00        1.133635e+01         5.698000e+03         2.652249e+03        2.836402e+00                                           5.305242e-02    2.303311e-01                       0.00117701          0.0266228                 0.0196385                0.141085                 5.437300e+05 
1.268961e-03    1.743329e-03    1.605500e-03   1.000000e+01         1.000000e+02         1.132250e+01        1.133635e+01         5.698000e+03         4.338144e+03        3.624716e+00                                           1.750629e-03    4.184052e-02                       0.00123711          0.0977778                 0.0933333                0.662222                 1.199300e+04 
1.743329e-03    2.395027e-03    2.089128e-03   4.000000e+00         1.000000e+01         5.865960e+00        1.133635e+01         5.698000e+03         2.244086e+03        2.039508e+00                                           1.286676e-01    3.587027e-01                       0.00702743          0.0497708                 0.00897184               0.159921                 6.655520e+05 
1.743329e-03    2.395027e-03    2.140667e-03   1.000000e+01         1.000000e+02         1.216696e+01        1.133635e+01         5.698000e+03         3.732831e+03        2.631788e+00                                           1.369187e-02    1.170123e-01                       0.00556549          0.0524691                 0.0638889                0.233025                 3.450900e+04 
2.395027e-03    3.290345e-03    2.860383e-03   4.000000e+00         1.000000e+01         6.153171e+00        1.133635e+01         5.698000e+03         1.875411e+03        1.474846e+00                                           2.588810e-01    5.088035e-01                       0.0112798           0.0281895                 0.0398416                0.137762                 7.524530e+05 
2.395027e-03    3.290345e-03    2.923647e-03   1.000000e+01         1.000000e+02         1.334497e+01        1.133635e+01         5.698000e+03         3.167994e+03        1.950753e+00                                           5.982394e-02    2.445893e-01                       0.0139904           0.0149399                 0.0601351                0.16509                  7.250900e+04 
3.290345e-03    4.520354e-03    3.930462e-03   4.000000e+00         1.000000e+01         6.373224e+00        1.133635e+01         5.698000e+03         1.577547e+03        1.036405e+00                                           4.497333e-01    6.706216e-01                       0.0203046           0.0276789                 0.0173661                0.122003                 8.150310e+05 
