Experiment = FASERv2 | seed 1 | Neutrino = nunubar | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 21975.8 |    del_theta = 1.0 mrad, theta_max = 463.6 mrad |        del_Elepton = 15.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10 TeV|    del_Ehadron = 50.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10 TeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
6.210169e-03    8.531679e-03    7.439427e-03   4.000000e+00         1.000000e+01         6.460676e+00        1.133635e+01         5.698000e+03         9.915442e+02        5.343084e-01                                           1.065177e+02    1.032074e+01                       11.944              0.0436224                 0.016896                 0.0763409                8.962600e+04 
8.531679e-03    1.172102e-02    1.012542e-02   4.000000e+00         1.000000e+01         6.637983e+00        1.133635e+01         5.698000e+03         8.802454e+02        4.453724e-01                                           1.664352e+02    1.290098e+01                       37.9506             0.161704                  0.0703072                0.140037                 9.199000e+04 
8.531679e-03    1.172102e-02    1.024990e-02   1.000000e+01         1.000000e+02         1.865824e+01        1.133635e+01         5.698000e+03         1.528920e+03        5.959213e-01                                           2.243174e+02    1.497723e+01                       25.6192             0.0876129                 0.0216145                0.0385932                4.730700e+04 
1.172102e-02    1.610262e-02    1.377840e-02   4.000000e+00         1.000000e+01         6.697602e+00        1.133635e+01         5.698000e+03         7.610322e+02        2.925322e-01                                           1.891853e+02    1.375446e+01                       36.0605             0.137716                  0.0609582                0.119066                 9.375000e+04 
1.172102e-02    1.610262e-02    1.391085e-02   1.000000e+01         1.000000e+02         2.154842e+01        1.133635e+01         5.698000e+03         1.382505e+03        3.996385e-01                                           3.663307e+02    1.913977e+01                       37.002              0.0636469                 0.0248152                0.0869082                6.113400e+04 
1.610262e-02    2.212216e-02    1.912784e-02   4.000000e+00         1.000000e+01         6.793289e+00        1.133635e+01         5.698000e+03         6.711586e+02        1.516014e-01                                           1.733070e+02    1.316461e+01                       16.6657             0.00813801                0.0587686                0.0465706                9.483200e+04 
1.610262e-02    2.212216e-02    1.930032e-02   1.000000e+01         1.000000e+02         2.536312e+01        1.133635e+01         5.698000e+03         1.244724e+03        2.078082e-01                                           4.679731e+02    2.163269e+01                       14.2575             0.0743153                 0.0889784                0.0299955                7.128700e+04 
2.212216e-02    3.039195e-02    2.594423e-02   4.000000e+00         1.000000e+01         7.319793e+00        1.133635e+01         5.698000e+03         6.218798e+02        1.271919e-01                                           1.904350e+02    1.379982e+01                       48.2641             0.101603                  0.0331687                0.17869                  8.111100e+04 
2.212216e-02    3.039195e-02    2.639341e-02   1.000000e+01         1.000000e+02         2.942074e+01        1.133635e+01         5.698000e+03         1.128618e+03        1.714668e-01                                           8.624887e+02    2.936816e+01                       114.493             0.0543702                 0.0250334                0.0784098                7.869900e+04 
3.039195e-02    4.175319e-02    3.501753e-02   4.000000e+00         1.000000e+01         8.271729e+00        1.133635e+01         5.698000e+03         5.870214e+02        8.998814e-02                                           1.301653e+02    1.140900e+01                       41.8                0.10484                   0.060542                 0.240923                 5.195600e+04 
3.039195e-02    4.175319e-02    3.586584e-02   1.000000e+01         1.000000e+02         3.371375e+01        1.133635e+01         5.698000e+03         1.027363e+03        1.160626e-01                                           1.168666e+03    3.418576e+01                       202.524             0.0767683                 0.0617717                0.136256                 8.425000e+04 
4.175319e-02    5.736153e-02    4.932632e-02   1.000000e+01         1.000000e+02         3.791224e+01        1.133635e+01         5.698000e+03         9.202927e+02        4.676857e-02                                           1.048305e+03    3.237753e+01                       5.23331             0.0848152                 0.107105                 0.0432303                8.779000e+04 
4.175319e-02    5.736153e-02    5.036416e-02   1.000000e+02         1.000000e+03         1.385054e+02        1.133635e+01         5.698000e+03         2.014954e+03        4.767928e-02                                           1.799890e+02    1.341600e+01                       39.7993             0.0820769                 0.0885392                0.133712                 1.847700e+04 
5.736153e-02    7.880463e-02    6.801697e-02   1.000000e+01         1.000000e+02         4.332841e+01        1.133635e+01         5.698000e+03         8.439031e+02        3.893566e-02                                           1.418578e+03    3.766402e+01                       203.606             0.0215153                 0.0211425                0.107089                 8.790000e+04 
5.736153e-02    7.880463e-02    6.923478e-02   1.000000e+02         1.000000e+03         1.526177e+02        1.133635e+01         5.698000e+03         1.732403e+03        3.870357e-02                                           4.477827e+02    2.116088e+01                       6.00672             0.0132815                 0.0183404                0.0378398                2.890600e+04 
7.880463e-02    1.082637e-01    9.244713e-02   1.000000e+01         1.000000e+02         4.907372e+01        1.133635e+01         5.698000e+03         7.776680e+02        2.722053e-02                                           1.560832e+03    3.950737e+01                       345.959             0.059647                  0.0844593                0.172389                 8.475500e+04 
7.880463e-02    1.082637e-01    9.384779e-02   1.000000e+02         1.000000e+03         1.706019e+02        1.133635e+01         5.698000e+03         1.517453e+03        2.611904e-02                                           8.511730e+02    2.917487e+01                       121.881             0.0459377                 0.0820528                0.0868022                4.328000e+04 
1.082637e-01    1.487352e-01    1.240883e-01   1.000000e+01         1.000000e+02         5.502596e+01        1.133635e+01         5.698000e+03         7.213225e+02        1.021462e-02                                           9.764603e+02    3.124836e+01                       52.658              0.0501007                 0.0759053                0.0623496                7.917300e+04 
1.082637e-01    1.487352e-01    1.259192e-01   1.000000e+02         1.000000e+03         1.913588e+02        1.133635e+01         5.698000e+03         1.353076e+03        8.732833e-03                                           8.638225e+02    2.939086e+01                       19.8275             0.0539492                 0.0818181                0.0354817                5.803700e+04 
1.487352e-01    2.043360e-01    1.753789e-01   1.000000e+01         1.000000e+02         6.265457e+01        1.133635e+01         5.698000e+03         6.631817e+02        6.595013e-03                                           8.530093e+02    2.920632e+01                       113.669             0.0110657                 0.00292117               0.114762                 7.032100e+04 
1.487352e-01    2.043360e-01    1.779578e-01   1.000000e+02         1.000000e+03         2.237632e+02        1.133635e+01         5.698000e+03         1.204418e+03        5.950769e-03                                           1.335718e+03    3.654748e+01                       107.646             0.00143573                0.0154964                0.0482294                6.880800e+04 
2.043360e-01    2.807216e-01    2.382586e-01   1.000000e+01         1.000000e+02         7.049469e+01        1.133635e+01         5.698000e+03         6.267430e+02        4.718421e-03                                           7.490377e+02    2.736855e+01                       210.994             0.0447694                 0.118205                 0.227754                 5.783100e+04 
2.043360e-01    2.807216e-01    2.418805e-01   1.000000e+02         1.000000e+03         2.580209e+02        1.133635e+01         5.698000e+03         1.092982e+03        4.080420e-03                                           1.956390e+03    4.423110e+01                       425.499             0.0259151                 0.103831                 0.152534                 7.703700e+04 
2.807216e-01    3.856620e-01    3.132371e-01   1.000000e+01         1.000000e+02         7.856265e+01        1.133635e+01         5.698000e+03         5.941859e+02        2.264964e-03                                           3.143679e+02    1.773042e+01                       61.803              0.00764566                0.0276744                0.15284                  4.001900e+04 
2.807216e-01    3.856620e-01    3.175895e-01   1.000000e+02         1.000000e+03         2.864984e+02        1.133635e+01         5.698000e+03         1.003355e+03        1.773754e-03                                           1.493815e+03    3.864991e+01                       128.135             0.0260377                 0.0294662                0.098934                 8.273900e+04 
3.856620e-01    5.298317e-01    4.596321e-01   1.000000e+02         1.000000e+03         3.182195e+02        1.133635e+01         5.698000e+03         9.072703e+02        5.298299e-04                                           1.144267e+03    3.382702e+01                       23.8667             0.024787                  0.065224                 0.0266131                8.718500e+04 
3.856620e-01    5.298317e-01    4.684064e-01   1.000000e+03         1.000000e+04         1.323867e+03        1.133635e+01         5.698000e+03         2.081561e+03        3.297084e-04                                           1.115037e+02    1.055953e+01                       23.3034             0.000481972               0.0449403                0.218827                 1.648500e+04 
5.298317e-01    7.278954e-01    6.236388e-01   1.000000e+02         1.000000e+03         3.644178e+02        1.133635e+01         5.698000e+03         8.368088e+02        3.673999e-04                                           1.364070e+03    3.693331e+01                       371.876             0.0164799                 0.138382                 0.205119                 8.839800e+04 
5.298317e-01    7.278954e-01    6.360497e-01   1.000000e+03         1.000000e+04         1.432947e+03        1.133635e+01         5.698000e+03         1.768108e+03        2.208344e-04                                           2.418173e+02    1.555048e+01                       33.269              0.0105955                 0.114273                 0.0253302                2.594800e+04 
7.278954e-01    1.000000e+00    8.214600e-01   1.000000e+02         1.000000e+03         4.228828e+02        1.133635e+01         5.698000e+03         7.988761e+02        1.723650e-04                                           7.902035e+02    2.811056e+01                       191.684             0.0114196                 0.115707                 0.210616                 8.585600e+04 
7.278954e-01    1.000000e+00    8.323582e-01   1.000000e+03         1.000000e+04         1.541664e+03        1.133635e+01         5.698000e+03         1.560769e+03        9.943358e-05                                           2.288653e+02    1.512830e+01                       58.1185             0.000258609               0.0715224                0.296509                 3.932700e+04 
