Experiment = FASERv2 | seed 1 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 4706.8 |        del_theta = 1.0 mrad, theta_max = 463.6 mrad |        del_Elepton = 15.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 50.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
1.610262e-02    2.212216e-02    1.929818e-02   1.000000e+01         1.000000e+02         2.526733e+01        1.133635e+01         5.698000e+03         1.245261e+03        9.894919e-02                                           1.269994e+02    1.126940e+01                       7.19743             0.0984356                 0.11167                  0.0295528                7.120400e+04 
2.212216e-02    3.039195e-02    2.639428e-02   1.000000e+01         1.000000e+02         2.928568e+01        1.133635e+01         5.698000e+03         1.128785e+03        8.119676e-02                                           2.447338e+02    1.564397e+01                       42.6674             0.0630054                 0.0406075                0.101256                 7.860700e+04 
3.039195e-02    4.175319e-02    3.585983e-02   1.000000e+01         1.000000e+02         3.355234e+01        1.133635e+01         5.698000e+03         1.028279e+03        5.428817e-02                                           3.389153e+02    1.840965e+01                       81.0707             0.0999278                 0.0948449                0.194497                 8.403100e+04 
4.175319e-02    5.736153e-02    4.931542e-02   1.000000e+01         1.000000e+02         3.771495e+01        1.133635e+01         5.698000e+03         9.226381e+02        2.059777e-02                                           2.986380e+02    1.728115e+01                       1.50557             0.119143                  0.143091                 0.0245308                8.789000e+04 
5.736153e-02    7.880463e-02    6.803287e-02   1.000000e+01         1.000000e+02         4.313938e+01        1.133635e+01         5.698000e+03         8.465719e+02        1.708690e-02                                           4.117932e+02    2.029269e+01                       87.46               0.0240156                 0.0397886                0.161525                 8.782300e+04 
7.880463e-02    1.082637e-01    9.247621e-02   1.000000e+01         1.000000e+02         4.892780e+01        1.133635e+01         5.698000e+03         7.808169e+02        1.174680e-02                                           4.472017e+02    2.114714e+01                       149.97              0.0791244                 0.143677                 0.268641                 8.474200e+04 
7.880463e-02    1.082637e-01    9.388067e-02   1.000000e+02         1.000000e+03         1.705440e+02        1.133635e+01         5.698000e+03         1.520597e+03        1.120045e-02                                           1.790407e+02    1.338061e+01                       34.4959             0.0549057                 0.126978                 0.098022                 4.318100e+04 
1.082637e-01    1.487352e-01    1.242905e-01   1.000000e+01         1.000000e+02         5.494680e+01        1.133635e+01         5.698000e+03         7.223780e+02        4.001579e-03                                           2.454050e+02    1.566541e+01                       13.1974             0.0819462                 0.114928                 0.0605996                7.933500e+04 
1.082637e-01    1.487352e-01    1.261711e-01   1.000000e+02         1.000000e+03         1.916132e+02        1.133635e+01         5.698000e+03         1.352839e+03        3.355764e-03                                           1.636421e+02    1.279227e+01                       9.13053             0.088285                  0.130799                 0.0333664                5.791900e+04 
1.487352e-01    2.043360e-01    1.753085e-01   1.000000e+01         1.000000e+02         6.260907e+01        1.133635e+01         5.698000e+03         6.624706e+02        2.301652e-03                                           1.965016e+02    1.401790e+01                       27.3522             0.0289991                 0.00432378               0.127462                 7.029100e+04 
1.487352e-01    2.043360e-01    1.779092e-01   1.000000e+02         1.000000e+03         2.241909e+02        1.133635e+01         5.698000e+03         1.204857e+03        2.095921e-03                                           2.350373e+02    1.533093e+01                       18.8345             0.00548058                0.0220389                0.0355409                6.887400e+04 
2.043360e-01    2.807216e-01    2.380216e-01   1.000000e+01         1.000000e+02         7.047048e+01        1.133635e+01         5.698000e+03         6.261095e+02        1.607226e-03                                           1.706461e+02    1.306316e+01                       64.0645             0.049678                  0.185508                 0.301009                 5.803500e+04 
2.043360e-01    2.807216e-01    2.416995e-01   1.000000e+02         1.000000e+03         2.584634e+02        1.133635e+01         5.698000e+03         1.092758e+03        1.399447e-03                                           3.703844e+02    1.924537e+01                       112.994             0.0299432                 0.156857                 0.205555                 7.717700e+04 
2.807216e-01    3.856620e-01    3.143037e-01   1.000000e+02         1.000000e+03         2.870660e+02        1.133635e+01         5.698000e+03         1.003422e+03        5.902498e-04                                           2.233416e+02    1.494462e+01                       28.2937             0.0480981                 0.0569237                0.173715                 8.281000e+04 
5.298317e-01    7.278954e-01    6.236416e-01   1.000000e+02         1.000000e+03         3.657681e+02        1.133635e+01         5.698000e+03         8.299120e+02        4.905852e-05                                           1.014666e+02    1.007307e+01                       21.2607             0.0136305                 0.153844                 0.186413                 8.836400e+04 
