Experiment = FASERv2 | seed 1 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 17940.2 |        del_theta = 1.0 mrad, theta_max = 463.6 mrad |        del_Elepton = 15.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 50.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
8.531679e-03    1.172102e-02    1.011069e-02   4.000000e+00         1.000000e+01         6.725848e+00        1.133635e+01         5.698000e+03         1.015427e+03        2.424222e-01                                           1.175916e+02    1.084397e+01                       36.1233             0.213559                  0.0952754                0.197748                 9.177700e+04 
8.531679e-03    1.172102e-02    1.022468e-02   1.000000e+01         1.000000e+02         2.139023e+01        1.133635e+01         5.698000e+03         1.818585e+03        3.253955e-01                                           1.760369e+02    1.326789e+01                       26.701              0.11777                   0.0262033                0.0541218                4.715600e+04 
1.172102e-02    1.610262e-02    1.376139e-02   4.000000e+00         1.000000e+01         6.762529e+00        1.133635e+01         5.698000e+03         8.875737e+02        1.599868e-01                                           1.299404e+02    1.139914e+01                       32.6064             0.177323                  0.0837915                0.162187                 9.363000e+04 
1.172102e-02    1.610262e-02    1.388903e-02   1.000000e+01         1.000000e+02         2.486862e+01        1.133635e+01         5.698000e+03         1.652377e+03        2.119288e-01                                           2.723666e+02    1.650353e+01                       35.9273             0.0847943                 0.0308163                0.11273                  6.123700e+04 
1.610262e-02    2.212216e-02    1.910135e-02   4.000000e+00         1.000000e+01         6.850798e+00        1.133635e+01         5.698000e+03         7.949665e+02        8.390822e-02                                           1.196875e+02    1.094018e+01                       14.9184             0.0052809                 0.0810112                0.0609363                9.479800e+04 
1.610262e-02    2.212216e-02    1.927587e-02   1.000000e+01         1.000000e+02         2.915833e+01        1.133635e+01         5.698000e+03         1.490154e+03        1.111723e-01                                           3.574057e+02    1.890518e+01                       13.8007             0.093588                  0.111441                 0.00568525               7.130100e+04 
2.212216e-02    3.039195e-02    2.595659e-02   4.000000e+00         1.000000e+01         7.344190e+00        1.133635e+01         5.698000e+03         7.303355e+02        7.037104e-02                                           1.323722e+02    1.150531e+01                       44.0664             0.147168                  0.0442947                0.2768                   8.130700e+04 
2.212216e-02    3.039195e-02    2.634851e-02   1.000000e+01         1.000000e+02         3.332808e+01        1.133635e+01         5.698000e+03         1.344963e+03        9.200319e-02                                           6.317905e+02    2.513544e+01                       110.967             0.0693729                 0.03176                  0.103771                 7.841600e+04 
3.039195e-02    4.175319e-02    3.585099e-02   1.000000e+01         1.000000e+02         3.721460e+01        1.133635e+01         5.698000e+03         1.213779e+03        6.276964e-02                                           8.417639e+02    2.901317e+01                       190.479             0.102757                  0.0772809                0.189325                 8.414100e+04 
4.175319e-02    5.736153e-02    4.931496e-02   1.000000e+01         1.000000e+02         4.102819e+01        1.133635e+01         5.698000e+03         1.077149e+03        2.628495e-02                                           7.579132e+02    2.753022e+01                       4.87982             0.109314                  0.142187                 0.0244322                8.770300e+04 
4.175319e-02    5.736153e-02    5.019246e-02   1.000000e+02         1.000000e+03         1.521643e+02        1.133635e+01         5.698000e+03         2.322285e+03        2.637209e-02                                           1.485518e+02    1.218818e+01                       38.7288             0.106574                  0.105354                 0.15329                  1.864000e+04 
5.736153e-02    7.880463e-02    6.799267e-02   1.000000e+01         1.000000e+02         4.571709e+01        1.133635e+01         5.698000e+03         9.816039e+02        2.202073e-02                                           1.020063e+03    3.193843e+01                       189.355             0.0293523                 0.0254854                0.151988                 8.796300e+04 
