Experiment = FASERv2 | seed 2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660 cm | Total Events = 23246.9 |        del_theta = 0.06 mrad, theta_max = 50.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
4.893901e-04    6.723358e-04    6.611405e-04   4.000000e+00         1.000000e+01         4.700152e+00        1.133635e+01         5.698000e+03         4.147648e+03        6.491233e+00                                           8.084617e-02    2.843346e-01                       0.0768039           0.283333                  0.333333                 0.35                     6.116000e+04 
6.723358e-04    9.236709e-04    8.146637e-04   4.000000e+00         1.000000e+01         4.779138e+00        1.133635e+01         5.698000e+03         3.762460e+03        5.493265e+00                                           7.158092e-01    8.460551e-01                       0.0638424           0.139189                  0.0635135                0.27027                  1.889790e+05 
9.236709e-04    1.268961e-03    1.132588e-03   4.000000e+00         1.000000e+01         5.288469e+00        1.133635e+01         5.698000e+03         3.199851e+03        3.918067e+00                                           3.274092e+00    1.809445e+00                       0.210609            0.111798                  0.114888                 0.23118                  3.817020e+05 
9.236709e-04    1.268961e-03    1.088849e-03   1.000000e+01         1.000000e+02         1.006790e+01        1.133635e+01         5.698000e+03         5.226446e+03        5.108454e+00                                           1.210645e-02    1.100293e-01                       0.03753             0.4                       0.9                      4.1                      1.491000e+03 
1.268961e-03    1.743329e-03    1.535807e-03   4.000000e+00         1.000000e+01         5.597488e+00        1.133635e+01         5.698000e+03         2.631512e+03        2.754375e+00                                           1.068396e+01    3.268632e+00                       0.24786             0.0324602                 0.0304022                0.152572                 5.452810e+05 
1.268961e-03    1.743329e-03    1.603597e-03   1.000000e+01         1.000000e+02         1.131497e+01        1.133635e+01         5.698000e+03         4.353726e+03        3.542399e+00                                           3.466517e-01    5.887713e-01                       0.248575            0.097561                  0.153659                 0.570732                 1.189400e+04 
1.743329e-03    2.395027e-03    2.092436e-03   4.000000e+00         1.000000e+01         5.828715e+00        1.133635e+01         5.698000e+03         2.220580e+03        1.987467e+00                                           2.654920e+01    5.152591e+00                       1.14537             0.0455302                 0.0154904                0.16008                  6.646670e+05 
1.743329e-03    2.395027e-03    2.150065e-03   1.000000e+01         1.000000e+02         1.218216e+01        1.133635e+01         5.698000e+03         3.721691e+03        2.563963e+00                                           2.730605e+00    1.652454e+00                       1.10912             0.0483636                 0.0578182                0.269091                 3.488200e+04 
2.395027e-03    3.290345e-03    2.861446e-03   4.000000e+00         1.000000e+01         6.125787e+00        1.133635e+01         5.698000e+03         1.849973e+03        1.447041e+00                                           5.514475e+01    7.425951e+00                       2.01418             0.0288897                 0.0336867                0.137855                 7.517280e+05 
2.395027e-03    3.290345e-03    2.922748e-03   1.000000e+01         1.000000e+02         1.331634e+01        1.133635e+01         5.698000e+03         3.149143e+03        1.919906e+00                                           1.184854e+01    3.442171e+00                       2.66087             0.0117747                 0.0584471                0.161007                 7.212400e+04 
3.290345e-03    4.520354e-03    3.932190e-03   4.000000e+00         1.000000e+01         6.352311e+00        1.133635e+01         5.698000e+03         1.555616e+03        1.022813e+00                                           9.846282e+01    9.922844e+00                       5.9815              0.0298953                 0.0130903                0.129708                 8.151250e+05 
3.290345e-03    4.520354e-03    3.961696e-03   1.000000e+01         1.000000e+02         1.446569e+01        1.133635e+01         5.698000e+03         2.668084e+03        1.359780e+00                                           3.830218e+01    6.188876e+00                       4.49198             0.0068735                 0.0479005                0.0636801                1.283850e+05 
4.520354e-03    6.210169e-03    5.388843e-03   4.000000e+00         1.000000e+01         6.467038e+00        1.133635e+01         5.698000e+03         1.312874e+03        7.055557e-01                                           1.559543e+02    1.248817e+01                       9.89393             0.0210205                 0.00682638               0.10949                  8.609300e+05 
4.520354e-03    6.210169e-03    5.448555e-03   1.000000e+01         1.000000e+02         1.600655e+01        1.133635e+01         5.698000e+03         2.290636e+03        9.271716e-01                                           9.648274e+01    9.822563e+00                       5.56493             0.00538045                0.0342884                0.013414                 2.087200e+05 
6.210169e-03    8.531679e-03    7.384477e-03   4.000000e+00         1.000000e+01         6.583809e+00        1.133635e+01         5.698000e+03         1.095096e+03        4.704071e-01                                           2.231889e+02    1.493951e+01                       12.6924             0.0144066                 0.00748314               0.082676                 8.949050e+05 
6.210169e-03    8.531679e-03    7.448337e-03   1.000000e+01         1.000000e+02         1.818424e+01        1.133635e+01         5.698000e+03         2.014495e+03        6.225182e-01                                           2.056453e+02    1.434034e+01                       6.73178             0.00210532                0.0386608                0.00606591               3.214130e+05 
8.531679e-03    1.172102e-02    1.009093e-02   4.000000e+00         1.000000e+01         6.690378e+00        1.133635e+01         5.698000e+03         9.348085e+02        3.077181e-01                                           2.939082e+02    1.714375e+01                       19.735              0.0115542                 0.0223712                0.06898                  9.191610e+05 
8.531679e-03    1.172102e-02    1.019669e-02   1.000000e+01         1.000000e+02         2.073814e+01        1.133635e+01         5.698000e+03         1.773903e+03        4.068893e-01                                           3.837838e+02    1.959040e+01                       1.47831             0.000957718               0.0161181                0.0180362                4.714840e+05 
8.531679e-03    1.172102e-02    1.163010e-02   1.000000e+02         1.000000e+03         1.014366e+02        1.133635e+01         5.698000e+03         5.301565e+03        4.167919e-01                                           3.050827e-02    1.746662e-01                       0.157118            0.6                       0.65                     4.0                      5.370000e+02 
1.172102e-02    1.610262e-02    1.383823e-02   4.000000e+00         1.000000e+01         6.770906e+00        1.133635e+01         5.698000e+03         8.189238e+02        2.101172e-01                                           3.558884e+02    1.886501e+01                       32.5355             0.0125041                 0.0538201                0.0594497                9.367680e+05 
1.172102e-02    1.610262e-02    1.396199e-02   1.000000e+01         1.000000e+02         2.426331e+01        1.133635e+01         5.698000e+03         1.597142e+03        2.775268e-01                                           6.450218e+02    2.539728e+01                       20.9448             0.00080559                0.00312941               0.0275202                6.110100e+05 
1.172102e-02    1.610262e-02    1.479183e-02   1.000000e+02         1.000000e+03         1.109467e+02        1.133635e+01         5.698000e+03         4.617092e+03        2.777177e-01                                           1.254537e+00    1.120061e+00                       2.0514              0.0453704                 0.140741                 1.57315                  8.172000e+03 
1.610262e-02    2.212216e-02    1.894794e-02   4.000000e+00         1.000000e+01         6.871934e+00        1.133635e+01         5.698000e+03         7.219609e+02        1.389795e-01                                           3.976198e+02    1.994041e+01                       52.4745             0.00901235                0.0846914                0.0726906                9.480710e+05 
1.610262e-02    2.212216e-02    1.912659e-02   1.000000e+01         1.000000e+02         2.790140e+01        1.133635e+01         5.698000e+03         1.432665e+03        1.869290e-01                                           1.001252e+03    3.164257e+01                       62.8735             0.00090451                0.0260191                0.0365263                7.115370e+05 
