Experiment = FASERv2FCC_deep | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 6600 cm | Total Events = 220078104.0 |    del_theta = 0.1 mrad, theta_max = 3141.6 mrad |        del_Elepton = 30.0 % , Elepton_min = 0.0 GeV, Elepton_max = 200000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 0.0 GeV, Ehadron_max = 200000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.373824e-04    1.887392e-04    1.696143e-04   4.000000e+00         1.000000e+01         5.748787e+00        1.133635e+01         4.000000e+04         2.013730e+04        7.805703e+01                                           2.651331e+03    5.149107e+01                       1339.64             0.242865                  0.409623                 0.285161                 4.227800e+04 
1.887392e-04    2.592944e-04    2.319100e-04   4.000000e+00         1.000000e+01         5.408390e+00        1.133635e+01         4.000000e+04         1.622989e+04        5.508329e+01                                           9.296362e+03    9.641764e+01                       1194.42             0.110314                  0.12491                  0.130256                 5.818000e+04 
2.592944e-04    3.562248e-04    3.082074e-04   4.000000e+00         1.000000e+01         5.872163e+00        1.133635e+01         4.000000e+04         1.349050e+04        4.050087e+01                                           2.371166e+04    1.539859e+02                       2304.43             0.0502649                 0.154874                 0.121064                 6.939700e+04 
3.562248e-04    4.893901e-04    4.259653e-04   4.000000e+00         1.000000e+01         6.111908e+00        1.133635e+01         4.000000e+04         1.168909e+04        3.019862e+01                                           5.001682e+04    2.236444e+02                       4484.79             0.0714129                 0.118532                 0.12055                  7.762200e+04 
3.562248e-04    4.893901e-04    4.237815e-04   1.000000e+01         1.000000e+02         1.307202e+01        1.133635e+01         4.000000e+04         1.973402e+04        4.173812e+01                                           1.017935e+04    1.008928e+02                       2271.1              0.0706193                 0.0993932                0.136263                 8.242000e+03 
4.893901e-04    6.723358e-04    5.839066e-04   4.000000e+00         1.000000e+01         6.234651e+00        1.133635e+01         4.000000e+04         9.391986e+03        2.175165e+01                                           9.230546e+04    3.038181e+02                       6639.99             0.0567935                 0.13436                  0.0995118                8.387900e+04 
4.893901e-04    6.723358e-04    5.986011e-04   1.000000e+01         1.000000e+02         1.450308e+01        1.133635e+01         4.000000e+04         1.648987e+04        2.923621e+01                                           3.676040e+04    1.917300e+02                       5466.31             0.0360117                 0.129048                 0.0848106                1.435100e+04 
6.723358e-04    9.236709e-04    7.978666e-04   4.000000e+00         1.000000e+01         6.336615e+00        1.133635e+01         4.000000e+04         7.637409e+03        1.550912e+01                                           1.564898e+05    3.955879e+02                       14100.2             0.0396044                 0.149417                 0.0884819                8.816300e+04 
6.723358e-04    9.236709e-04    8.129446e-04   1.000000e+01         1.000000e+02         1.552470e+01        1.133635e+01         4.000000e+04         1.405792e+04        2.108793e+01                                           9.423859e+04    3.069830e+02                       9595.13             0.0407402                 0.0907089                0.053724                 2.330200e+04 
9.236709e-04    1.268961e-03    1.105489e-03   4.000000e+00         1.000000e+01         6.543528e+00        1.133635e+01         4.000000e+04         6.345154e+03        1.086751e+01                                           2.395234e+05    4.894113e+02                       20591.7             0.0486519                 0.131681                 0.0989386                9.136600e+04 
9.236709e-04    1.268961e-03    1.110542e-03   1.000000e+01         1.000000e+02         1.746583e+01        1.133635e+01         4.000000e+04         1.235438e+04        1.496678e+01                                           2.099697e+05    4.582245e+02                       28053.3             0.0135991                 0.135732                 0.0689998                3.533700e+04 
1.268961e-03    1.743329e-03    1.509695e-03   4.000000e+00         1.000000e+01         6.590931e+00        1.133635e+01         4.000000e+04         5.339705e+03        7.551809e+00                                           3.436105e+05    5.861830e+02                       30604.5             0.0502225                 0.122272                 0.0835861                9.372100e+04 
1.268961e-03    1.743329e-03    1.517824e-03   1.000000e+01         1.000000e+02         2.039343e+01        1.133635e+01         4.000000e+04         1.084774e+04        1.042117e+01                                           4.229041e+05    6.503108e+02                       49307.8             0.00905284                0.143592                 0.0715732                5.095500e+04 
1.743329e-03    2.395027e-03    2.063196e-03   4.000000e+00         1.000000e+01         6.696998e+00        1.133635e+01         4.000000e+04         4.308127e+03        5.347633e+00                                           4.608605e+05    6.788671e+02                       48101.8             0.0288529                 0.137542                 0.083434                 9.554900e+04 
1.743329e-03    2.395027e-03    2.083633e-03   1.000000e+01         1.000000e+02         2.344866e+01        1.133635e+01         4.000000e+04         9.537532e+03        7.438609e+00                                           7.788119e+05    8.825032e+02                       63150.6             0.00795533                0.112757                 0.0598619                6.421200e+04 
1.743329e-03    2.395027e-03    2.230175e-03   1.000000e+02         1.000000e+03         1.118228e+02        1.133635e+01         4.000000e+04         2.896060e+04        8.399331e+00                                           1.697883e+03    4.120538e+01                       910.248             0.117006                  0.11802                  0.264223                 1.144000e+03 
2.395027e-03    3.290345e-03    2.825303e-03   4.000000e+00         1.000000e+01         6.784216e+00        1.133635e+01         4.000000e+04         3.825391e+03        3.846393e+00                                           5.753935e+05    7.585470e+02                       83380.8             0.028762                  0.164265                 0.0943057                9.668500e+04 
2.395027e-03    3.290345e-03    2.855051e-03   1.000000e+01         1.000000e+02         2.707414e+01        1.133635e+01         4.000000e+04         8.404558e+03        5.389211e+00                                           1.330597e+06    1.153515e+03                       1.04743e+05         0.00440151                0.114794                 0.0621717                7.408100e+04 
3.290345e-03    4.520354e-03    3.900256e-03   4.000000e+00         1.000000e+01         6.856871e+00        1.133635e+01         4.000000e+04         3.178947e+03        2.627416e+00                                           6.999424e+05    8.366256e+02                       70479.0             0.0262143                 0.119897                 0.0716771                9.755800e+04 
3.290345e-03    4.520354e-03    3.913902e-03   1.000000e+01         1.000000e+02         3.017311e+01        1.133635e+01         4.000000e+04         7.327068e+03        3.797402e+00                                           2.107369e+06    1.451678e+03                       1.0204e+05          0.00603695                0.0781911                0.0504492                8.125700e+04 
