Experiment = FASERv2FCC_deep | seed 2 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 6600.0 cm | Total Events = 145592636.7 |        del_theta = 0.06 mrad, theta_max = 3141.6 mrad |        del_Elepton = 30.0 % , Elepton_min = 0.00 GeV, Elepton_max = 200000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 0.00 GeV GeV, Ehadron_max = 200000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.000000e-04    1.373824e-04    1.293257e-04   4.000000e+00         1.000000e+01         6.805179e+00        1.133635e+01         4.000000e+04         3.153415e+04        5.810983e+01                                           3.703903e+02    1.924553e+01                       234.581             0.633333                  0.466667                 0.466667                 2.272200e+04 
1.373824e-04    1.887392e-04    1.661777e-04   4.000000e+00         1.000000e+01         5.610705e+00        1.133635e+01         4.000000e+04         2.094261e+04        3.954289e+01                                           1.771995e+03    4.209507e+01                       1107.5              0.3375                    0.5                      0.2375                   4.241700e+04 
1.887392e-04    2.592944e-04    2.298988e-04   4.000000e+00         1.000000e+01         5.392243e+00        1.133635e+01         4.000000e+04         1.688781e+04        2.780199e+01                                           6.047950e+03    7.776857e+01                       604.795             0.140909                  0.172727                 0.181818                 5.833700e+04 
2.592944e-04    3.562248e-04    3.077807e-04   4.000000e+00         1.000000e+01         5.932399e+00        1.133635e+01         4.000000e+04         1.411695e+04        2.045351e+01                                           1.512821e+04    1.229968e+02                       1928.85             0.07                      0.216667                 0.155                    6.953400e+04 
3.562248e-04    4.893901e-04    4.258496e-04   4.000000e+00         1.000000e+01         6.146684e+00        1.133635e+01         4.000000e+04         1.190675e+04        1.515188e+01                                           3.163822e+04    1.778714e+02                       4263.74             0.0769531                 0.152344                 0.15625                  7.774500e+04 
3.562248e-04    4.893901e-04    4.236335e-04   1.000000e+01         1.000000e+02         1.309361e+01        1.133635e+01         4.000000e+04         2.017355e+04        2.097730e+01                                           6.921871e+03    8.319778e+01                       1979.41             0.0912281                 0.133333                 0.191228                 8.312000e+03 
4.893901e-04    6.723358e-04    5.833660e-04   4.000000e+00         1.000000e+01         6.291074e+00        1.133635e+01         4.000000e+04         9.713256e+03        1.094962e+01                                           5.668738e+04    2.380911e+02                       5481.73             0.0859794                 0.193196                 0.125361                 8.373300e+04 
4.893901e-04    6.723358e-04    5.976438e-04   1.000000e+01         1.000000e+02         1.503206e+01        1.133635e+01         4.000000e+04         1.753392e+04        1.477380e+01                                           2.384226e+04    1.544094e+02                       4235.81             0.0462766                 0.155319                 0.0404255                1.425800e+04 
6.723358e-04    9.236709e-04    7.967536e-04   4.000000e+00         1.000000e+01         6.440724e+00        1.133635e+01         4.000000e+04         8.027709e+03        7.836712e+00                                           9.443331e+04    3.073000e+02                       12127.5             0.0502584                 0.218217                 0.0883721                8.841400e+04 
6.723358e-04    9.236709e-04    8.123636e-04   1.000000e+01         1.000000e+02         1.604261e+01        1.133635e+01         4.000000e+04         1.485176e+04        1.063978e+01                                           6.063397e+04    2.462397e+02                       8068.13             0.0551724                 0.120284                 0.0395538                2.324800e+04 
9.236709e-04    1.268961e-03    1.105234e-03   4.000000e+00         1.000000e+01         6.615133e+00        1.133635e+01         4.000000e+04         6.748457e+03        5.495589e+00                                           1.421467e+05    3.770235e+02                       17977.7             0.0648133                 0.188216                 0.118257                 9.147200e+04 
9.236709e-04    1.268961e-03    1.110086e-03   1.000000e+01         1.000000e+02         1.806591e+01        1.133635e+01         4.000000e+04         1.297817e+04        7.544306e+00                                           1.334810e+05    3.653505e+02                       23687.6             0.0192913                 0.184449                 0.0146654                3.536700e+04 
1.268961e-03    1.743329e-03    1.509847e-03   4.000000e+00         1.000000e+01         6.633756e+00        1.133635e+01         4.000000e+04         5.700419e+03        3.818908e+00                                           2.005957e+05    4.478792e+02                       26388.6             0.0702703                 0.175088                 0.0853702                9.379500e+04 
1.268961e-03    1.743329e-03    1.516701e-03   1.000000e+01         1.000000e+02         2.120648e+01        1.133635e+01         4.000000e+04         1.148471e+04        5.263855e+00                                           2.675436e+05    5.172461e+02                       40000.4             0.0128431                 0.197059                 0.0106863                5.083700e+04 
1.743329e-03    2.395027e-03    2.059372e-03   4.000000e+00         1.000000e+01         6.757850e+00        1.133635e+01         4.000000e+04         4.662417e+03        2.714849e+00                                           2.678427e+05    5.175352e+02                       40739.0             0.042968                  0.196758                 0.0575799                9.548800e+04 
1.743329e-03    2.395027e-03    2.081638e-03   1.000000e+01         1.000000e+02         2.457650e+01        1.133635e+01         4.000000e+04         1.019101e+04        3.767648e+00                                           4.761313e+05    6.900227e+02                       52265.6             0.0107069                 0.15842                  0.0258316                6.430100e+04 
