Experiment = FLArE100 | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 101251.5 |    del_theta = 15.0 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 2.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
4.893901e-04    6.723358e-04    6.617051e-04   4.000000e+00         1.000000e+01         4.546018e+00        1.133635e+01         5.698000e+03         3.808884e+03        1.310436e+01                                           3.835254e-01    6.192943e-01                       1.87794             4.35591                   0.796712                 0.320876                 6.740600e+04 
6.723358e-04    9.236709e-04    8.168385e-04   4.000000e+00         1.000000e+01         4.888297e+00        1.133635e+01         5.698000e+03         3.775577e+03        1.174788e+01                                           2.166081e+00    1.471761e+00                       3.21416             0.91616                   0.0821835                0.180974                 2.021000e+05 
9.236709e-04    1.268961e-03    1.125548e-03   4.000000e+00         1.000000e+01         5.183578e+00        1.133635e+01         5.698000e+03         3.141296e+03        8.276560e+00                                           8.286508e+00    2.878630e+00                       7.37627             0.634728                  0.0587963                0.183105                 3.978140e+05 
9.236709e-04    1.268961e-03    1.088849e-03   1.000000e+01         1.000000e+02         1.006790e+01        1.133635e+01         5.698000e+03         5.226446e+03        1.061566e+01                                           1.049572e-01    3.239710e-01                       0.0625831           0.452033                  0.452033                 0.540079                 1.796000e+03 
1.268961e-03    1.743329e-03    1.539127e-03   4.000000e+00         1.000000e+01         5.498416e+00        1.133635e+01         5.698000e+03         2.447140e+03        5.599422e+00                                           2.472224e+01    4.972146e+00                       21.4501             0.724508                  0.125542                 0.132741                 5.620500e+05 
1.268961e-03    1.743329e-03    1.585547e-03   1.000000e+01         1.000000e+02         1.147084e+01        1.133635e+01         5.698000e+03         4.390212e+03        7.574591e+00                                           1.489776e+00    1.220564e+00                       0.570845            0.184103                  0.129978                 0.159294                 1.303800e+04 
1.743329e-03    2.395027e-03    2.099970e-03   4.000000e+00         1.000000e+01         5.685436e+00        1.133635e+01         5.698000e+03         2.016423e+03        3.900692e+00                                           6.305140e+01    7.940491e+00                       33.531              0.429523                  0.0880479                0.112218                 6.807910e+05 
1.743329e-03    2.395027e-03    2.167817e-03   1.000000e+01         1.000000e+02         1.225287e+01        1.133635e+01         5.698000e+03         3.667016e+03        5.282116e+00                                           7.801696e+00    2.793152e+00                       2.81661             0.159687                  0.094628                 0.0591425                3.690500e+04 
2.395027e-03    3.290345e-03    2.865988e-03   4.000000e+00         1.000000e+01         5.958039e+00        1.133635e+01         5.698000e+03         1.631942e+03        2.800015e+00                                           1.408346e+02    1.186738e+01                       43.3411             0.267311                  0.0697342                0.0946216                7.672960e+05 
2.395027e-03    3.290345e-03    2.933168e-03   1.000000e+01         1.000000e+02         1.309883e+01        1.133635e+01         5.698000e+03         2.979564e+03        3.898771e+00                                           2.941947e+01    5.423972e+00                       5.09951             0.0774303                 0.0952893                0.0601229                7.587500e+04 
3.290345e-03    4.520354e-03    3.946281e-03   4.000000e+00         1.000000e+01         6.139914e+00        1.133635e+01         5.698000e+03         1.333154e+03        1.956061e+00                                           2.802131e+02    1.673957e+01                       36.2937             0.106673                  0.0557623                0.0950793                8.304460e+05 
