Experiment = FLArE100 | seed 2 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 34839.3 |        del_theta = 15.00 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 0.01 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
4.520354e-03    6.210169e-03    5.404017e-03   4.000000e+00         1.000000e+01         6.327016e+00        1.133635e+01         5.698000e+03         1.131674e+03        3.428304e-01                                           1.441299e+02    1.200541e+01                       3.36173             0.0366642                 0.0557329                0.137409                 8.758060e+05 
6.210169e-03    8.531679e-03    7.401193e-03   4.000000e+00         1.000000e+01         6.451422e+00        1.133635e+01         5.698000e+03         9.212612e+02        2.309510e-01                                           2.272061e+02    1.507336e+01                       17.4573             0.0749193                 0.108302                 0.0919937                9.083440e+05 
6.210169e-03    8.531679e-03    7.473988e-03   1.000000e+01         1.000000e+02         1.852431e+01        1.133635e+01         5.698000e+03         1.973567e+03        3.194015e-01                                           1.621951e+02    1.273559e+01                       33.5124             0.250372                  0.0796675                0.00713558               3.318130e+05 
8.531679e-03    1.172102e-02    1.010833e-02   4.000000e+00         1.000000e+01         6.557291e+00        1.133635e+01         5.698000e+03         7.717801e+02        1.538972e-01                                           3.263240e+02    1.806444e+01                       70.9845             0.211102                  0.0567447                0.0846875                9.318560e+05 
8.531679e-03    1.172102e-02    1.020564e-02   1.000000e+01         1.000000e+02         2.031682e+01        1.133635e+01         5.698000e+03         1.649630e+03        2.098047e-01                                           3.161666e+02    1.778107e+01                       97.2296             0.326784                  0.0780876                0.00509864               4.839460e+05 
1.172102e-02    1.610262e-02    1.384925e-02   4.000000e+00         1.000000e+01         6.629320e+00        1.133635e+01         5.698000e+03         6.515645e+02        1.070004e-01                                           4.275603e+02    2.067753e+01                       136.955             0.318258                  0.0228113                0.0793032                9.479170e+05 
1.172102e-02    1.610262e-02    1.397486e-02   1.000000e+01         1.000000e+02         2.287770e+01        1.133635e+01         5.698000e+03         1.447002e+03        1.449763e-01                                           5.607113e+02    2.367934e+01                       209.451             0.379797                  0.0558317                0.0222708                6.214700e+05 
1.610262e-02    2.212216e-02    1.898925e-02   4.000000e+00         1.000000e+01         6.730734e+00        1.133635e+01         5.698000e+03         5.648139e+02        7.280553e-02                                           5.195650e+02    2.279397e+01                       204.234             0.397413                  0.0031386                0.0629859                9.593230e+05 
1.610262e-02    2.212216e-02    1.914552e-02   1.000000e+01         1.000000e+02         2.557434e+01        1.133635e+01         5.698000e+03         1.268325e+03        9.906750e-02                                           9.100800e+02    3.016753e+01                       401.861             0.438875                  0.0250561                0.0240279                7.209560e+05 
2.212216e-02    3.039195e-02    2.606921e-02   4.000000e+00         1.000000e+01         6.791644e+00        1.133635e+01         5.698000e+03         5.012834e+02        4.768149e-02                                           5.803657e+02    2.409078e+01                       267.178             0.469478                  0.0325255                0.0530925                9.671160e+05 
2.212216e-02    3.039195e-02    2.626657e-02   1.000000e+01         1.000000e+02         2.846195e+01        1.133635e+01         5.698000e+03         1.099672e+03        6.502206e-02                                           1.354483e+03    3.680330e+01                       668.055             0.480951                  0.00410402               0.0379712                7.912310e+05 
