Experiment = FLArE100 | seed 2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 14830.4 |        del_theta = 15.00 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 0.01 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
4.520354e-03    6.210169e-03    5.405913e-03   4.000000e+00         1.000000e+01         6.285613e+00        1.133635e+01         5.698000e+03         1.090401e+03        3.253640e-01                                           1.005342e+02    1.002668e+01                       17.0994             0.170853                  0.0400519                0.14056                  8.759310e+05 
6.210169e-03    8.531679e-03    7.402717e-03   4.000000e+00         1.000000e+01         6.422511e+00        1.133635e+01         5.698000e+03         8.922922e+02        2.171639e-01                                           1.594528e+02    1.262746e+01                       42.4922             0.263229                  0.061278                 0.106701                 9.082810e+05 
8.531679e-03    1.172102e-02    1.011335e-02   4.000000e+00         1.000000e+01         6.533115e+00        1.133635e+01         5.698000e+03         7.492498e+02        1.423436e-01                                           2.264210e+02    1.504729e+01                       85.5325             0.374475                  0.0281514                0.0924799                9.314790e+05 
8.531679e-03    1.172102e-02    1.020908e-02   1.000000e+01         1.000000e+02         1.898396e+01        1.133635e+01         5.698000e+03         1.518501e+03        1.935553e-01                                           2.005925e+02    1.416307e+01                       82.6866             0.424868                  0.0542574                0.00567658               4.834840e+05 
1.172102e-02    1.610262e-02    1.385561e-02   4.000000e+00         1.000000e+01         6.631391e+00        1.133635e+01         5.698000e+03         6.390524e+02        9.740067e-02                                           2.935980e+02    1.713470e+01                       138.096             0.46715                   0.0175072                0.0840704                9.481040e+05 
1.172102e-02    1.610262e-02    1.397880e-02   1.000000e+01         1.000000e+02         2.163388e+01        1.133635e+01         5.698000e+03         1.336024e+03        1.312330e-01                                           3.586365e+02    1.893770e+01                       170.006             0.47472                   0.0324427                0.0196955                6.216990e+05 
1.610262e-02    2.212216e-02    1.898567e-02   4.000000e+00         1.000000e+01         6.731485e+00        1.133635e+01         5.698000e+03         5.503119e+02        6.467575e-02                                           3.502382e+02    1.871465e+01                       187.136             0.53353                   0.0514615                0.0607107                9.594320e+05 
1.610262e-02    2.212216e-02    1.913786e-02   1.000000e+01         1.000000e+02         2.451182e+01        1.133635e+01         5.698000e+03         1.184366e+03        8.811898e-02                                           5.829973e+02    2.414534e+01                       307.738             0.518749                  0.00388383               0.0302207                7.200150e+05 
2.212216e-02    3.039195e-02    2.606674e-02   4.000000e+00         1.000000e+01         6.796201e+00        1.133635e+01         5.698000e+03         4.952436e+02        4.103119e-02                                           3.789790e+02    1.946738e+01                       225.843             0.597354                  0.106123                 0.0553119                9.668040e+05 
2.212216e-02    3.039195e-02    2.626653e-02   1.000000e+01         1.000000e+02         2.769068e+01        1.133635e+01         5.698000e+03         1.047410e+03        5.654620e-02                                           8.506553e+02    2.916600e+01                       485.854             0.555917                  0.0394492                0.0440043                7.907030e+05 
3.039195e-02    4.175319e-02    3.582463e-02   4.000000e+00         1.000000e+01         6.858362e+00        1.133635e+01         5.698000e+03         4.405636e+02        2.444465e-02                                           3.734516e+02    1.932490e+01                       238.644             0.644141                  0.151574                 0.0348203                9.719270e+05 
3.039195e-02    4.175319e-02    3.605192e-02   1.000000e+01         1.000000e+02         3.109655e+01        1.133635e+01         5.698000e+03         9.452742e+02        3.483901e-02                                           1.100593e+03    3.317518e+01                       653.878             0.571004                  0.0617113                0.044216                 8.419030e+05 
