Experiment = AdvSND | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 50 cm | Total Events = 2311.8 |    del_theta = 0.1 mrad, theta_max = 150.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 20.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 20.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
4.893901e-04    6.723358e-04    6.571445e-04   4.000000e+00         1.000000e+01         4.636998e+00        1.133635e+01         5.698000e+03         4.054560e+03        1.265668e+01                                           2.528626e-03    5.028545e-02                       0.00267831          0.228051                  0.385251                 0.317493                 6.625100e+04 
6.723358e-04    9.236709e-04    8.105373e-04   4.000000e+00         1.000000e+01         4.739877e+00        1.133635e+01         5.698000e+03         3.665095e+03        1.083428e+01                                           2.204783e-02    1.484851e-01                       0.00222031          0.07634                   0.0913674                0.141131                 1.999250e+05 
9.236709e-04    1.268961e-03    1.137748e-03   4.000000e+00         1.000000e+01         5.186888e+00        1.133635e+01         5.698000e+03         3.081113e+03        7.654939e+00                                           1.159026e-01    3.404448e-01                       0.00550913          0.0726247                 0.0478663                0.115844                 3.947870e+05 
9.236709e-04    1.268961e-03    1.120080e-03   1.000000e+01         1.000000e+02         1.103368e+01        1.133635e+01         5.698000e+03         5.426135e+03        1.028917e+01                                           4.354497e-04    2.086743e-02                       0.000288944         0.0879385                 0.33923                  0.566898                 1.839000e+03 
1.268961e-03    1.743329e-03    1.544457e-03   4.000000e+00         1.000000e+01         5.403081e+00        1.133635e+01         5.698000e+03         2.406309e+03        5.236912e+00                                           4.417610e-01    6.646510e-01                       0.0237404           0.0346993                 0.0232746                0.104974                 5.585180e+05 
1.268961e-03    1.743329e-03    1.580761e-03   1.000000e+01         1.000000e+02         1.161528e+01        1.133635e+01         5.698000e+03         4.467738e+03        7.213053e+00                                           1.045949e-02    1.022717e-01                       0.00506406          0.0845003                 0.17174                  0.274287                 1.313300e+04 
1.743329e-03    2.395027e-03    2.099683e-03   4.000000e+00         1.000000e+01         5.646626e+00        1.133635e+01         5.698000e+03         1.996087e+03        3.729823e+00                                           1.308734e+00    1.143999e+00                       0.0273794           0.0243645                 0.0434578                0.100408                 6.788890e+05 
1.743329e-03    2.395027e-03    2.163223e-03   1.000000e+01         1.000000e+02         1.223677e+01        1.133635e+01         5.698000e+03         3.647271e+03        5.014709e+00                                           8.418762e-02    2.901510e-01                       0.0351968           0.0723118                 0.0559801                0.21371                  3.674100e+04 
2.395027e-03    3.290345e-03    2.870975e-03   4.000000e+00         1.000000e+01         5.943010e+00        1.133635e+01         5.698000e+03         1.633336e+03        2.722293e+00                                           3.105414e+00    1.762218e+00                       0.0347722           0.0195987                 0.05116                  0.0895875                7.657660e+05 
2.395027e-03    3.290345e-03    2.927754e-03   1.000000e+01         1.000000e+02         1.316203e+01        1.133635e+01         5.698000e+03         2.998899e+03        3.728143e+00                                           4.286944e-01    6.547476e-01                       0.127166            0.0188834                 0.0863807                0.171249                 7.516600e+04 
