Experiment = FASERv | seed 1 | Neutrino = -12 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 100 cm | Total Events = 35.6 |        del_theta = 0.1 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
4.893901e-04    6.723358e-04    6.316394e-04   4.000000e+00         1.000000e+01         4.627708e+00        1.133635e+01         5.698000e+03         4.425195e+03        4.842140e+00                                           2.954418e-04    1.718842e-02                       0.000295442         0.166667                  0.458333                 0.0833333                5.928000e+03 
6.723358e-04    9.236709e-04    8.180896e-04   4.000000e+00         1.000000e+01         5.009413e+00        1.133635e+01         5.698000e+03         4.015951e+03        2.956759e+00                                           1.617774e-03    4.022156e-02                       0.000114388         0.104377                  0.043771                 0.252525                 1.872500e+04 
9.236709e-04    1.268961e-03    1.126585e-03   4.000000e+00         1.000000e+01         5.372765e+00        1.133635e+01         5.698000e+03         3.327293e+03        2.600183e+00                                           7.631005e-03    8.735562e-02                       0.00034551          0.0554254                 0.0640125                0.184231                 3.822400e+04 
9.236709e-04    1.268961e-03    1.166985e-03   1.000000e+01         1.000000e+02         1.066135e+01        1.133635e+01         5.698000e+03         5.314971e+03        2.932489e+00                                           4.272226e-05    6.536227e-03                       3.20417e-05         0.25                      0.0833333                0.583333                 1.260000e+02 
1.268961e-03    1.743329e-03    1.524625e-03   4.000000e+00         1.000000e+01         5.701207e+00        1.133635e+01         5.698000e+03         2.815487e+03        2.047829e+00                                           2.401441e-02    1.549658e-01                       0.0031935           0.0886551                 0.130729                 0.170548                 5.461900e+04 
1.268961e-03    1.743329e-03    1.568923e-03   1.000000e+01         1.000000e+02         1.162454e+01        1.133635e+01         5.698000e+03         4.470236e+03        2.281835e+00                                           1.120868e-03    3.347937e-02                       0.000412084         0.0245098                 0.0245098                0.372549                 1.231000e+03 
1.743329e-03    2.395027e-03    2.071974e-03   4.000000e+00         1.000000e+01         5.953539e+00        1.133635e+01         5.698000e+03         2.368492e+03        1.145536e+00                                           4.471833e-02    2.114671e-01                       0.00375375          0.0323736                 0.135654                 0.146111                 6.620300e+04 
1.743329e-03    2.395027e-03    2.119266e-03   1.000000e+01         1.000000e+02         1.241505e+01        1.133635e+01         5.698000e+03         3.908456e+03        1.251259e+00                                           5.524308e-03    7.432569e-02                       0.00370239          0.0106007                 0.240283                 0.223793                 3.274000e+03 
2.395027e-03    3.290345e-03    2.878850e-03   4.000000e+00         1.000000e+01         6.235170e+00        1.133635e+01         5.698000e+03         1.971635e+03        9.047541e-01                                           9.319071e-02    3.052715e-01                       0.00337809          0.0383035                 0.046057                 0.129556                 7.519700e+04 
2.395027e-03    3.290345e-03    2.921605e-03   1.000000e+01         1.000000e+02         1.383345e+01        1.133635e+01         5.698000e+03         3.300209e+03        1.075820e+00                                           2.446652e-02    1.564178e-01                       0.00567147          0.004662                  0.128723                 0.13986                  7.310000e+03 
