Experiment = FASERv2 | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660 cm | Total Events = 25876.1 |    del_theta = 0.1 mrad, theta_max = 50.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 100.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
3.290345e-03    4.520354e-03    3.926821e-03   4.000000e+00         1.000000e+01         6.393031e+00        1.133635e+01         5.698000e+03         1.618560e+03        2.118842e+00                                           1.040737e+02    1.020165e+01                       2.2256              0.0191694                 0.0309712                0.0650712                8.139330e+05 
4.520354e-03    6.210169e-03    5.383836e-03   4.000000e+00         1.000000e+01         6.520302e+00        1.133635e+01         5.698000e+03         1.370403e+03        1.470325e+00                                           1.531748e+02    1.237638e+01                       4.30241             0.0145847                 0.0199691                0.0532852                8.616290e+05 
4.520354e-03    6.210169e-03    5.436975e-03   1.000000e+01         1.000000e+02         1.660576e+01        1.133635e+01         5.698000e+03         2.415808e+03        1.904432e+00                                           1.218569e+02    1.103888e+01                       4.33763             0.00377586                0.0362994                0.0194485                2.089250e+05 
6.210169e-03    8.531679e-03    7.374344e-03   4.000000e+00         1.000000e+01         6.674316e+00        1.133635e+01         5.698000e+03         1.163050e+03        9.902928e-01                                           2.037678e+02    1.427473e+01                       3.82483             0.0104006                 0.0270838                0.0349582                8.947800e+05 
6.210169e-03    8.531679e-03    7.439214e-03   1.000000e+01         1.000000e+02         1.900168e+01        1.133635e+01         5.698000e+03         2.138141e+03        1.284700e+00                                           2.440860e+02    1.562325e+01                       4.93051             0.00107787                0.0348886                0.0205447                3.213050e+05 
8.531679e-03    1.172102e-02    1.007720e-02   4.000000e+00         1.000000e+01         6.769972e+00        1.133635e+01         5.698000e+03         1.006819e+03        6.501783e-01                                           2.498883e+02    1.580786e+01                       4.95125             0.00793131                0.0152034                0.0222576                9.188740e+05 
8.531679e-03    1.172102e-02    1.019185e-02   1.000000e+01         1.000000e+02         2.182012e+01        1.133635e+01         5.698000e+03         1.886421e+03        8.452956e-01                                           4.325341e+02    2.079745e+01                       1.8572              0.00120198                0.0237027                0.0199931                4.725700e+05 
1.172102e-02    1.610262e-02    1.382216e-02   4.000000e+00         1.000000e+01         6.831597e+00        1.133635e+01         5.698000e+03         8.967347e+02        4.461697e-01                                           2.850416e+02    1.688318e+01                       9.64978             0.0115061                 0.0199492                0.0303508                9.370800e+05 
1.172102e-02    1.610262e-02    1.394320e-02   1.000000e+01         1.000000e+02         2.553737e+01        1.133635e+01         5.698000e+03         1.705832e+03        5.829765e-01                                           6.920958e+02    2.630771e+01                       10.9051             0.000887743               0.0133824                0.0197648                6.103610e+05 
1.610262e-02    2.212216e-02    1.892794e-02   4.000000e+00         1.000000e+01         6.918514e+00        1.133635e+01         5.698000e+03         7.978476e+02        2.968502e-01                                           3.052116e+02    1.747031e+01                       17.7152             0.00566121                0.0333244                0.0416026                9.483240e+05 
1.610262e-02    2.212216e-02    1.910689e-02   1.000000e+01         1.000000e+02         2.944546e+01        1.133635e+01         5.698000e+03         1.537978e+03        3.964516e-01                                           1.026356e+03    3.203679e+01                       35.5946             0.000652287               0.0111236                0.0254086                7.112440e+05 
2.212216e-02    3.039195e-02    2.580248e-02   4.000000e+00         1.000000e+01         7.407235e+00        1.133635e+01         5.698000e+03         7.465851e+02        1.942355e-01                                           2.604168e+02    1.613743e+01                       25.4099             0.00355741                0.0398423                0.0690446                8.099810e+05 
2.212216e-02    3.039195e-02    2.623510e-02   1.000000e+01         1.000000e+02         3.342646e+01        1.133635e+01         5.698000e+03         1.373836e+03        2.575566e-01                                           1.393876e+03    3.733465e+01                       75.2412             0.000382217               0.0259962                0.0355997                7.859820e+05 
3.039195e-02    4.175319e-02    3.519008e-02   4.000000e+00         1.000000e+01         8.311930e+00        1.133635e+01         5.698000e+03         7.027980e+02        1.232930e-01                                           1.583224e+02    1.258262e+01                       22.9115             0.00188296                0.0317311                0.0994061                5.190360e+05 
3.039195e-02    4.175319e-02    3.600961e-02   1.000000e+01         1.000000e+02         3.714540e+01        1.133635e+01         5.698000e+03         1.223376e+03        1.602073e-01                                           1.712677e+03    4.138450e+01                       106.608             0.00057262                0.0341694                0.0393607                8.402020e+05 
