Experiment = FASERv2 | seed 1 | Neutrino = -12 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660 cm | Total Events = 7623.7 |        del_theta = 0.1 mrad, theta_max = 50.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
8.531679e-03    1.172102e-02    1.022453e-02   1.000000e+01         1.000000e+02         2.207672e+01        1.133635e+01         5.698000e+03         1.902663e+03        3.166545e-01                                           1.247744e+02    1.117024e+01                       9.34847             0.00295554                0.0549878                0.03274                  4.709700e+04 
1.172102e-02    1.610262e-02    1.386610e-02   1.000000e+01         1.000000e+02         2.555947e+01        1.133635e+01         5.698000e+03         1.717437e+03        2.030515e-01                                           1.931600e+02    1.389820e+01                       10.095              0.00315705                0.0220993                0.0665935                6.100800e+04 
1.610262e-02    2.212216e-02    1.926930e-02   1.000000e+01         1.000000e+02         2.964983e+01        1.133635e+01         5.698000e+03         1.534625e+03        1.025110e-01                                           2.386925e+02    1.544968e+01                       30.6439             0.00512634                0.171888                 0.019818                 7.137100e+04 
2.212216e-02    3.039195e-02    2.635500e-02   1.000000e+01         1.000000e+02         3.350234e+01        1.133635e+01         5.698000e+03         1.371646e+03        8.427116e-02                                           4.230898e+02    2.056915e+01                       55.7912             0.0009839                 0.0929125                0.049393                 7.863100e+04 
3.039195e-02    4.175319e-02    3.580883e-02   1.000000e+01         1.000000e+02         3.714728e+01        1.133635e+01         5.698000e+03         1.233308e+03        5.646467e-02                                           5.667365e+02    2.380623e+01                       105.144             0.00192363                0.146268                 0.0969954                8.413600e+04 
4.175319e-02    5.736153e-02    4.923963e-02   1.000000e+01         1.000000e+02         4.065489e+01        1.133635e+01         5.698000e+03         1.093473e+03        2.134237e-02                                           4.600731e+02    2.144931e+01                       48.5745             0.00310945                0.16664                  0.0430906                8.789900e+04 
5.736153e-02    7.880463e-02    6.795821e-02   1.000000e+01         1.000000e+02         4.574688e+01        1.133635e+01         5.698000e+03         9.956914e+02        1.766251e-02                                           6.067033e+02    2.463135e+01                       99.7625             4.49584e-05               0.112552                 0.0686319                8.788300e+04 
5.736153e-02    7.880463e-02    6.893357e-02   1.000000e+02         1.000000e+03         1.756406e+02        1.133635e+01         5.698000e+03         2.121514e+03        1.726156e-02                                           2.149895e+02    1.466252e+01                       27.7092             0.00136645                0.117733                 0.00561954               2.900900e+04 
7.880463e-02    1.082637e-01    9.236488e-02   1.000000e+01         1.000000e+02         5.095343e+01        1.133635e+01         5.698000e+03         9.127302e+02        1.212923e-02                                           6.475748e+02    2.544749e+01                       197.516             0.000693927               0.257674                 0.130127                 8.472700e+04 
7.880463e-02    1.082637e-01    9.359078e-02   1.000000e+02         1.000000e+03         1.977449e+02        1.133635e+01         5.698000e+03         1.863034e+03        1.144065e-02                                           3.922046e+02    1.980416e+01                       104.501             0.00134766                0.238794                 0.0727713                4.334600e+04 
1.082637e-01    1.487352e-01    1.241354e-01   1.000000e+01         1.000000e+02         5.638523e+01        1.133635e+01         5.698000e+03         8.465871e+02        4.152933e-03                                           3.371620e+02    1.836197e+01                       9.80492             0.000624684               0.083502                 0.0648722                7.932600e+04 
1.082637e-01    1.487352e-01    1.258188e-01   1.000000e+02         1.000000e+03         2.237518e+02        1.133635e+01         5.698000e+03         1.658959e+03        3.467040e-03                                           3.278699e+02    1.810718e+01                       26.2643             0.000902876               0.138223                 0.00631457               5.813200e+04 
1.487352e-01    2.043360e-01    1.751258e-01   1.000000e+01         1.000000e+02         6.341884e+01        1.133635e+01         5.698000e+03         7.812794e+02        2.359219e-03                                           2.669039e+02    1.633720e+01                       24.6156             0.000190424               0.0471945                0.0361873                7.031600e+04 
1.487352e-01    2.043360e-01    1.773284e-01   1.000000e+02         1.000000e+03         2.573209e+02        1.133635e+01         5.698000e+03         1.480261e+03        2.122855e-03                                           4.394767e+02    2.096370e+01                       39.2915             0.000136493               0.0446077                0.0227389                6.847200e+04 
2.043360e-01    2.807216e-01    2.376761e-01   1.000000e+01         1.000000e+02         7.075607e+01        1.133635e+01         5.698000e+03         7.488432e+02        1.648708e-03                                           2.220784e+02    1.490230e+01                       79.1866             0.00103066                0.322858                 0.158298                 5.784500e+04 
2.043360e-01    2.807216e-01    2.409818e-01   1.000000e+02         1.000000e+03         2.913964e+02        1.133635e+01         5.698000e+03         1.363789e+03        1.431067e-03                                           5.755453e+02    2.399052e+01                       189.614             0.000282529               0.294196                 0.10235                  7.593100e+04 
2.807216e-01    3.856620e-01    3.137624e-01   1.000000e+02         1.000000e+03         3.164822e+02        1.133635e+01         5.698000e+03         1.277185e+03        6.131149e-04                                           3.060842e+02    1.749526e+01                       5.38547             8.36745e-05               0.0683246                0.0197241                8.126900e+04 
3.856620e-01    5.298317e-01    4.579058e-01   1.000000e+02         1.000000e+03         3.364387e+02        1.133635e+01         5.698000e+03         1.180366e+03        7.480171e-05                                           1.009491e+02    1.004734e+01                       111.66              0.000415583               1.10914                  0.348394                 8.463700e+04 
5.298317e-01    7.278954e-01    6.213002e-01   1.000000e+02         1.000000e+03         3.744766e+02        1.133635e+01         5.698000e+03         1.130381e+03        5.405580e-05                                           1.135788e+02    1.065734e+01                       1.42804             0.000165747               0.0465986                0.0951152                8.490300e+04 
