Experiment = FLArE100 | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 52582.4 |    del_theta = 15.0 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 2.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
3.290345e-03    4.520354e-03    3.943832e-03   4.000000e+00         1.000000e+01         6.172463e+00        1.133635e+01         5.698000e+03         1.280770e+03        1.886120e+00                                           1.273124e+02    1.128328e+01                       18.7603             0.18625                   0.0245985                0.0804993                3.512790e+05 
4.520354e-03    6.210169e-03    5.395721e-03   4.000000e+00         1.000000e+01         6.340895e+00        1.133635e+01         5.698000e+03         1.058456e+03        1.306146e+00                                           2.179075e+02    1.476169e+01                       12.299              0.0789499                 0.0203777                0.0739195                3.521020e+05 
6.210169e-03    8.531679e-03    7.393780e-03   4.000000e+00         1.000000e+01         6.513196e+00        1.133635e+01         5.698000e+03         8.775166e+02        8.806746e-01                                           3.298556e+02    1.816193e+01                       27.7608             0.0614702                 0.0152857                0.0569829                3.513720e+05 
6.210169e-03    8.531679e-03    7.472386e-03   1.000000e+01         1.000000e+02         1.687260e+01        1.133635e+01         5.698000e+03         1.671806e+03        1.175190e+00                                           2.401847e+02    1.549789e+01                       28.4589             0.124423                  0.00354869               0.00403811               2.139660e+05 
8.531679e-03    1.172102e-02    1.010165e-02   4.000000e+00         1.000000e+01         6.651567e+00        1.133635e+01         5.698000e+03         7.464669e+02        5.838244e-01                                           4.437804e+02    2.106610e+01                       62.9242             0.116477                  0.012472                 0.0420966                3.513490e+05 
8.531679e-03    1.172102e-02    1.022383e-02   1.000000e+01         1.000000e+02         1.875244e+01        1.133635e+01         5.698000e+03         1.426200e+03        7.680164e-01                                           4.838103e+02    2.199569e+01                       92.332              0.179502                  0.00158208               0.0114261                3.017970e+05 
1.172102e-02    1.610262e-02    1.383934e-02   4.000000e+00         1.000000e+01         6.749980e+00        1.133635e+01         5.698000e+03         6.472676e+02        4.048074e-01                                           5.457551e+02    2.336140e+01                       109.195             0.182934                  0.0165037                0.035249                 3.517090e+05 
1.172102e-02    1.610262e-02    1.398128e-02   1.000000e+01         1.000000e+02         2.158789e+01        1.133635e+01         5.698000e+03         1.256563e+03        5.237255e-01                                           8.762536e+02    2.960158e+01                       198.308             0.211187                  0.00264989               0.014669                 3.488120e+05 
1.610262e-02    2.212216e-02    1.895814e-02   4.000000e+00         1.000000e+01         6.856814e+00        1.133635e+01         5.698000e+03         5.653446e+02        2.719713e-01                                           6.223870e+02    2.494769e+01                       150.478             0.234995                  0.0127738                0.0230641                3.514410e+05 
1.610262e-02    2.212216e-02    1.914709e-02   1.000000e+01         1.000000e+02         2.479763e+01        1.133635e+01         5.698000e+03         1.110787e+03        3.536664e-01                                           1.427470e+03    3.778188e+01                       366.736             0.23819                   0.00156125               0.0186687                3.520310e+05 
2.212216e-02    3.039195e-02    2.604940e-02   4.000000e+00         1.000000e+01         6.924120e+00        1.133635e+01         5.698000e+03         5.054803e+02        1.746412e-01                                           6.555349e+02    2.560342e+01                       180.475             0.278936                  0.0182021                0.0213597                3.515180e+05 
2.212216e-02    3.039195e-02    2.628630e-02   1.000000e+01         1.000000e+02         2.861787e+01        1.133635e+01         5.698000e+03         9.882056e+02        2.294805e-01                                           2.103083e+03    4.585939e+01                       592.328             0.262464                  0.00371944               0.0256235                3.516980e+05 
3.039195e-02    4.175319e-02    3.579809e-02   4.000000e+00         1.000000e+01         6.989584e+00        1.133635e+01         5.698000e+03         4.503260e+02        1.065018e-01                                           6.441125e+02    2.537937e+01                       191.863             0.310462                  0.0118034                0.0077239                3.507880e+05 
3.039195e-02    4.175319e-02    3.607675e-02   1.000000e+01         1.000000e+02         3.276888e+01        1.133635e+01         5.698000e+03         8.811354e+02        1.435679e-01                                           2.814209e+03    5.304912e+01                       806.748             0.267735                  0.00123952               0.0240654                3.507570e+05 
3.039195e-02    4.175319e-02    3.683212e-02   1.000000e+02         1.000000e+03         1.355691e+02        1.133635e+01         5.698000e+03         2.458874e+03        1.464470e-01                                           1.404124e+02    1.184957e+01                       21.8392             0.23324                   0.00309136               0.102275                 8.501700e+04 
4.175319e-02    5.736153e-02    4.900901e-02   4.000000e+00         1.000000e+01         7.040817e+00        1.133635e+01         5.698000e+03         4.175113e+02        6.269008e-02                                           5.955649e+02    2.440420e+01                       190.101             0.339689                  0.0115763                0.0115289                3.519000e+05 
4.175319e-02    5.736153e-02    4.939547e-02   1.000000e+01         1.000000e+02         3.689098e+01        1.133635e+01         5.698000e+03         7.817978e+02        8.597351e-02                                           3.447031e+03    5.871142e+01                       973.989             0.264593                  0.00120729               0.0211475                3.518710e+05 
4.175319e-02    5.736153e-02    5.024964e-02   1.000000e+02         1.000000e+03         1.451892e+02        1.133635e+01         5.698000e+03         2.016379e+03        8.462126e-02                                           3.623644e+02    1.903587e+01                       66.8869             0.220481                  0.0024718                0.0453801                1.315230e+05 
5.736153e-02    7.880463e-02    6.704481e-02   4.000000e+00         1.000000e+01         7.064754e+00        1.133635e+01         5.698000e+03         3.843280e+02        3.677570e-02                                           5.355673e+02    2.314233e+01                       188.456             0.37637                   0.0128673                0.0137868                3.509230e+05 
5.736153e-02    7.880463e-02    6.750915e-02   1.000000e+01         1.000000e+02         4.061595e+01        1.133635e+01         5.698000e+03         6.922169e+02        4.979450e-02                                           3.866196e+03    6.217874e+01                       1065.33             0.258876                  0.000961793              0.0185548                3.514000e+05 
5.736153e-02    7.880463e-02    6.858034e-02   1.000000e+02         1.000000e+03         1.574237e+02        1.133635e+01         5.698000e+03         1.679293e+03        4.658534e-02                                           7.614022e+02    2.759352e+01                       138.702             0.193931                  0.00278513               0.017243                 1.946200e+05 
7.880463e-02    1.082637e-01    9.182546e-02   4.000000e+00         1.000000e+01         7.107299e+00        1.133635e+01         5.698000e+03         3.677087e+02        2.287445e-02                                           4.655195e+02    2.157590e+01                       181.066             0.419274                  0.017219                 0.0138894                3.514740e+05 
7.880463e-02    1.082637e-01    9.233617e-02   1.000000e+01         1.000000e+02         4.375656e+01        1.133635e+01         5.698000e+03         6.127746e+02        3.086037e-02                                           4.064733e+03    6.375526e+01                       1094.47             0.256022                  0.00118497               0.016522                 3.515890e+05 
7.880463e-02    1.082637e-01    9.350132e-02   1.000000e+02         1.000000e+03         1.735542e+02        1.133635e+01         5.698000e+03         1.421932e+03        2.778451e-02                                           1.359088e+03    3.686581e+01                       249.648             0.177135                  0.00101338               0.00487222               2.817760e+05 
