Experiment = FLArE100 | seed 2 | Neutrino = 12 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 41333.4 |        del_theta = 15.00 mrad, theta_max = 500.0 mrad |        del_Elepton = 5.0 % , Elepton_min = 2.00 GeV, Elepton_max = 2000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 2.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
4.893901e-04    6.723358e-04    6.571445e-04   4.000000e+00         1.000000e+01         4.636998e+00        1.133635e+01         5.698000e+03         4.054560e+03        6.659264e+00                                           4.480281e-02    2.116667e-01                       0.203853            2.45                      0.2                      0.325                    6.644800e+04 
6.723358e-04    9.236709e-04    8.148604e-04   4.000000e+00         1.000000e+01         4.840858e+00        1.133635e+01         5.698000e+03         3.745576e+03        5.642128e+00                                           3.383021e-01    5.816374e-01                       0.79302             1.46176                   0.0852941                0.273529                 1.775350e+05 
9.236709e-04    1.268961e-03    1.127820e-03   4.000000e+00         1.000000e+01         5.252489e+00        1.133635e+01         5.698000e+03         3.096676e+03        3.973874e+00                                           1.559975e+00    1.248990e+00                       3.06759             1.33566                   0.0678322                0.211189                 3.049930e+05 
9.236709e-04    1.268961e-03    1.120080e-03   1.000000e+01         1.000000e+02         1.103368e+01        1.133635e+01         5.698000e+03         5.426135e+03        5.332134e+00                                           9.523155e-03    9.758665e-02                       0.00857084          0.75                      0.2                      0.85                     1.834000e+03 
1.268961e-03    1.743329e-03    1.536214e-03   4.000000e+00         1.000000e+01         5.512178e+00        1.133635e+01         5.698000e+03         2.437305e+03        2.712630e+00                                           5.437158e+00    2.331771e+00                       7.41098             1.18571                   0.0676471                0.196218                 3.498780e+05 
1.268961e-03    1.743329e-03    1.582209e-03   1.000000e+01         1.000000e+02         1.167023e+01        1.133635e+01         5.698000e+03         4.460678e+03        3.713071e+00                                           1.840734e-01    4.290378e-01                       0.193277            0.204545                  0.0681818                0.318182                 1.306200e+04 
1.743329e-03    2.395027e-03    2.104610e-03   4.000000e+00         1.000000e+01         5.655967e+00        1.133635e+01         5.698000e+03         1.942295e+03        1.886235e+00                                           1.521920e+01    3.901180e+00                       15.2158             0.934055                  0.0389843                0.164974                 3.522260e+05 
1.743329e-03    2.395027e-03    2.166447e-03   1.000000e+01         1.000000e+02         1.221700e+01        1.133635e+01         5.698000e+03         3.620846e+03        2.570583e+00                                           1.249685e+00    1.117893e+00                       1.33595             0.367257                  0.107965                 0.29823                  3.220800e+04 
2.395027e-03    3.290345e-03    2.869537e-03   4.000000e+00         1.000000e+01         5.975196e+00        1.133635e+01         5.698000e+03         1.589289e+03        1.371389e+00                                           3.510286e+01    5.924766e+00                       20.8075             0.613711                  0.0387496                0.167781                 3.510770e+05 
2.395027e-03    3.290345e-03    2.925460e-03   1.000000e+01         1.000000e+02         1.344798e+01        1.133635e+01         5.698000e+03         2.988107e+03        1.901762e+00                                           5.660080e+00    2.379092e+00                       3.25998             0.267475                  0.0406061                0.218182                 5.907000e+04 
3.290345e-03    4.520354e-03    3.943225e-03   4.000000e+00         1.000000e+01         6.210174e+00        1.133635e+01         5.698000e+03         1.299382e+03        9.663688e-01                                           6.967002e+01    8.346857e+00                       24.83               0.42071                   0.0360874                0.155914                 3.510410e+05 
3.290345e-03    4.520354e-03    3.976014e-03   1.000000e+01         1.000000e+02         1.438763e+01        1.133635e+01         5.698000e+03         2.463144e+03        1.338793e+00                                           1.992654e+01    4.463915e+00                       5.41969             0.137552                  0.0125956                0.123426                 9.521000e+04 
4.520354e-03    6.210169e-03    5.395901e-03   4.000000e+00         1.000000e+01         6.375434e+00        1.133635e+01         5.698000e+03         1.077409e+03        6.721841e-01                                           1.189307e+02    1.090554e+01                       18.5021             0.231915                  0.0283204                0.136874                 3.511510e+05 
4.520354e-03    6.210169e-03    5.470197e-03   1.000000e+01         1.000000e+02         1.549362e+01        1.133635e+01         5.698000e+03         2.008698e+03        9.041655e-01                                           5.651329e+01    7.517532e+00                       3.82351             0.0203795                 0.013387                 0.0436262                1.454060e+05 
