Experiment = FLArE100 | seed 2 | Neutrino = -12 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 18955.5 |        del_theta = 15.00 mrad, theta_max = 500.0 mrad |        del_Elepton = 5.0 % , Elepton_min = 2.00 GeV, Elepton_max = 2000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 2.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
4.520354e-03    6.210169e-03    5.395721e-03   4.000000e+00         1.000000e+01         6.340895e+00        1.133635e+01         5.698000e+03         1.058456e+03        6.431113e-01                                           1.014261e+02    1.007105e+01                       8.57714             0.0218759                 0.02967                  0.138633                 3.521020e+05 
6.210169e-03    8.531679e-03    7.393780e-03   4.000000e+00         1.000000e+01         6.513196e+00        1.133635e+01         5.698000e+03         8.775166e+02        4.318856e-01                                           1.540943e+02    1.241347e+01                       27.5677             0.124241                  0.0215501                0.10677                  3.513720e+05 
6.210169e-03    8.531679e-03    7.472386e-03   1.000000e+01         1.000000e+02         1.687260e+01        1.133635e+01         5.698000e+03         1.671806e+03        5.794885e-01                                           1.077501e+02    1.038027e+01                       24.0312             0.233115                  0.00461474               0.0162114                2.139660e+05 
8.531679e-03    1.172102e-02    1.010165e-02   4.000000e+00         1.000000e+01         6.651567e+00        1.133635e+01         5.698000e+03         7.464669e+02        2.850311e-01                                           2.082264e+02    1.443005e+01                       56.5333             0.233468                  0.0170297                0.0843501                3.513490e+05 
8.531679e-03    1.172102e-02    1.022383e-02   1.000000e+01         1.000000e+02         1.875244e+01        1.133635e+01         5.698000e+03         1.426200e+03        3.767361e-01                                           2.187966e+02    1.479177e+01                       70.6474             0.308363                  0.00275083               0.018219                 3.017970e+05 
1.172102e-02    1.610262e-02    1.383934e-02   4.000000e+00         1.000000e+01         6.749980e+00        1.133635e+01         5.698000e+03         6.472676e+02        1.965185e-01                                           2.565921e+02    1.601849e+01                       90.254              0.329803                  0.0223018                0.0648702                3.517090e+05 
1.172102e-02    1.610262e-02    1.398128e-02   1.000000e+01         1.000000e+02         2.158789e+01        1.133635e+01         5.698000e+03         1.256563e+03        2.556586e-01                                           3.989057e+02    1.997262e+01                       148.902             0.352321                  0.003003                 0.026647                 3.488120e+05 
1.610262e-02    2.212216e-02    1.895814e-02   4.000000e+00         1.000000e+01         6.856814e+00        1.133635e+01         5.698000e+03         5.653446e+02        1.310677e-01                                           2.906630e+02    1.704884e+01                       120.067             0.40676                   0.0185244                0.0472616                3.514410e+05 
1.610262e-02    2.212216e-02    1.914709e-02   1.000000e+01         1.000000e+02         2.479763e+01        1.133635e+01         5.698000e+03         1.110787e+03        1.715513e-01                                           6.526454e+02    2.554693e+01                       270.438             0.389269                  0.00178921               0.0359185                3.520310e+05 
2.212216e-02    3.039195e-02    2.604940e-02   4.000000e+00         1.000000e+01         6.924120e+00        1.133635e+01         5.698000e+03         5.054803e+02        8.289905e-02                                           3.030708e+02    1.740893e+01                       140.227             0.468121                  0.0255032                0.0339155                3.515180e+05 
