Experiment = SND | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 35 cm | Total Events = 32.4 |    del_theta = 0.1 mrad, theta_max = 150.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 20.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 20.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
6.723358e-04    9.236709e-04    8.194454e-04   4.000000e+00         1.000000e+01         4.779802e+00        1.133635e+01         5.698000e+03         3.695731e+03        1.147210e+01                                           6.771701e-05    8.229035e-03                       3.39263e-05         0.144338                  0.315341                 0.18142                  2.000360e+05 
9.236709e-04    1.268961e-03    1.132276e-03   4.000000e+00         1.000000e+01         4.952766e+00        1.133635e+01         5.698000e+03         2.875099e+03        7.335397e+00                                           5.624805e-04    2.371667e-02                       0.000100636         0.0923346                 0.0967195                0.119322                 3.946940e+05 
1.268961e-03    1.743329e-03    1.557072e-03   4.000000e+00         1.000000e+01         5.077770e+00        1.133635e+01         5.698000e+03         2.155684e+03        4.946271e+00                                           2.957115e-03    5.437936e-02                       0.000270983         0.0483312                 0.0353069                0.1237                   5.592320e+05 
1.268961e-03    1.743329e-03    1.681105e-03   1.000000e+01         1.000000e+02         1.236848e+01        1.133635e+01         5.698000e+03         4.094501e+03        6.613364e+00                                           1.727673e-05    4.156528e-03                       3.99386e-05         0.172396                  0.506811                 1.08483                  1.291400e+04 
1.743329e-03    2.395027e-03    2.114700e-03   4.000000e+00         1.000000e+01         5.373643e+00        1.133635e+01         5.698000e+03         1.777077e+03        3.520206e+00                                           1.095364e-02    1.046596e-01                       0.0004653           0.0299205                 0.0421314                0.0993991                6.793560e+05 
1.743329e-03    2.395027e-03    2.186306e-03   1.000000e+01         1.000000e+02         1.169259e+01        1.133635e+01         5.698000e+03         3.324974e+03        4.744661e+00                                           2.705036e-04    1.644699e-02                       0.000320907         0.119506                  0.150849                 0.734269                 3.677000e+04 
2.395027e-03    3.290345e-03    2.882851e-03   4.000000e+00         1.000000e+01         5.752093e+00        1.133635e+01         5.698000e+03         1.471588e+03        2.577599e+00                                           3.104459e-02    1.761948e-01                       0.000326886         0.0218067                 0.0269387                0.104924                 7.653780e+05 
2.395027e-03    3.290345e-03    2.958280e-03   1.000000e+01         1.000000e+02         1.247731e+01        1.133635e+01         5.698000e+03         2.686763e+03        3.453659e+00                                           2.188152e-03    4.677769e-02                       0.00102459          0.0256692                 0.0604284                0.293082                 7.557900e+04 
3.290345e-03    4.520354e-03    3.949739e-03   4.000000e+00         1.000000e+01         6.055508e+00        1.133635e+01         5.698000e+03         1.231040e+03        1.839227e+00                                           7.009765e-02    2.647596e-01                       0.00127145          0.0179135                 0.0400873                0.0912476                8.285540e+05 
3.290345e-03    4.520354e-03    4.007114e-03   1.000000e+01         1.000000e+02         1.299640e+01        1.133635e+01         5.698000e+03         2.177409e+03        2.524451e+00                                           1.121663e-02    1.059086e-01                       0.00312423          0.00905522                0.0693232                0.145346                 1.333870e+05 
4.520354e-03    6.210169e-03    5.403925e-03   4.000000e+00         1.000000e+01         6.262977e+00        1.133635e+01         5.698000e+03         1.029920e+03        1.283795e+00                                           1.301343e-01    3.607413e-01                       0.0036072           0.011762                  0.0283277                0.0803685                8.754470e+05 
4.520354e-03    6.210169e-03    5.498879e-03   1.000000e+01         1.000000e+02         1.394916e+01        1.133635e+01         5.698000e+03         1.776802e+03        1.705697e+00                                           4.016407e-02    2.004098e-01                       0.00523094          0.00817029                0.0475833                0.0656948                2.162720e+05 
6.210169e-03    8.531679e-03    7.398093e-03   4.000000e+00         1.000000e+01         6.462796e+00        1.133635e+01         5.698000e+03         8.617948e+02        8.730183e-01                                           2.050117e-01    4.527821e-01                       0.0021424           0.00774325                0.0501517                0.0641201                9.087610e+05 
6.210169e-03    8.531679e-03    7.491956e-03   1.000000e+01         1.000000e+02         1.530068e+01        1.133635e+01         5.698000e+03         1.512677e+03        1.145384e+00                                           1.097036e-01    3.312153e-01                       0.00946717          0.00165618                0.0614135                0.0414499                3.322030e+05 
8.531679e-03    1.172102e-02    1.010473e-02   4.000000e+00         1.000000e+01         6.631151e+00        1.133635e+01         5.698000e+03         7.418718e+02        5.822205e-01                                           2.835353e-01    5.324803e-01                       0.00299759          0.00661476                0.0409254                0.0502709                9.325710e+05 
8.531679e-03    1.172102e-02    1.024077e-02   1.000000e+01         1.000000e+02         1.705627e+01        1.133635e+01         5.698000e+03         1.295937e+03        7.496466e-01                                           2.415584e-01    4.914859e-01                       0.00919751          0.00172234                0.0405308                0.0233566                4.854990e+05 
1.172102e-02    1.610262e-02    1.384402e-02   4.000000e+00         1.000000e+01         6.740356e+00        1.133635e+01         5.698000e+03         6.467630e+02        4.048687e-01                                           3.507091e-01    5.922070e-01                       0.00446507          0.00784025                0.0241409                0.0389584                9.510370e+05 
1.172102e-02    1.610262e-02    1.399694e-02   1.000000e+01         1.000000e+02         1.955248e+01        1.133635e+01         5.698000e+03         1.146639e+03        5.112238e-01                                           4.647942e-01    6.817582e-01                       0.00925387          0.00118487                0.0405562                0.023638                 6.241030e+05 
1.172102e-02    1.610262e-02    1.480950e-02   1.000000e+02         1.000000e+03         1.150978e+02        1.133635e+01         5.698000e+03         4.689308e+03        5.914072e-01                                           6.487418e-05    8.054451e-03                       0.00022293          0.0817791                 0.248321                 2.05383                  9.197000e+03 
1.610262e-02    2.212216e-02    1.896087e-02   4.000000e+00         1.000000e+01         6.849973e+00        1.133635e+01         5.698000e+03         5.682495e+02        2.726035e-01                                           4.002381e-01    6.326437e-01                       0.00719113          0.00495474                0.0198828                0.0250511                9.635930e+05 
1.610262e-02    2.212216e-02    1.916004e-02   1.000000e+01         1.000000e+02         2.274909e+01        1.133635e+01         5.698000e+03         1.031355e+03        3.466606e-01                                           7.908202e-01    8.892807e-01                       0.0070547           0.000687436               0.0276899                0.0199549                7.263000e+05 
1.610262e-02    2.212216e-02    2.015968e-02   1.000000e+02         1.000000e+03         1.156822e+02        1.133635e+01         5.698000e+03         3.544716e+03        3.684848e-01                                           1.015986e-03    3.187454e-02                       0.00140954          0.0240058                 0.0618535                1.13602                  2.951400e+04 
