Experiment = SND | seed 2 | Neutrino = -12 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 35 cm | Total Events = 10.9 |        del_theta = 0.06 mrad, theta_max = 500.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 20.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 20.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
6.723358e-04    9.236709e-04    8.194454e-04   4.000000e+00         1.000000e+01         4.779802e+00        1.133635e+01         5.698000e+03         3.695731e+03        5.417969e+00                                           3.389405e-05    5.821860e-03                       1.24278e-05         0.111111                  0.277778                 0.155556                 2.000360e+05 
9.236709e-04    1.268961e-03    1.132276e-03   4.000000e+00         1.000000e+01         4.952766e+00        1.133635e+01         5.698000e+03         2.875099e+03        3.722590e+00                                           2.513075e-04    1.585268e-02                       4.48763e-05         0.122857                  0.121429                 0.231429                 3.946940e+05 
1.268961e-03    1.743329e-03    1.557072e-03   4.000000e+00         1.000000e+01         5.077770e+00        1.133635e+01         5.698000e+03         2.155684e+03        2.480457e+00                                           1.284871e-03    3.584510e-02                       0.000176624         0.0538905                 0.0616715                0.192795                 5.592320e+05 
1.268961e-03    1.743329e-03    1.681105e-03   1.000000e+01         1.000000e+02         1.236848e+01        1.133635e+01         5.698000e+03         4.094501e+03        3.374400e+00                                           9.591959e-06    3.097089e-03                       3.26127e-05         0.3                       0.65                     2.5                      1.291400e+04 
1.743329e-03    2.395027e-03    2.114700e-03   4.000000e+00         1.000000e+01         5.373643e+00        1.133635e+01         5.698000e+03         1.777077e+03        1.751451e+00                                           4.802035e-03    6.929672e-02                       0.000184612         0.0443874                 0.0477623                0.195671                 6.793560e+05 
1.743329e-03    2.395027e-03    2.186306e-03   1.000000e+01         1.000000e+02         1.169259e+01        1.133635e+01         5.698000e+03         3.324974e+03        2.378787e+00                                           1.359737e-04    1.166078e-02                       0.000192913         0.140625                  0.240625                 1.06875                  3.677000e+04 
2.395027e-03    3.290345e-03    2.882851e-03   4.000000e+00         1.000000e+01         5.752093e+00        1.133635e+01         5.698000e+03         1.471588e+03        1.280429e+00                                           1.359221e-02    1.165856e-01                       0.000209542         0.0275329                 0.0498582                0.165275                 7.653780e+05 
2.395027e-03    3.290345e-03    2.958280e-03   1.000000e+01         1.000000e+02         1.247731e+01        1.133635e+01         5.698000e+03         2.686763e+03        1.748994e+00                                           9.794624e-04    3.129636e-02                       0.000591252         0.0237226                 0.0529197                0.531752                 7.557900e+04 
3.290345e-03    4.520354e-03    3.949739e-03   4.000000e+00         1.000000e+01         6.055508e+00        1.133635e+01         5.698000e+03         1.231040e+03        9.131465e-01                                           3.093863e-02    1.758938e-01                       0.00119368          0.0252804                 0.0375393                0.161709                 8.285540e+05 
3.290345e-03    4.520354e-03    4.007114e-03   1.000000e+01         1.000000e+02         1.299640e+01        1.133635e+01         5.698000e+03         2.177409e+03        1.256615e+00                                           4.899134e-03    6.999382e-02                       0.00196963          0.00790916                0.0868442                0.289193                 1.333870e+05 
4.520354e-03    6.210169e-03    5.403925e-03   4.000000e+00         1.000000e+01         6.262977e+00        1.133635e+01         5.698000e+03         1.029920e+03        6.342067e-01                                           5.755728e-02    2.399110e-01                       0.00237803          0.0148304                 0.0332752                0.143908                 8.754470e+05 
4.520354e-03    6.210169e-03    5.498879e-03   1.000000e+01         1.000000e+02         1.394916e+01        1.133635e+01         5.698000e+03         1.776802e+03        8.463863e-01                                           1.752421e-02    1.323790e-01                       0.00321074          0.00930722                0.0701411                0.102274                 2.162720e+05 
6.210169e-03    8.531679e-03    7.398093e-03   4.000000e+00         1.000000e+01         6.462796e+00        1.133635e+01         5.698000e+03         8.617948e+02        4.281854e-01                                           9.142877e-02    3.023719e-01                       0.00190468          0.0114702                 0.0539225                0.111184                 9.087610e+05 
6.210169e-03    8.531679e-03    7.491956e-03   1.000000e+01         1.000000e+02         1.530068e+01        1.133635e+01         5.698000e+03         1.512677e+03        5.664760e-01                                           4.793684e-02    2.189448e-01                       0.00588225          0.00241973                0.0840081                0.0408795                3.322030e+05 
8.531679e-03    1.172102e-02    1.010473e-02   4.000000e+00         1.000000e+01         6.631151e+00        1.133635e+01         5.698000e+03         7.418718e+02        2.842307e-01                                           1.272599e-01    3.567350e-01                       0.00290498          0.00946081                0.0407108                0.0901849                9.325710e+05 
8.531679e-03    1.172102e-02    1.024077e-02   1.000000e+01         1.000000e+02         1.705627e+01        1.133635e+01         5.698000e+03         1.295937e+03        3.685819e-01                                           1.062374e-01    3.259408e-01                       0.00480252          0.00211474                0.051452                 0.00745725               4.854990e+05 
1.172102e-02    1.610262e-02    1.384402e-02   4.000000e+00         1.000000e+01         6.740356e+00        1.133635e+01         5.698000e+03         6.467630e+02        1.963147e-01                                           1.579108e-01    3.973799e-01                       0.00430522          0.0101884                 0.0162122                0.0686561                9.510370e+05 
1.172102e-02    1.610262e-02    1.399694e-02   1.000000e+01         1.000000e+02         1.955248e+01        1.133635e+01         5.698000e+03         1.146639e+03        2.501281e-01                                           2.040443e-01    4.517126e-01                       0.00338912          0.00133716                0.0451711                0.0227846                6.241030e+05 
1.172102e-02    1.610262e-02    1.480950e-02   1.000000e+02         1.000000e+03         1.150978e+02        1.133635e+01         5.698000e+03         4.689308e+03        2.765001e-01                                           3.516285e-05    5.929827e-03                       0.000140212         0.125                     0.3375                   3.4                      9.197000e+03 
1.610262e-02    2.212216e-02    1.896087e-02   4.000000e+00         1.000000e+01         6.849973e+00        1.133635e+01         5.698000e+03         5.682495e+02        1.311924e-01                                           1.796864e-01    4.238943e-01                       0.00699557          0.00624658                0.014415                 0.0484965                9.635930e+05 
1.610262e-02    2.212216e-02    1.916004e-02   1.000000e+01         1.000000e+02         2.274909e+01        1.133635e+01         5.698000e+03         1.031355e+03        1.684552e-01                                           3.464218e-01    5.885761e-01                       0.00546533          0.000810537               0.0203461                0.0347104                7.263000e+05 
1.610262e-02    2.212216e-02    2.015968e-02   1.000000e+02         1.000000e+03         1.156822e+02        1.133635e+01         5.698000e+03         3.544716e+03        1.790612e-01                                           4.952741e-04    2.225475e-02                       0.000639757         0.0262069                 0.0710345                1.27724                  2.951400e+04 
2.212216e-02    3.039195e-02    2.605183e-02   4.000000e+00         1.000000e+01         6.911788e+00        1.133635e+01         5.698000e+03         5.112653e+02        8.305955e-02                                           1.899688e-01    4.358541e-01                       0.0116896           0.00949425                0.0559636                0.0383524                9.732840e+05 
2.212216e-02    3.039195e-02    2.630569e-02   1.000000e+01         1.000000e+02         2.680596e+01        1.133635e+01         5.698000e+03         9.341282e+02        1.085229e-01                                           5.244441e-01    7.241851e-01                       0.0296412           0.000794065               0.0149915                0.0469309                8.007140e+05 
2.212216e-02    3.039195e-02    2.711382e-02   1.000000e+02         1.000000e+03         1.204045e+02        1.133635e+01         5.698000e+03         2.805625e+03        1.145682e-01                                           3.757893e-03    6.130165e-02                       0.00250465          0.00701071                0.0299903                0.676047                 6.433100e+04 
3.039195e-02    4.175319e-02    3.581067e-02   4.000000e+00         1.000000e+01         6.973376e+00        1.133635e+01         5.698000e+03         4.555081e+02        4.945443e-02                                           1.829729e-01    4.277533e-01                       0.0139554           0.00421965                0.0877887                0.00734917               9.802900e+05 
3.039195e-02    4.175319e-02    3.609826e-02   1.000000e+01         1.000000e+02         3.136321e+01        1.133635e+01         5.698000e+03         8.483449e+02        6.713184e-02                                           7.233422e-01    8.504953e-01                       0.0565903           0.000554327               0.0333795                0.0475077                8.540900e+05 
3.039195e-02    4.175319e-02    3.711597e-02   1.000000e+02         1.000000e+03         1.268471e+02        1.133635e+01         5.698000e+03         2.246296e+03        6.791421e-02                                           1.736476e-02    1.317754e-01                       0.00546733          0.00339662                0.049557                 0.372616                 1.172160e+05 
4.175319e-02    5.736153e-02    4.903405e-02   4.000000e+00         1.000000e+01         7.011037e+00        1.133635e+01         5.698000e+03         4.193230e+02        2.781646e-02                                           1.653738e-01    4.066617e-01                       0.0151094           0.00589315                0.12394                  0.0165785                9.851030e+05 
4.175319e-02    5.736153e-02    4.941153e-02   1.000000e+01         1.000000e+02         3.583728e+01        1.133635e+01         5.698000e+03         7.645175e+02        3.937828e-02                                           8.830553e-01    9.397102e-01                       0.0824156           0.00023952                0.0497892                0.0420137                8.938500e+05 
4.175319e-02    5.736153e-02    5.051401e-02   1.000000e+02         1.000000e+03         1.340069e+02        1.133635e+01         5.698000e+03         1.822995e+03        3.839224e-02                                           5.795405e-02    2.407365e-01                       0.0059184           0.000957619               0.0415852                0.152766                 1.923210e+05 
5.736153e-02    7.880463e-02    6.707906e-02   4.000000e+00         1.000000e+01         7.032225e+00        1.133635e+01         5.698000e+03         3.843651e+02        1.519623e-02                                           1.393582e-01    3.733070e-01                       0.0173718           0.00352226                0.172495                 0.0342763                9.887020e+05 
5.736153e-02    7.880463e-02    6.753516e-02   1.000000e+01         1.000000e+02         3.995174e+01        1.133635e+01         5.698000e+03         6.853785e+02        2.200590e-02                                           9.783205e-01    9.891008e-01                       0.106693            0.000352736               0.0708569                0.0367981                9.221780e+05 
5.736153e-02    7.880463e-02    6.877715e-02   1.000000e+02         1.000000e+03         1.450918e+02        1.133635e+01         5.698000e+03         1.533501e+03        2.032519e-02                                           1.314031e-01    3.624956e-01                       0.00039567          0.000789937               0.0472999                0.0552653                2.982400e+05 
7.880463e-02    1.082637e-01    9.183889e-02   4.000000e+00         1.000000e+01         7.091794e+00        1.133635e+01         5.698000e+03         3.647802e+02        8.711344e-03                                           1.120471e-01    3.347343e-01                       0.0190219           0.00642564                0.227664                 0.0311225                9.910630e+05 
