Experiment = FASERv2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 6857.7 |            del_theta = 1.0 mrad, theta_max = 463.6 mrad |            del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 5698.00 GeV|            del_Ehadron = 50.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 5698.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      N_sys_errs          MC_Samples 
3.562248e-04    4.893901e-04    4.686338e-04   4.000000e+00         1.000000e+01         4.247314e+00        1.133635e+01         5.698000e+03         5.333840e+03        6.625683e+00                                           1.343972e-07    3.666022e-04                       3.80133e-07         3.724961e-01 
4.893901e-04    6.723358e-04    6.041299e-04   4.000000e+00         1.000000e+01         4.718182e+00        1.133635e+01         5.698000e+03         4.926963e+03        5.498801e+00                                           3.918929e-04    1.979629e-02                       0.000253146         3.696308e+00 
6.723358e-04    9.236709e-04    8.104678e-04   4.000000e+00         1.000000e+01         5.382063e+00        1.133635e+01         5.698000e+03         4.610868e+03        3.149690e+00                                           1.820214e-02    1.349153e-01                       0.00611469          1.481388e+01 
9.236709e-04    1.268961e-03    1.099234e-03   4.000000e+00         1.000000e+01         6.053708e+00        1.133635e+01         5.698000e+03         4.274369e+03        2.913289e+00                                           2.140338e-01    4.626379e-01                       0.0503739           2.805182e+01 
9.236709e-04    1.268961e-03    1.184502e-03   1.000000e+01         1.000000e+02         1.076962e+01        1.133635e+01         5.698000e+03         5.296558e+03        2.920918e+00                                           1.288643e-06    1.135184e-03                       2.37866e-06         6.303781e-01 
1.268961e-03    1.743329e-03    1.498237e-03   4.000000e+00         1.000000e+01         6.610925e+00        1.133635e+01         5.698000e+03         3.947142e+03        2.380667e+00                                           1.037840e+00    1.018744e+00                       0.297111            3.687712e+01 
1.268961e-03    1.743329e-03    1.553398e-03   1.000000e+01         1.000000e+02         1.200319e+01        1.133635e+01         5.698000e+03         4.920535e+03        2.419703e+00                                           3.344024e-03    5.782754e-02                       0.00122393          8.997214e+00 
1.743329e-03    2.395027e-03    2.054211e-03   4.000000e+00         1.000000e+01         6.710727e+00        1.133635e+01         5.698000e+03         3.620358e+03        1.360693e+00                                           2.457478e+00    1.567635e+00                       0.441532            4.154765e+01 
1.743329e-03    2.395027e-03    2.093103e-03   1.000000e+01         1.000000e+02         1.359265e+01        1.133635e+01         5.698000e+03         4.603832e+03        1.393261e+00                                           6.812799e-02    2.610134e-01                       0.0116154           2.535839e+01 
2.395027e-03    3.290345e-03    2.821988e-03   4.000000e+00         1.000000e+01         6.918331e+00        1.133635e+01         5.698000e+03         3.321823e+03        1.065697e+00                                           6.831921e+00    2.613794e+00                       0.989543            4.246456e+01 
2.395027e-03    3.290345e-03    2.857313e-03   1.000000e+01         1.000000e+02         1.584038e+01        1.133635e+01         5.698000e+03         4.284891e+03        1.212356e+00                                           8.303620e-01    9.112420e-01                       0.201714            4.796604e+01 
3.290345e-03    4.520354e-03    3.861874e-03   4.000000e+00         1.000000e+01         6.895757e+00        1.133635e+01         5.698000e+03         2.991367e+03        8.622962e-01                                           1.645543e+01    4.056529e+00                       1.63869             4.054477e+01 
3.290345e-03    4.520354e-03    3.906302e-03   1.000000e+01         1.000000e+02         1.942398e+01        1.133635e+01         5.698000e+03         4.115532e+03        1.070354e+00                                           3.725712e+00    1.930210e+00                       0.537659            7.667690e+01 
4.520354e-03    6.210169e-03    5.307186e-03   4.000000e+00         1.000000e+01         6.942557e+00        1.133635e+01         5.698000e+03         2.859789e+03        5.270568e-01                                           2.281565e+01    4.776573e+00                       4.55776             3.538713e+01 
4.520354e-03    6.210169e-03    5.355211e-03   1.000000e+01         1.000000e+02         2.413544e+01        1.133635e+01         5.698000e+03         3.942169e+03        6.752798e-01                                           1.147695e+01    3.387765e+00                       1.32936             1.091700e+02 
6.210169e-03    8.531679e-03    7.298499e-03   4.000000e+00         1.000000e+01         6.914911e+00        1.133635e+01         5.698000e+03         2.681934e+03        3.237303e-01                                           3.392657e+01    5.824652e+00                       4.36673             3.071660e+01 
6.210169e-03    8.531679e-03    7.347343e-03   1.000000e+01         1.000000e+02         3.027256e+01        1.133635e+01         5.698000e+03         3.817448e+03        4.287081e-01                                           2.976841e+01    5.456043e+00                       4.85455             1.451016e+02 
8.531679e-03    1.172102e-02    9.994465e-03   4.000000e+00         1.000000e+01         7.060036e+00        1.133635e+01         5.698000e+03         2.654736e+03        2.641040e-01                                           4.586956e+01    6.772707e+00                       3.80645             2.547301e+01 
8.531679e-03    1.172102e-02    1.009326e-02   1.000000e+01         1.000000e+02         3.847213e+01        1.133635e+01         5.698000e+03         3.741261e+03        3.541085e-01                                           7.722486e+01    8.787768e+00                       10.4629             1.861908e+02 
8.531679e-03    1.172102e-02    1.114304e-02   1.000000e+02         1.000000e+03         1.055070e+02        1.133635e+01         5.698000e+03         5.405894e+03        3.220096e-01                                           7.743943e-06    2.782794e-03                       7.48643e-06         1.146142e+00 
1.172102e-02    1.610262e-02    1.381135e-02   4.000000e+00         1.000000e+01         6.949543e+00        1.133635e+01         5.698000e+03         2.458117e+03        1.645368e-01                                           6.597442e+01    8.122464e+00                       10.4443             2.323803e+01 
1.172102e-02    1.610262e-02    1.383261e-02   1.000000e+01         1.000000e+02         4.536098e+01        1.133635e+01         5.698000e+03         3.564171e+03        2.318336e-01                                           1.303484e+02    1.141702e+01                       9.67903             2.104030e+02 
1.172102e-02    1.610262e-02    1.440252e-02   1.000000e+02         1.000000e+03         1.153806e+02        1.133635e+01         5.698000e+03         5.034879e+03        2.087341e-01                                           1.430176e-02    1.195900e-01                       0.00383987          1.922653e+01 
1.610262e-02    2.212216e-02    1.879589e-02   4.000000e+00         1.000000e+01         7.121489e+00        1.133635e+01         5.698000e+03         2.427457e+03        8.321047e-02                                           5.383523e+01    7.337250e+00                       6.9367              1.779385e+01 
