A_index       xlower          xupper         Q2Lower          Q2Upper 
0             0.00010          0.000140         4.0000          10.0000 
1             0.00010          0.000140         10.0000          100.0000 
2             0.00010          0.000140         100.0000          1000.0000 
3             0.00010          0.000140         1000.0000          10000.0000 
4             0.00010          0.000140         10000.0000          100000.0000 
5             0.00014          0.000190         4.0000          10.0000 
6             0.00014          0.000190         10.0000          100.0000 
7             0.00014          0.000190         100.0000          1000.0000 
8             0.00014          0.000190         1000.0000          10000.0000 
9             0.00014          0.000190         10000.0000          100000.0000 
10             0.00019          0.000260         4.0000          10.0000 
11             0.00019          0.000260         10.0000          100.0000 
12             0.00019          0.000260         100.0000          1000.0000 
13             0.00019          0.000260         1000.0000          10000.0000 
14             0.00019          0.000260         10000.0000          100000.0000 
15             0.00026          0.000360         4.0000          10.0000 
16             0.00026          0.000360         10.0000          100.0000 
17             0.00026          0.000360         100.0000          1000.0000 
18             0.00026          0.000360         1000.0000          10000.0000 
19             0.00026          0.000360         10000.0000          100000.0000 
20             0.00036          0.000490         4.0000          10.0000 
21             0.00036          0.000490         10.0000          100.0000 
22             0.00036          0.000490         100.0000          1000.0000 
23             0.00036          0.000490         1000.0000          10000.0000 
24             0.00036          0.000490         10000.0000          100000.0000 
25             0.00049          0.000670         4.0000          10.0000 
26             0.00049          0.000670         10.0000          100.0000 
27             0.00049          0.000670         100.0000          1000.0000 
28             0.00049          0.000670         1000.0000          10000.0000 
29             0.00049          0.000670         10000.0000          100000.0000 
30             0.00067          0.000920         4.0000          10.0000 
31             0.00067          0.000920         10.0000          100.0000 
32             0.00067          0.000920         100.0000          1000.0000 
33             0.00067          0.000920         1000.0000          10000.0000 
34             0.00067          0.000920         10000.0000          100000.0000 
35             0.00092          0.001270         4.0000          10.0000 
36             0.00092          0.001270         10.0000          100.0000 
37             0.00092          0.001270         100.0000          1000.0000 
38             0.00092          0.001270         1000.0000          10000.0000 
39             0.00092          0.001270         10000.0000          100000.0000 
40             0.00127          0.001740         4.0000          10.0000 
41             0.00127          0.001740         10.0000          100.0000 
42             0.00127          0.001740         100.0000          1000.0000 
43             0.00127          0.001740         1000.0000          10000.0000 
44             0.00127          0.001740         10000.0000          100000.0000 
45             0.00174          0.002400         4.0000          10.0000 
46             0.00174          0.002400         10.0000          100.0000 
47             0.00174          0.002400         100.0000          1000.0000 
48             0.00174          0.002400         1000.0000          10000.0000 
49             0.00174          0.002400         10000.0000          100000.0000 
50             0.00240          0.003290         4.0000          10.0000 
51             0.00240          0.003290         10.0000          100.0000 
52             0.00240          0.003290         100.0000          1000.0000 
53             0.00240          0.003290         1000.0000          10000.0000 
54             0.00240          0.003290         10000.0000          100000.0000 
55             0.00329          0.004520         4.0000          10.0000 
56             0.00329          0.004520         10.0000          100.0000 
57             0.00329          0.004520         100.0000          1000.0000 
58             0.00329          0.004520         1000.0000          10000.0000 
59             0.00329          0.004520         10000.0000          100000.0000 
60             0.00452          0.006210         4.0000          10.0000 
61             0.00452          0.006210         10.0000          100.0000 
62             0.00452          0.006210         100.0000          1000.0000 
63             0.00452          0.006210         1000.0000          10000.0000 
64             0.00452          0.006210         10000.0000          100000.0000 
65             0.00621          0.008530         4.0000          10.0000 
66             0.00621          0.008530         10.0000          100.0000 
67             0.00621          0.008530         100.0000          1000.0000 
68             0.00621          0.008530         1000.0000          10000.0000 
69             0.00621          0.008530         10000.0000          100000.0000 
70             0.00853          0.011720         4.0000          10.0000 
71             0.00853          0.011720         10.0000          100.0000 
72             0.00853          0.011720         100.0000          1000.0000 
73             0.00853          0.011720         1000.0000          10000.0000 
74             0.00853          0.011720         10000.0000          100000.0000 
75             0.01172          0.016100         4.0000          10.0000 
76             0.01172          0.016100         10.0000          100.0000 
77             0.01172          0.016100         100.0000          1000.0000 
78             0.01172          0.016100         1000.0000          10000.0000 
79             0.01172          0.016100         10000.0000          100000.0000 
80             0.01610          0.022120         4.0000          10.0000 
81             0.01610          0.022120         10.0000          100.0000 
82             0.01610          0.022120         100.0000          1000.0000 
83             0.01610          0.022120         1000.0000          10000.0000 
84             0.01610          0.022120         10000.0000          100000.0000 
85             0.02212          0.030390         4.0000          10.0000 
86             0.02212          0.030390         10.0000          100.0000 
87             0.02212          0.030390         100.0000          1000.0000 
88             0.02212          0.030390         1000.0000          10000.0000 
89             0.02212          0.030390         10000.0000          100000.0000 
90             0.03039          0.041750         4.0000          10.0000 
91             0.03039          0.041750         10.0000          100.0000 
92             0.03039          0.041750         100.0000          1000.0000 
93             0.03039          0.041750         1000.0000          10000.0000 
94             0.03039          0.041750         10000.0000          100000.0000 
95             0.04175          0.057360         4.0000          10.0000 
96             0.04175          0.057360         10.0000          100.0000 
97             0.04175          0.057360         100.0000          1000.0000 
98             0.04175          0.057360         1000.0000          10000.0000 
