Experiment = FLArE10 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 700 cm | Total Events = 577.8 |            del_theta = 15.0 mrad, theta_max = 400.0 mrad |            del_Elepton = 5.0 % , Elepton_min = 0.01 GeV, Elepton_max = 2.00 GeV|            del_Ehadron = 30.0 %, Ehadron_min = 0.01 GeV GeV, Ehadron_max = 6000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      N_sys_errs          MC_Samples 
3.562248e-04    4.893901e-04    4.511385e-04   4.000000e+00         1.000000e+01         4.374870e+00        1.133635e+01         5.698000e+03         5.179198e+03        6.652790e+00                                           6.046598e-07    7.775987e-04                       9.44577e-08         2.252169e+01 
4.893901e-04    6.723358e-04    5.876873e-04   4.000000e+00         1.000000e+01         5.044627e+00        1.133635e+01         5.698000e+03         4.591705e+03        5.314558e+00                                           2.197428e-04    1.482372e-02                       2.27038e-05         1.070210e+02 
6.723358e-04    9.236709e-04    8.013165e-04   4.000000e+00         1.000000e+01         6.013418e+00        1.133635e+01         5.698000e+03         4.015242e+03        2.797513e+00                                           5.218964e-03    7.224240e-02                       0.000196785         2.064488e+02 
9.236709e-04    1.268961e-03    1.088439e-03   4.000000e+00         1.000000e+01         6.776989e+00        1.133635e+01         5.698000e+03         3.344601e+03        2.463025e+00                                           4.513349e-02    2.124464e-01                       0.00200443          2.752460e+02 
9.236709e-04    1.268961e-03    1.154037e-03   1.000000e+01         1.000000e+02         1.109085e+01        1.133635e+01         5.698000e+03         5.136686e+03        2.871370e+00                                           5.213920e-06    2.283401e-03                       6.76023e-07         4.412647e+01 
1.268961e-03    1.743329e-03    1.486525e-03   4.000000e+00         1.000000e+01         6.928177e+00        1.133635e+01         5.698000e+03         2.504636e+03        1.846092e+00                                           1.456577e-01    3.816513e-01                       0.00508493          2.596585e+02 
1.268961e-03    1.743329e-03    1.529358e-03   1.000000e+01         1.000000e+02         1.288073e+01        1.133635e+01         5.698000e+03         4.505712e+03        2.314242e+00                                           1.168613e-03    3.418498e-02                       9.74219e-05         1.788841e+02 
1.743329e-03    2.395027e-03    2.042940e-03   4.000000e+00         1.000000e+01         6.959342e+00        1.133635e+01         5.698000e+03         1.832183e+03        9.583160e-01                                           2.730262e-01    5.225191e-01                       0.00933615          2.243859e+02 
1.743329e-03    2.395027e-03    2.078916e-03   1.000000e+01         1.000000e+02         1.536668e+01        1.133635e+01         5.698000e+03         3.952854e+03        1.298103e+00                                           1.946281e-02    1.395092e-01                       0.000954812         3.330115e+02 
2.395027e-03    3.290345e-03    2.803500e-03   4.000000e+00         1.000000e+01         6.957617e+00        1.133635e+01         5.698000e+03         1.334856e+03        6.794817e-01                                           5.668045e-01    7.528642e-01                       0.0179886           1.953599e+02 
2.395027e-03    3.290345e-03    2.844156e-03   1.000000e+01         1.000000e+02         1.901138e+01        1.133635e+01         5.698000e+03         3.572507e+03        1.106972e+00                                           1.758318e-01    4.193231e-01                       0.00783768          4.973110e+02 
3.290345e-03    4.520354e-03    3.855666e-03   4.000000e+00         1.000000e+01         7.025653e+00        1.133635e+01         5.698000e+03         9.807165e+02        5.194256e-01                                           9.952869e-01    9.976406e-01                       0.0256273           1.602880e+02 
