Experiment = FASERv | seed 1 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 100 cm | Total Events = 1508.9 |    del_theta = 0.1 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 100.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
6.723358e-04    9.236709e-04    8.172789e-04   4.000000e+00         1.000000e+01         4.857389e+00        1.133635e+01         5.698000e+03         3.849369e+03        1.536705e+01                                           2.575347e-02    1.604789e-01                       0.00531181          0.115423                  0.0399947                0.304979                 1.889100e+04 
9.236709e-04    1.268961e-03    1.125917e-03   4.000000e+00         1.000000e+01         5.110218e+00        1.133635e+01         5.698000e+03         3.105974e+03        1.333893e+01                                           1.124969e-01    3.354056e-01                       0.0135409           0.0317248                 0.124075                 0.176509                 3.814500e+04 
9.236709e-04    1.268961e-03    1.041377e-03   1.000000e+01         1.000000e+02         1.006477e+01        1.133635e+01         5.698000e+03         5.392595e+03        1.469246e+01                                           1.012090e-03    3.181337e-02                       0.000306806         0.0                       0.909424                 0.610457                 1.340000e+02 
1.268961e-03    1.743329e-03    1.532246e-03   4.000000e+00         1.000000e+01         5.548254e+00        1.133635e+01         5.698000e+03         2.669458e+03        1.050478e+01                                           3.438652e-01    5.864002e-01                       0.0597535           0.0619849                 0.117172                 0.130119                 5.452800e+04 
1.268961e-03    1.743329e-03    1.551042e-03   1.000000e+01         1.000000e+02         1.104207e+01        1.133635e+01         5.698000e+03         4.297460e+03        1.121280e+01                                           1.768505e-02    1.329851e-01                       0.0180058           0.247818                  0.493578                 0.524395                 1.229000e+03 
1.743329e-03    2.395027e-03    2.074703e-03   4.000000e+00         1.000000e+01         5.811783e+00        1.133635e+01         5.698000e+03         2.280964e+03        6.114844e+00                                           6.509089e-01    8.067893e-01                       0.049272            0.0187593                 0.095122                 0.125257                 6.655600e+04 
1.743329e-03    2.395027e-03    2.110516e-03   1.000000e+01         1.000000e+02         1.196811e+01        1.133635e+01         5.698000e+03         3.763899e+03        6.005029e+00                                           7.984411e-02    2.825670e-01                       0.0262653           0.0274641                 0.130751                 0.0854059                3.506000e+03 
2.395027e-03    3.290345e-03    2.887619e-03   4.000000e+00         1.000000e+01         6.106514e+00        1.133635e+01         5.698000e+03         1.899863e+03        4.863025e+00                                           1.418724e+00    1.191102e+00                       0.0267535           0.0347312                 0.0411406                0.082773                 7.529100e+04 
2.395027e-03    3.290345e-03    2.926801e-03   1.000000e+01         1.000000e+02         1.335617e+01        1.133635e+01         5.698000e+03         3.134453e+03        5.220058e+00                                           3.408444e-01    5.838189e-01                       0.049079            0.0167117                 0.0640486                0.0375596                7.156000e+03 
3.290345e-03    4.520354e-03    3.929833e-03   4.000000e+00         1.000000e+01         6.244363e+00        1.133635e+01         5.698000e+03         1.572144e+03        3.943008e+00                                           2.864441e+00    1.692466e+00                       0.238112            0.0113745                 0.0485924                0.0710575                8.147900e+04 
3.290345e-03    4.520354e-03    3.995020e-03   1.000000e+01         1.000000e+02         1.437286e+01        1.133635e+01         5.698000e+03         2.649174e+03        4.258275e+00                                           1.095688e+00    1.046751e+00                       0.0611664           0.00835607                0.0158561                0.0263175                1.283400e+04 
4.520354e-03    6.210169e-03    5.321244e-03   4.000000e+00         1.000000e+01         6.347827e+00        1.133635e+01         5.698000e+03         1.339155e+03        2.593851e+00                                           4.011176e+00    2.002792e+00                       0.0444345           0.0235339                 0.0544701                0.0757136                8.631200e+04 
4.520354e-03    6.210169e-03    5.382674e-03   1.000000e+01         1.000000e+02         1.605384e+01        1.133635e+01         5.698000e+03         2.341307e+03        2.751760e+00                                           2.232464e+00    1.494143e+00                       0.288212            0.00165942                0.0993401                0.0455364                2.075700e+04 
6.210169e-03    8.531679e-03    7.432493e-03   4.000000e+00         1.000000e+01         6.435788e+00        1.133635e+01         5.698000e+03         1.125068e+03        1.743024e+00                                           5.745145e+00    2.396903e+00                       0.311708            0.0120444                 0.0808064                0.0480589                8.945500e+04 
6.210169e-03    8.531679e-03    7.489019e-03   1.000000e+01         1.000000e+02         1.816850e+01        1.133635e+01         5.698000e+03         2.043164e+03        1.907325e+00                                           4.942394e+00    2.223150e+00                       0.67924             0.00752709                0.136533                 0.0547843                3.215000e+04 
8.531679e-03    1.172102e-02    1.013482e-02   4.000000e+00         1.000000e+01         6.567651e+00        1.133635e+01         5.698000e+03         9.771370e+02        1.486012e+00                                           9.181575e+00    3.030111e+00                       0.648812            0.0134742                 0.0370323                0.0672081                9.188000e+04 
8.531679e-03    1.172102e-02    1.023351e-02   1.000000e+01         1.000000e+02         2.064720e+01        1.133635e+01         5.698000e+03         1.808589e+03        1.626509e+00                                           1.101988e+01    3.319620e+00                       0.169034            0.00178219                0.0108926                0.0218238                4.727500e+04 
8.531679e-03    1.172102e-02    1.124451e-02   1.000000e+02         1.000000e+03         1.058302e+02        1.133635e+01         5.698000e+03         5.164297e+03        1.458555e+00                                           2.669368e-03    5.166592e-02                       0.00125467          0.605868                  0.604044                 2.26517                  5.400000e+01 
1.172102e-02    1.610262e-02    1.380030e-02   4.000000e+00         1.000000e+01         6.642984e+00        1.133635e+01         5.698000e+03         8.523009e+02        1.040322e+00                                           1.142921e+01    3.380712e+00                       0.327403            0.0104774                 0.0151484                0.0472988                9.369200e+04 
1.172102e-02    1.610262e-02    1.390711e-02   1.000000e+01         1.000000e+02         2.370348e+01        1.133635e+01         5.698000e+03         1.623533e+03        1.100681e+00                                           1.825809e+01    4.272948e+00                       0.477757            0.00202059                0.0395012                0.0445988                6.103200e+04 
