Experiment = FASERv | seed 2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 80 cm | Total Events = 511.9 |        del_theta = 0.06 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.610262e-02    2.212216e-02    1.916281e-02   1.000000e+01         1.000000e+02         2.681847e+01        1.133635e+01         5.698000e+03         1.446640e+03        5.539670e-01                                           1.355155e+01    3.681244e+00                       0.0371388           0.000469922               0.0285218                0.0214914                7.113940e+05 
2.212216e-02    3.039195e-02    2.630211e-02   1.000000e+01         1.000000e+02         2.998938e+01        1.133635e+01         5.698000e+03         1.285169e+03        3.846902e-01                                           2.086177e+01    4.567468e+00                       0.475158            0.000968702               0.00940583               0.0357477                7.867510e+05 
3.039195e-02    4.175319e-02    3.612322e-02   1.000000e+01         1.000000e+02         3.291644e+01        1.133635e+01         5.698000e+03         1.145955e+03        2.623190e-01                                           2.892259e+01    5.377972e+00                       0.960649            0.000391856               0.0023231                0.0359758                8.397340e+05 
4.175319e-02    5.736153e-02    4.944870e-02   1.000000e+01         1.000000e+02         3.515151e+01        1.133635e+01         5.698000e+03         1.031389e+03        1.790121e-01                                           3.761155e+01    6.132825e+00                       2.53195             0.000505579               0.00412905               0.0604521                8.750330e+05 
5.736153e-02    7.880463e-02    6.749688e-02   1.000000e+01         1.000000e+02         3.957219e+01        1.133635e+01         5.698000e+03         9.778985e+02        1.210558e-01                                           4.142416e+01    6.436160e+00                       4.13523             0.000459959               0.0176265                0.0781134                8.705470e+05 
7.880463e-02    1.082637e-01    9.252376e-02   1.000000e+01         1.000000e+02         4.551973e+01        1.133635e+01         5.698000e+03         9.533431e+02        8.590860e-02                                           4.083350e+01    6.390110e+00                       5.6711              0.000710904               0.0494792                0.0914886                8.352570e+05 
7.880463e-02    1.082637e-01    9.354858e-02   1.000000e+02         1.000000e+03         1.828086e+02        1.133635e+01         5.698000e+03         1.959913e+03        5.365839e-02                                           1.351097e+01    3.675727e+00                       0.931342            0.00122268                0.0631688                0.00371194               4.070910e+05 
1.082637e-01    1.487352e-01    1.268958e-01   1.000000e+01         1.000000e+02         5.196027e+01        1.133635e+01         5.698000e+03         9.315366e+02        5.886865e-02                                           3.809366e+01    6.172006e+00                       7.30395             0.00105033                0.0940098                0.111235                 7.753980e+05 
1.082637e-01    1.487352e-01    1.283122e-01   1.000000e+02         1.000000e+03         2.020810e+02        1.133635e+01         5.698000e+03         1.806452e+03        3.569927e-02                                           1.927863e+01    4.390744e+00                       2.12701             0.000906897               0.0881193                0.0223936                5.397400e+05 
1.487352e-01    2.043360e-01    1.741693e-01   1.000000e+01         1.000000e+02         5.959810e+01        1.133635e+01         5.698000e+03         9.206634e+02        3.861424e-02                                           3.173624e+01    5.633493e+00                       7.93607             0.000690219               0.141874                 0.134345                 6.862000e+05 
1.487352e-01    2.043360e-01    1.763094e-01   1.000000e+02         1.000000e+03         2.208858e+02        1.133635e+01         5.698000e+03         1.686449e+03        2.328280e-02                                           2.556063e+01    5.055752e+00                       3.96097             0.000642994               0.121283                 0.0402985                6.359950e+05 
2.043360e-01    2.807216e-01    2.381520e-01   1.000000e+01         1.000000e+02         6.845282e+01        1.133635e+01         5.698000e+03         9.194744e+02        2.370668e-02                                           2.247049e+01    4.740305e+00                       6.83162             0.00091554                0.181638                 0.15988                  5.615190e+05 
2.043360e-01    2.807216e-01    2.417458e-01   1.000000e+02         1.000000e+03         2.404537e+02        1.133635e+01         5.698000e+03         1.583080e+03        1.433894e-02                                           2.986058e+01    5.464483e+00                       5.65543             0.00102202                0.144824                 0.0525165                7.016750e+05 
2.807216e-01    3.856620e-01    3.230029e-01   1.000000e+01         1.000000e+02         7.844404e+01        1.133635e+01         5.698000e+03         9.181277e+02        1.276196e-02                                           1.190893e+01    3.450931e+00                       4.22951             0.000698024               0.196505                 0.203521                 3.856450e+05 
2.807216e-01    3.856620e-01    3.299322e-01   1.000000e+02         1.000000e+03         2.586631e+02        1.133635e+01         5.698000e+03         1.496934e+03        7.751122e-03                                           3.005389e+01    5.482143e+00                       6.091               0.00116432                0.147802                 0.0761159                7.456600e+05 
3.856620e-01    5.298317e-01    4.451399e-01   1.000000e+02         1.000000e+03         2.788898e+02        1.133635e+01         5.698000e+03         1.431933e+03        3.704782e-03                                           2.218894e+01    4.710514e+00                       2.2446              0.000425443               0.0276029                0.0963188                7.744190e+05 
