Experiment = FASERv2 | seed 1 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660 cm | Total Events = 373775.6 |    del_theta = 0.1 mrad, theta_max = 50.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 100.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.743329e-03    2.395027e-03    2.075000e-03   4.000000e+00         1.000000e+01         5.780590e+00        1.133635e+01         5.698000e+03         2.269449e+03        6.082606e+00                                           1.074952e+02    1.036799e+01                       4.7525              0.0253745                 0.0691253                0.113441                 6.652800e+04 
2.395027e-03    3.290345e-03    2.890514e-03   4.000000e+00         1.000000e+01         6.093309e+00        1.133635e+01         5.698000e+03         1.876871e+03        4.835183e+00                                           2.428829e+02    1.558470e+01                       7.59951             0.0453828                 0.00605695               0.0859369                7.514700e+04 
3.290345e-03    4.520354e-03    3.930718e-03   4.000000e+00         1.000000e+01         6.210846e+00        1.133635e+01         5.698000e+03         1.551800e+03        3.917257e+00                                           4.913995e+02    2.216753e+01                       37.4513             0.00931055                0.0384699                0.0798946                8.146100e+04 
3.290345e-03    4.520354e-03    3.999627e-03   1.000000e+01         1.000000e+02         1.427537e+01        1.133635e+01         5.698000e+03         2.631101e+03        4.236941e+00                                           1.789337e+02    1.337661e+01                       14.9537             0.000187371               0.0300376                0.0184162                1.278400e+04 
4.520354e-03    6.210169e-03    5.323943e-03   4.000000e+00         1.000000e+01         6.335985e+00        1.133635e+01         5.698000e+03         1.319672e+03        2.574574e+00                                           6.993955e+02    2.644609e+01                       11.7422             0.0197485                 0.04606                  0.0742073                8.607300e+04 
4.520354e-03    6.210169e-03    5.386114e-03   1.000000e+01         1.000000e+02         1.592350e+01        1.133635e+01         5.698000e+03         2.315210e+03        2.722816e+00                                           3.777835e+02    1.943665e+01                       47.8924             0.00133641                0.100931                 0.0459394                2.082400e+04 
6.210169e-03    8.531679e-03    7.432165e-03   4.000000e+00         1.000000e+01         6.431544e+00        1.133635e+01         5.698000e+03         1.109400e+03        1.729997e+00                                           1.015151e+03    3.186143e+01                       45.6651             0.0124242                 0.0821044                0.0482801                8.943600e+04 
6.210169e-03    8.531679e-03    7.487339e-03   1.000000e+01         1.000000e+02         1.800085e+01        1.133635e+01         5.698000e+03         2.015565e+03        1.888335e+00                                           8.181957e+02    2.860412e+01                       105.855             0.00915351                0.131512                 0.0601061                3.196100e+04 
8.531679e-03    1.172102e-02    1.013939e-02   4.000000e+00         1.000000e+01         6.556483e+00        1.133635e+01         5.698000e+03         9.624735e+02        1.477505e+00                                           1.659925e+03    4.074218e+01                       124.118             0.0164498                 0.0386606                0.0706643                9.185500e+04 
8.531679e-03    1.172102e-02    1.023719e-02   1.000000e+01         1.000000e+02         2.038134e+01        1.133635e+01         5.698000e+03         1.778683e+03        1.617570e+00                                           1.885651e+03    4.342408e+01                       23.0883             0.00140011                0.0106674                0.0261646                4.725900e+04 
1.172102e-02    1.610262e-02    1.380244e-02   4.000000e+00         1.000000e+01         6.631767e+00        1.133635e+01         5.698000e+03         8.390370e+02        1.034606e+00                                           2.060013e+03    4.538737e+01                       67.846              0.0126342                 0.0141067                0.0527107                9.372600e+04 
1.172102e-02    1.610262e-02    1.390798e-02   1.000000e+01         1.000000e+02         2.335331e+01        1.133635e+01         5.698000e+03         1.593731e+03        1.096493e+00                                           3.133143e+03    5.597449e+01                       49.3653             0.00178391                0.0318237                0.0405727                6.125000e+04 
1.610262e-02    2.212216e-02    1.913848e-02   4.000000e+00         1.000000e+01         6.705326e+00        1.133635e+01         5.698000e+03         7.394829e+02        6.236181e-01                                           2.168802e+03    4.657040e+01                       102.897             0.00428171                0.104448                 0.0548102                9.484100e+04 
1.610262e-02    2.212216e-02    1.929606e-02   1.000000e+01         1.000000e+02         2.654365e+01        1.133635e+01         5.698000e+03         1.416860e+03        6.313869e-01                                           4.436556e+03    6.660748e+01                       596.214             0.00274741                0.157466                 0.0661894                7.130200e+04 
2.212216e-02    3.039195e-02    2.598474e-02   4.000000e+00         1.000000e+01         7.251958e+00        1.133635e+01         5.698000e+03         6.822910e+02        5.399143e-01                                           2.573079e+03    5.072553e+01                       294.878             0.00245734                0.0154085                0.112216                 8.068600e+04 
2.212216e-02    3.039195e-02    2.639879e-02   1.000000e+01         1.000000e+02         2.991581e+01        1.133635e+01         5.698000e+03         1.264125e+03        5.353339e-01                                           8.270976e+03    9.094491e+01                       204.426             0.000898001               0.0155306                0.0267882                7.868300e+04 
2.212216e-02    3.039195e-02    2.698416e-02   1.000000e+02         1.000000e+03         1.265085e+02        1.133635e+01         5.698000e+03         3.226742e+03        4.870149e-01                                           3.452534e+02    1.858099e+01                       32.3033             0.00305848                0.0397914                0.0996633                6.059000e+03 
3.039195e-02    4.175319e-02    3.514185e-02   4.000000e+00         1.000000e+01         8.237523e+00        1.133635e+01         5.698000e+03         6.438473e+02        4.056843e-01                                           1.831242e+03    4.279301e+01                       333.276             0.0036348                 0.0196077                0.164023                 5.166900e+04 
3.039195e-02    4.175319e-02    3.595120e-02   1.000000e+01         1.000000e+02         3.285016e+01        1.133635e+01         5.698000e+03         1.132908e+03        3.871262e-01                                           1.226110e+04    1.107299e+02                       590.786             0.00179011                0.0238067                0.0540122                8.395900e+04 
3.039195e-02    4.175319e-02    3.662896e-02   1.000000e+02         1.000000e+03         1.370028e+02        1.133635e+01         5.698000e+03         2.732838e+03        3.364576e-01                                           1.065007e+03    3.263444e+01                       23.157              0.00124482                0.0410152                0.036893                 1.133500e+04 
4.175319e-02    5.736153e-02    4.530522e-02   4.000000e+00         1.000000e+01         9.233512e+00        1.133635e+01         5.698000e+03         6.155560e+02        2.412338e-01                                           4.090121e+02    2.022405e+01                       94.0161             0.00130688                0.146069                 0.238308                 1.286100e+04 
4.175319e-02    5.736153e-02    4.950647e-02   1.000000e+01         1.000000e+02         3.526826e+01        1.133635e+01         5.698000e+03         1.009174e+03        2.019809e-01                                           1.341060e+04    1.158041e+02                       1193.36             0.0018906                 0.142964                 0.0575999                8.787700e+04 
