Experiment = FASERv2 | seed 1 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 115059.1 |        del_theta = 1.0 mrad, theta_max = 463.6 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 5698.00 GeV|        del_Ehadron = 50.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 5698.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      N_sys_errs          MC_Samples 
6.210169e-03    8.531679e-03    7.412236e-03   4.000000e+00         1.000000e+01         6.512621e+00        1.133635e+01         5.698000e+03         1.131874e+03        9.071626e-01                                           2.405756e+02    1.551050e+01                       3.03186             8.945110e+05 
8.531679e-03    1.172102e-02    1.012401e-02   4.000000e+00         1.000000e+01         6.653728e+00        1.133635e+01         5.698000e+03         1.026165e+03        7.784488e-01                                           3.758934e+02    1.938797e+01                       58.3917             9.189720e+05 
8.531679e-03    1.172102e-02    1.022928e-02   1.000000e+01         1.000000e+02         2.103081e+01        1.133635e+01         5.698000e+03         1.815799e+03        8.543228e-01                                           4.709447e+02    2.170126e+01                       12.3982             4.723810e+05 
1.172102e-02    1.610262e-02    1.379385e-02   4.000000e+00         1.000000e+01         6.718373e+00        1.133635e+01         5.698000e+03         8.994824e+02        5.476014e-01                                           4.503362e+02    2.122113e+01                       44.9154             9.366250e+05 
1.172102e-02    1.610262e-02    1.392144e-02   1.000000e+01         1.000000e+02         2.418545e+01        1.133635e+01         5.698000e+03         1.630398e+03        5.845485e-01                                           7.959093e+02    2.821186e+01                       3.91728             6.109800e+05 
1.610262e-02    2.212216e-02    1.910452e-02   4.000000e+00         1.000000e+01         6.784147e+00        1.133635e+01         5.698000e+03         7.976327e+02        3.314824e-01                                           4.696974e+02    2.167250e+01                       21.4633             9.483160e+05 
1.610262e-02    2.212216e-02    1.929975e-02   1.000000e+01         1.000000e+02         2.819973e+01        1.133635e+01         5.698000e+03         1.471049e+03        3.446048e-01                                           1.126748e+03    3.356706e+01                       140.301             7.125100e+05 
2.212216e-02    3.039195e-02    2.596467e-02   4.000000e+00         1.000000e+01         7.302769e+00        1.133635e+01         5.698000e+03         7.415495e+02        2.860406e-01                                           5.317990e+02    2.306077e+01                       145.78              8.093920e+05 
2.212216e-02    3.039195e-02    2.639910e-02   1.000000e+01         1.000000e+02         3.217594e+01        1.133635e+01         5.698000e+03         1.324099e+03        2.927148e-01                                           2.055826e+03    4.534122e+01                       151.272             7.869060e+05 
3.039195e-02    4.175319e-02    3.516436e-02   4.000000e+00         1.000000e+01         8.272116e+00        1.133635e+01         5.698000e+03         6.903272e+02        2.148635e-01                                           3.777063e+02    1.943467e+01                       146.009             5.185320e+05 
3.039195e-02    4.175319e-02    3.597160e-02   1.000000e+01         1.000000e+02         3.597641e+01        1.133635e+01         5.698000e+03         1.195511e+03        2.132958e-01                                           2.991578e+03    5.469532e+01                       365.379             8.398410e+05 
4.175319e-02    5.736153e-02    4.951950e-02   1.000000e+01         1.000000e+02         3.935754e+01        1.133635e+01         5.698000e+03         1.059215e+03        1.149920e-01                                           3.317262e+03    5.759567e+01                       79.7569             8.783000e+05 
5.736153e-02    7.880463e-02    6.802146e-02   1.000000e+01         1.000000e+02         4.447938e+01        1.133635e+01         5.698000e+03         9.701812e+02        9.888150e-02                                           4.630701e+03    6.804926e+01                       746.699             8.783380e+05 
5.736153e-02    7.880463e-02    6.912174e-02   1.000000e+02         1.000000e+03         1.701515e+02        1.133635e+01         5.698000e+03         2.017033e+03        8.847851e-02                                           1.516853e+03    3.894680e+01                       45.7199             2.903120e+05 
7.880463e-02    1.082637e-01    9.282571e-02   1.000000e+01         1.000000e+02         5.006629e+01        1.133635e+01         5.698000e+03         8.966490e+02        7.474765e-02                                           5.445406e+03    7.379300e+01                       1354.8              8.475230e+05 
