Experiment = FASERv2 | seed 1 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660 cm | Total Events = 100304.1 |        del_theta = 0.1 mrad, theta_max = 50.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
3.290345e-03    4.520354e-03    3.930718e-03   4.000000e+00         1.000000e+01         6.210846e+00        1.133635e+01         5.698000e+03         1.551800e+03        1.893726e+00                                           1.818984e+02    1.348697e+01                       22.4747             0.0243813                 0.0756493                0.116712                 8.146100e+04 
4.520354e-03    6.210169e-03    5.323943e-03   4.000000e+00         1.000000e+01         6.335985e+00        1.133635e+01         5.698000e+03         1.319672e+03        1.230962e+00                                           2.600132e+02    1.612493e+01                       4.53826             0.0263684                 0.0384904                0.111139                 8.607300e+04 
4.520354e-03    6.210169e-03    5.386114e-03   1.000000e+01         1.000000e+02         1.592350e+01        1.133635e+01         5.698000e+03         2.315210e+03        1.275931e+00                                           1.290474e+02    1.135991e+01                       21.7313             0.00242298                0.134389                 0.00017307               2.082400e+04 
6.210169e-03    8.531679e-03    7.432165e-03   4.000000e+00         1.000000e+01         6.431544e+00        1.133635e+01         5.698000e+03         1.109400e+03        8.251888e-01                                           3.780465e+02    1.944342e+01                       16.7389             0.0185771                 0.0730832                0.058438                 8.943600e+04 
6.210169e-03    8.531679e-03    7.487339e-03   1.000000e+01         1.000000e+02         1.800085e+01        1.133635e+01         5.698000e+03         2.015565e+03        8.729255e-01                                           2.759106e+02    1.661056e+01                       47.4789             0.00488889                0.167273                 0.038303                 3.196100e+04 
8.531679e-03    1.172102e-02    1.013939e-02   4.000000e+00         1.000000e+01         6.556483e+00        1.133635e+01         5.698000e+03         9.624735e+02        7.036912e-01                                           6.283793e+02    2.506750e+01                       74.0322             0.018474                  0.0696184                0.100158                 9.185500e+04 
8.531679e-03    1.172102e-02    1.023719e-02   1.000000e+01         1.000000e+02         2.038134e+01        1.133635e+01         5.698000e+03         1.778683e+03        7.499646e-01                                           6.526420e+02    2.554686e+01                       21.6488             0.00222051                0.0307456                0.0103681                4.725900e+04 
1.172102e-02    1.610262e-02    1.380244e-02   4.000000e+00         1.000000e+01         6.631767e+00        1.133635e+01         5.698000e+03         8.390370e+02        4.934199e-01                                           7.850093e+02    2.801802e+01                       54.5565             0.0171731                 0.0275343                0.0897835                9.372600e+04 
1.172102e-02    1.610262e-02    1.390798e-02   1.000000e+01         1.000000e+02         2.335331e+01        1.133635e+01         5.698000e+03         1.593731e+03        5.078533e-01                                           1.076155e+03    3.280481e+01                       1.68                0.00234671                0.0215736                0.0493413                6.125000e+04 
1.610262e-02    2.212216e-02    1.913848e-02   4.000000e+00         1.000000e+01         6.705326e+00        1.133635e+01         5.698000e+03         7.394829e+02        2.955412e-01                                           8.235369e+02    2.869733e+01                       36.0825             0.0046052                 0.13456                  0.0311368                9.484100e+04 
1.610262e-02    2.212216e-02    1.929606e-02   1.000000e+01         1.000000e+02         2.654365e+01        1.133635e+01         5.698000e+03         1.416860e+03        2.852744e-01                                           1.523624e+03    3.903363e+01                       247.637             0.00387941                0.18924                  0.0300618                7.130200e+04 
2.212216e-02    3.039195e-02    2.598474e-02   4.000000e+00         1.000000e+01         7.251958e+00        1.133635e+01         5.698000e+03         6.822910e+02        2.567341e-01                                           9.848352e+02    3.138208e+01                       182.776             0.004107                  0.035554                 0.183548                 8.068600e+04 
2.212216e-02    3.039195e-02    2.639879e-02   1.000000e+01         1.000000e+02         2.991581e+01        1.133635e+01         5.698000e+03         1.264125e+03        2.418964e-01                                           2.839660e+03    5.328846e+01                       178.352             0.000896435               0.0311587                0.036374                 7.868300e+04 
3.039195e-02    4.175319e-02    3.514185e-02   4.000000e+00         1.000000e+01         8.237523e+00        1.133635e+01         5.698000e+03         6.438473e+02        1.931550e-01                                           6.995538e+02    2.644908e+01                       196.973             0.00200099                0.03434                  0.279999                 5.166900e+04 
3.039195e-02    4.175319e-02    3.595120e-02   1.000000e+01         1.000000e+02         3.285016e+01        1.133635e+01         5.698000e+03         1.132908e+03        1.737880e-01                                           4.166631e+03    6.454944e+01                       387.645             0.00237615                0.0628767                0.078982                 8.395900e+04 
3.039195e-02    4.175319e-02    3.662896e-02   1.000000e+02         1.000000e+03         1.370028e+02        1.133635e+01         5.698000e+03         2.732838e+03        1.382991e-01                                           2.839867e+02    1.685191e+01                       1.89482             0.00266095                0.113507                 0.0754994                1.133500e+04 
4.175319e-02    5.736153e-02    4.530522e-02   4.000000e+00         1.000000e+01         9.233512e+00        1.133635e+01         5.698000e+03         6.155560e+02        1.126803e-01                                           1.505874e+02    1.227141e+01                       45.8559             0.00333061                0.179241                 0.356172                 1.286100e+04 
4.175319e-02    5.736153e-02    4.950647e-02   1.000000e+01         1.000000e+02         3.526826e+01        1.133635e+01         5.698000e+03         1.009174e+03        8.710400e-02                                           4.369753e+03    6.610410e+01                       453.454             0.00272243                0.176516                 0.000880498              8.787700e+04 
4.175319e-02    5.736153e-02    5.024340e-02   1.000000e+02         1.000000e+03         1.501433e+02        1.133635e+01         5.698000e+03         2.353221e+03        6.228348e-02                                           5.229896e+02    2.286896e+01                       115.364             0.00112965                0.147267                 0.0770334                1.859400e+04 
5.736153e-02    7.880463e-02    6.806456e-02   1.000000e+01         1.000000e+02         4.046419e+01        1.133635e+01         5.698000e+03         9.328723e+02        7.558961e-02                                           6.126885e+03    7.827442e+01                       695.392             0.000457264               0.0369102                0.0827457                8.784100e+04 
5.736153e-02    7.880463e-02    6.912409e-02   1.000000e+02         1.000000e+03         1.657065e+02        1.133635e+01         5.698000e+03         2.045025e+03        5.322526e-02                                           1.335198e+03    3.654036e+01                       90.4165             0.00270332                0.0855208                0.033981                 2.894200e+04 
7.880463e-02    1.082637e-01    9.276082e-02   1.000000e+01         1.000000e+02         4.647507e+01        1.133635e+01         5.698000e+03         8.698768e+02        5.684373e-02                                           7.283728e+03    8.534476e+01                       1589.8              0.000501746               0.137535                 0.136848                 8.468700e+04 
7.880463e-02    1.082637e-01    9.395575e-02   1.000000e+02         1.000000e+03         1.840679e+02        1.133635e+01         5.698000e+03         1.801396e+03        3.825589e-02                                           2.648315e+03    5.146178e+01                       453.392             0.000577197               0.173538                 0.0393589                4.310300e+04 
1.082637e-01    1.487352e-01    1.262270e-01   1.000000e+01         1.000000e+02         5.256148e+01        1.133635e+01         5.698000e+03         8.248912e+02        2.769828e-02                                           5.580381e+03    7.470195e+01                       214.966             0.00098667                0.0745987                0.0413871                7.933200e+04 
1.082637e-01    1.487352e-01    1.275767e-01   1.000000e+02         1.000000e+03         2.017996e+02        1.133635e+01         5.698000e+03         1.616199e+03        1.564611e-02                                           2.992079e+03    5.469990e+01                       254.33              0.000966908               0.101721                 0.0199212                5.802500e+04 
1.487352e-01    2.043360e-01    1.755155e-01   1.000000e+01         1.000000e+02         6.023901e+01        1.133635e+01         5.698000e+03         7.767142e+02        2.179533e-02                                           5.853859e+03    7.651051e+01                       1108.93             0.000438088               0.0796059                0.121802                 7.059100e+04 
1.487352e-01    2.043360e-01    1.779482e-01   1.000000e+02         1.000000e+03         2.246710e+02        1.133635e+01         5.698000e+03         1.447158e+03        1.300166e-02                                           5.052762e+03    7.108278e+01                       474.236             0.000214488               0.0717234                0.000398644              6.849100e+04 
2.043360e-01    2.807216e-01    2.386502e-01   1.000000e+01         1.000000e+02         6.878754e+01        1.133635e+01         5.698000e+03         7.388008e+02        1.643203e-02                                           5.281244e+03    7.267217e+01                       1906.6              0.000690541               0.240585                 0.207455                 5.757700e+04 
2.043360e-01    2.807216e-01    2.422546e-01   1.000000e+02         1.000000e+03         2.487724e+02        1.133635e+01         5.698000e+03         1.319802e+03        9.941062e-03                                           7.873066e+03    8.873030e+01                       2135.68             0.000145582               0.241018                 0.0836904                7.596100e+04 
2.807216e-01    3.856620e-01    3.183311e-01   1.000000e+01         1.000000e+02         7.813223e+01        1.133635e+01         5.698000e+03         7.204372e+02        8.724590e-03                                           2.593838e+03    5.092973e+01                       717.563             0.00116977                0.0769163                0.179814                 4.000800e+04 
2.807216e-01    3.856620e-01    3.235192e-01   1.000000e+02         1.000000e+03         2.633892e+02        1.133635e+01         5.698000e+03         1.227799e+03        5.106678e-03                                           6.553111e+03    8.095129e+01                       293.011             0.000617699               0.00669228               0.0281557                8.101400e+04 
2.807216e-01    3.856620e-01    3.246456e-01   1.000000e+03         1.000000e+04         1.274602e+03        1.133635e+01         5.698000e+03         3.083485e+03        1.618919e-03                                           1.219354e+02    1.104244e+01                       40.3082             0.00231791                0.145672                 0.0757778                9.203000e+03 
3.856620e-01    5.298317e-01    4.334409e-01   1.000000e+01         1.000000e+02         9.030839e+01        1.133635e+01         5.698000e+03         7.179102e+02        3.990840e-03                                           6.515537e+02    2.552555e+01                       191.217             0.0010175                 0.0561661                0.294371                 1.492200e+04 
3.856620e-01    5.298317e-01    4.592101e-01   1.000000e+02         1.000000e+03         2.790698e+02        1.133635e+01         5.698000e+03         1.133682e+03        2.431951e-03                                           6.154681e+03    7.845178e+01                       124.541             0.000254715               0.0531488                0.00830162               8.460700e+04 
3.856620e-01    5.298317e-01    4.691221e-01   1.000000e+03         1.000000e+04         1.342873e+03        1.133635e+01         5.698000e+03         2.708236e+03        6.787019e-04                                           1.978105e+02    1.406451e+01                       56.2946             0.00162111                0.202415                 0.205042                 1.483900e+04 
5.298317e-01    7.278954e-01    6.221132e-01   1.000000e+02         1.000000e+03         3.231604e+02        1.133635e+01         5.698000e+03         1.088572e+03        1.784625e-03                                           7.601560e+03    8.718693e+01                       2749.35             0.000373084               0.294065                 0.171853                 8.511000e+04 
