Experiment = FASERv2 | seed 1 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 117382.5 |        del_theta = 1.0 mrad, theta_max = 463.6 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 5698.00 GeV|        del_Ehadron = 50.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 5698.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      N_sys_errs          MC_Samples 
6.723358e-04    9.236709e-04    8.117211e-04   4.000000e+00         1.000000e+01         4.839481e+00        1.133635e+01         5.698000e+03         3.804002e+03        7.615449e+00                                           7.119776e-01    8.437876e-01                       0.41532             1.887230e+05 
9.236709e-04    1.268961e-03    1.118143e-03   4.000000e+00         1.000000e+01         5.169729e+00        1.133635e+01         5.698000e+03         3.114294e+03        6.657519e+00                                           3.796619e+00    1.948492e+00                       0.575245            3.809070e+05 
1.268961e-03    1.743329e-03    1.541998e-03   4.000000e+00         1.000000e+01         5.591325e+00        1.133635e+01         5.698000e+03         2.681155e+03        5.242762e+00                                           1.308868e+01    3.617829e+00                       3.32568             5.450980e+05 
1.268961e-03    1.743329e-03    1.542099e-03   1.000000e+01         1.000000e+02         1.099922e+01        1.133635e+01         5.698000e+03         4.510750e+03        5.749547e+00                                           3.462654e-01    5.884432e-01                       1.01571             1.209900e+04 
1.743329e-03    2.395027e-03    2.081036e-03   4.000000e+00         1.000000e+01         5.752524e+00        1.133635e+01         5.698000e+03         2.283883e+03        3.058409e+00                                           2.711228e+01    5.206945e+00                       6.71571             6.649430e+05 
1.743329e-03    2.395027e-03    2.118206e-03   1.000000e+01         1.000000e+02         1.229523e+01        1.133635e+01         5.698000e+03         3.823553e+03        3.109017e+00                                           2.350576e+00    1.533159e+00                       1.54964             3.500200e+04 
2.395027e-03    3.290345e-03    2.898323e-03   4.000000e+00         1.000000e+01         6.067404e+00        1.133635e+01         5.698000e+03         1.856069e+03        2.457687e+00                                           6.140558e+01    7.836171e+00                       14.2726             7.514550e+05 
2.395027e-03    3.290345e-03    2.911697e-03   1.000000e+01         1.000000e+02         1.327588e+01        1.133635e+01         5.698000e+03         3.156661e+03        2.650089e+00                                           1.167578e+01    3.416984e+00                       4.72851             7.200800e+04 
3.290345e-03    4.520354e-03    3.928130e-03   4.000000e+00         1.000000e+01         6.292195e+00        1.133635e+01         5.698000e+03         1.536820e+03        2.007158e+00                                           1.235796e+02    1.111664e+01                       26.9834             8.148780e+05 
3.290345e-03    4.520354e-03    4.011745e-03   1.000000e+01         1.000000e+02         1.437420e+01        1.133635e+01         5.698000e+03         2.662372e+03        2.166485e+00                                           4.212583e+01    6.490442e+00                       7.88451             1.284460e+05 
4.520354e-03    6.210169e-03    5.322997e-03   4.000000e+00         1.000000e+01         6.418179e+00        1.133635e+01         5.698000e+03         1.341120e+03        1.338001e+00                                           1.728977e+02    1.314906e+01                       34.3969             8.608480e+05 
4.520354e-03    6.210169e-03    5.407081e-03   1.000000e+01         1.000000e+02         1.604036e+01        1.133635e+01         5.698000e+03         2.316489e+03        1.400724e+00                                           9.510113e+01    9.751981e+00                       5.70191             2.086700e+05 
6.210169e-03    8.531679e-03    7.413568e-03   4.000000e+00         1.000000e+01         6.511858e+00        1.133635e+01         5.698000e+03         1.132911e+03        9.109724e-01                                           2.419145e+02    1.555360e+01                       30.253              8.944170e+05 
6.210169e-03    8.531679e-03    7.496538e-03   1.000000e+01         1.000000e+02         1.826609e+01        1.133635e+01         5.698000e+03         2.036289e+03        9.931965e-01                                           2.097794e+02    1.448376e+01                       20.4913             3.214650e+05 
8.531679e-03    1.172102e-02    1.012632e-02   4.000000e+00         1.000000e+01         6.649182e+00        1.133635e+01         5.698000e+03         1.027773e+03        7.837644e-01                                           3.777537e+02    1.943589e+01                       69.7933             9.189720e+05 
8.531679e-03    1.172102e-02    1.023133e-02   1.000000e+01         1.000000e+02         2.104919e+01        1.133635e+01         5.698000e+03         1.817528e+03        8.615235e-01                                           4.783464e+02    2.187113e+01                       12.8665             4.715190e+05 
1.172102e-02    1.610262e-02    1.379680e-02   4.000000e+00         1.000000e+01         6.719359e+00        1.133635e+01         5.698000e+03         8.997454e+02        5.533842e-01                                           4.544796e+02    2.131853e+01                       73.6035             9.368450e+05 
1.172102e-02    1.610262e-02    1.392404e-02   1.000000e+01         1.000000e+02         2.417825e+01        1.133635e+01         5.698000e+03         1.630068e+03        5.917961e-01                                           8.026426e+02    2.833095e+01                       70.7376             6.104270e+05 
1.172102e-02    1.610262e-02    1.473909e-02   1.000000e+02         1.000000e+03         1.096066e+02        1.133635e+01         5.698000e+03         4.457814e+03        5.238680e-01                                           1.573077e+00    1.254224e+00                       3.61433             8.350000e+03 
1.610262e-02    2.212216e-02    1.910403e-02   4.000000e+00         1.000000e+01         6.784818e+00        1.133635e+01         5.698000e+03         7.976434e+02        3.375387e-01                                           4.769012e+02    2.183807e+01                       53.2481             9.473120e+05 
1.610262e-02    2.212216e-02    1.929993e-02   1.000000e+01         1.000000e+02         2.820125e+01        1.133635e+01         5.698000e+03         1.470837e+03        3.515492e-01                                           1.139539e+03    3.375706e+01                       9.08438             7.120030e+05 
1.610262e-02    2.212216e-02    1.992756e-02   1.000000e+02         1.000000e+03         1.196930e+02        1.133635e+01         5.698000e+03         3.817630e+03        3.366432e-01                                           1.462060e+01    3.823690e+00                       19.4158             2.776700e+04 
2.212216e-02    3.039195e-02    2.596507e-02   4.000000e+00         1.000000e+01         7.302610e+00        1.133635e+01         5.698000e+03         7.413631e+02        2.914949e-01                                           5.427476e+02    2.329694e+01                       165.367             8.099310e+05 
2.212216e-02    3.039195e-02    2.639927e-02   1.000000e+01         1.000000e+02         3.217534e+01        1.133635e+01         5.698000e+03         1.323864e+03        2.987942e-01                                           2.094439e+03    4.576505e+01                       182.001             7.872070e+05 
2.212216e-02    3.039195e-02    2.701885e-02   1.000000e+02         1.000000e+03         1.270022e+02        1.133635e+01         5.698000e+03         3.216093e+03        2.818591e-01                                           8.288644e+01    9.104199e+00                       50.754              6.172200e+04 
