Experiment = FLArE10 | seed 1 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 700 cm | Total Events = 80881.5 |    del_theta = 15.0 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 0.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
3.290345e-03    4.520354e-03    3.944981e-03   4.000000e+00         1.000000e+01         6.054628e+00        1.133635e+01         5.698000e+03         1.321266e+03        3.650620e+00                                           1.000830e+02    1.000415e+01                       45.2567             0.415883                  0.0138962                0.0807468                8.303900e+04 
4.520354e-03    6.210169e-03    5.333204e-03   4.000000e+00         1.000000e+01         6.225286e+00        1.133635e+01         5.698000e+03         1.120515e+03        2.385644e+00                                           1.518325e+02    1.232204e+01                       63.4306             0.424003                  0.101837                 0.0846927                8.760200e+04 
6.210169e-03    8.531679e-03    7.437304e-03   4.000000e+00         1.000000e+01         6.323932e+00        1.133635e+01         5.698000e+03         9.260033e+02        1.613546e+00                                           2.375890e+02    1.541392e+01                       70.3043             0.283571                  0.118996                 0.066989                 9.082500e+04 
6.210169e-03    8.531679e-03    7.518845e-03   1.000000e+01         1.000000e+02         1.707226e+01        1.133635e+01         5.698000e+03         1.802869e+03        1.780946e+00                                           1.448904e+02    1.203704e+01                       41.343              0.220389                  0.184411                 0.0859729                3.348300e+04 
8.531679e-03    1.172102e-02    1.015236e-02   4.000000e+00         1.000000e+01         6.465434e+00        1.133635e+01         5.698000e+03         8.016071e+02        1.379169e+00                                           4.111023e+02    2.027566e+01                       32.9732             0.0845186                 0.011723                 0.0646826                9.320200e+04 
8.531679e-03    1.172102e-02    1.024535e-02   1.000000e+01         1.000000e+02         1.930672e+01        1.133635e+01         5.698000e+03         1.579572e+03        1.533795e+00                                           3.446762e+02    1.856546e+01                       31.8724             0.100803                  0.035293                 0.0114078                4.822900e+04 
1.172102e-02    1.610262e-02    1.380212e-02   4.000000e+00         1.000000e+01         6.534285e+00        1.133635e+01         5.698000e+03         6.886353e+02        9.698245e-01                                           5.305546e+02    2.303377e+01                       39.4451             0.0795188                 0.0466169                0.0574844                9.480100e+04 
1.172102e-02    1.610262e-02    1.391971e-02   1.000000e+01         1.000000e+02         2.157727e+01        1.133635e+01         5.698000e+03         1.383620e+03        1.055954e+00                                           5.977278e+02    2.444847e+01                       66.9258             0.119719                  0.0714663                0.02887                  6.214400e+04 
1.610262e-02    2.212216e-02    1.916695e-02   4.000000e+00         1.000000e+01         6.608382e+00        1.133635e+01         5.698000e+03         6.054449e+02        5.886353e-01                                           5.893252e+02    2.427602e+01                       32.8285             0.055207                  0.158309                 0.0681748                9.588000e+04 
1.610262e-02    2.212216e-02    1.932183e-02   1.000000e+01         1.000000e+02         2.431396e+01        1.133635e+01         5.698000e+03         1.222895e+03        6.098911e-01                                           8.885933e+02    2.980928e+01                       73.3144             0.0856869                 0.184424                 0.0813561                7.199900e+04 
2.212216e-02    3.039195e-02    2.621117e-02   4.000000e+00         1.000000e+01         6.662062e+00        1.133635e+01         5.698000e+03         5.404125e+02        5.133742e-01                                           8.534267e+02    2.921347e+01                       173.861             0.214062                  0.0252495                0.0503362                9.659000e+04 
2.212216e-02    3.039195e-02    2.640473e-02   1.000000e+01         1.000000e+02         2.730876e+01        1.133635e+01         5.698000e+03         1.093922e+03        5.199385e-01                                           1.679187e+03    4.097789e+01                       397.428             0.236713                  0.0316929                0.0148692                7.917700e+04 
3.039195e-02    4.175319e-02    3.580293e-02   4.000000e+00         1.000000e+01         6.711942e+00        1.133635e+01         5.698000e+03         4.897693e+02        3.814921e-01                                           9.927377e+02    3.150774e+01                       269.548             0.286969                  0.0377273                0.0592421                9.727100e+04 
3.039195e-02    4.175319e-02    3.594220e-02   1.000000e+01         1.000000e+02         3.008305e+01        1.133635e+01         5.698000e+03         9.910236e+02        3.776504e-01                                           2.464978e+03    4.964855e+01                       746.711             0.296355                  0.0200472                0.0484953                8.430300e+04 
3.039195e-02    4.175319e-02    3.658665e-02   1.000000e+02         1.000000e+03         1.349849e+02        1.133635e+01         5.698000e+03         2.681383e+03        3.349378e-01                                           1.339769e+02    1.157484e+01                       33.8946             0.302785                  0.0251376                0.0669015                1.118300e+04 
4.175319e-02    5.736153e-02    4.927622e-02   4.000000e+00         1.000000e+01         6.733234e+00        1.133635e+01         5.698000e+03         4.565375e+02        2.134723e-01                                           9.189530e+02    3.031424e+01                       229.673             0.260524                  0.0674373                0.0430504                9.753900e+04 
4.175319e-02    5.736153e-02    4.951145e-02   1.000000e+01         1.000000e+02         3.243153e+01        1.133635e+01         5.698000e+03         8.988711e+02        1.991654e-01                                           2.692934e+03    5.189349e+01                       675.655             0.236571                  0.142181                 0.0677091                8.755900e+04 
4.175319e-02    5.736153e-02    5.019906e-02   1.000000e+02         1.000000e+03         1.478363e+02        1.133635e+01         5.698000e+03         2.334816e+03        1.681297e-01                                           2.655787e+02    1.629659e+01                       60.3477             0.24566                   0.104427                 0.0596537                1.828100e+04 
5.736153e-02    7.880463e-02    6.791269e-02   4.000000e+00         1.000000e+01         6.742546e+00        1.133635e+01         5.698000e+03         4.224062e+02        1.856759e-01                                           1.142022e+03    3.379382e+01                       416.289             0.373792                  0.0592292                0.0475008                9.780400e+04 
5.736153e-02    7.880463e-02    6.822267e-02   1.000000e+01         1.000000e+02         3.508443e+01        1.133635e+01         5.698000e+03         8.252079e+02        1.743323e-01                                           4.037032e+03    6.353764e+01                       1472.24             0.348315                  0.0132437                0.0265237                9.002700e+04 
5.736153e-02    7.880463e-02    6.915843e-02   1.000000e+02         1.000000e+03         1.606772e+02        1.133635e+01         5.698000e+03         2.027802e+03        1.435493e-01                                           6.724843e+02    2.593230e+01                       243.72              0.355772                  0.0453245                0.0343212                2.795100e+04 
7.880463e-02    1.082637e-01    9.274717e-02   4.000000e+00         1.000000e+01         6.780175e+00        1.133635e+01         5.698000e+03         4.056659e+02        1.424901e-01                                           1.286780e+03    3.587172e+01                       558.954             0.439096                  0.131977                 0.0903314                9.796400e+04 
7.880463e-02    1.082637e-01    9.301014e-02   1.000000e+01         1.000000e+02         3.707502e+01        1.133635e+01         5.698000e+03         7.672102e+02        1.339501e-01                                           5.142534e+03    7.171146e+01                       2181.95             0.404485                  0.0858754                0.0715192                9.164800e+04 
7.880463e-02    1.082637e-01    9.382748e-02   1.000000e+02         1.000000e+03         1.745791e+02        1.133635e+01         5.698000e+03         1.800120e+03        1.065973e-01                                           1.319984e+03    3.633158e+01                       563.231             0.412042                  0.0947971                0.0533059                4.056400e+04 
1.082637e-01    1.487352e-01    1.268313e-01   4.000000e+00         1.000000e+01         6.783420e+00        1.133635e+01         5.698000e+03         3.908672e+02        7.736726e-02                                           1.080422e+03    3.286977e+01                       463.328             0.433476                  0.0570059                0.0492374                9.813600e+04 
1.082637e-01    1.487352e-01    1.268201e-01   1.000000e+01         1.000000e+02         3.823004e+01        1.133635e+01         5.698000e+03         7.192443e+02        6.852158e-02                                           4.707868e+03    6.861391e+01                       1816.32             0.366635                  0.0283662                0.028051                 9.271400e+04 
