Experiment = FLArE10 | seed 1 | Neutrino = 12 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 700 cm | Total Events = 15139.2 |        del_theta = 15.0 mrad, theta_max = 500.0 mrad |        del_Elepton = 5.0 % , Elepton_min = 0.01 GeV, Elepton_max = 1000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 0.01 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
2.212216e-02    3.039195e-02    2.643510e-02   1.000000e+01         1.000000e+02         2.797719e+01        1.133635e+01         5.698000e+03         8.880879e+02        2.640180e-01                                           1.806468e+02    1.344049e+01                       10.6098             0.0240895                 0.00189274               0.0333142                1.762400e+04 
3.039195e-02    4.175319e-02    3.604308e-02   1.000000e+01         1.000000e+02         3.204579e+01        1.133635e+01         5.698000e+03         7.918102e+02        1.923670e-01                                           2.802675e+02    1.674119e+01                       38.1312             0.103334                  0.0166706                0.0610017                1.742800e+04 
4.175319e-02    5.736153e-02    4.964383e-02   1.000000e+01         1.000000e+02         3.583033e+01        1.133635e+01         5.698000e+03         6.948922e+02        1.056612e-01                                           3.311338e+02    1.819708e+01                       11.9093             0.00479064                0.0152664                0.000889401              1.770600e+04 
5.736153e-02    7.880463e-02    6.824503e-02   1.000000e+01         1.000000e+02         3.956113e+01        1.133635e+01         5.698000e+03         6.125173e+02        9.128545e-02                                           5.204078e+02    2.281245e+01                       110.366             0.178971                  0.00135287               0.0385681                1.730500e+04 
5.736153e-02    7.880463e-02    6.932887e-02   1.000000e+02         1.000000e+03         1.548724e+02        1.133635e+01         5.698000e+03         1.524874e+03        8.458083e-02                                           1.000097e+02    1.000049e+01                       15.4469             0.185611                  0.00360299               0.0562256                1.095100e+04 
7.880463e-02    1.082637e-01    9.320220e-02   1.000000e+01         1.000000e+02         4.272764e+01        1.133635e+01         5.698000e+03         5.426795e+02        6.958144e-02                                           6.888128e+02    2.624524e+01                       207.7               0.276847                  0.0111061                0.0622214                1.763600e+04 
7.880463e-02    1.082637e-01    9.444945e-02   1.000000e+02         1.000000e+03         1.710572e+02        1.133635e+01         5.698000e+03         1.290544e+03        6.261283e-02                                           2.376699e+02    1.541655e+01                       58.0616             0.246632                  0.0102574                0.0113205                1.569500e+04 
1.082637e-01    1.487352e-01    1.273226e-01   1.000000e+01         1.000000e+02         4.536903e+01        1.133635e+01         5.698000e+03         4.797130e+02        3.687407e-02                                           6.855641e+02    2.618328e+01                       134.527             0.176637                  0.0109884                0.0157889                1.726300e+04 
1.082637e-01    1.487352e-01    1.288132e-01   1.000000e+02         1.000000e+03         1.934304e+02        1.133635e+01         5.698000e+03         1.117426e+03        3.152722e-02                                           3.627172e+02    1.904514e+01                       44.796              0.106442                  0.00688237               0.0043511                1.764900e+04 
1.487352e-01    2.043360e-01    1.761389e-01   1.000000e+01         1.000000e+02         4.757055e+01        1.133635e+01         5.698000e+03         4.296711e+02        2.971008e-02                                           8.300070e+02    2.880984e+01                       247.003             0.288133                  5.889e-05                0.0205781                1.754700e+04 
