Experiment = FLArE100 | seed 2 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 443231.4 |        del_theta = 15.00 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 2.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
6.723358e-04    9.236709e-04    7.843347e-04   4.000000e+00         1.000000e+01         4.971899e+00        1.133635e+01         5.698000e+03         4.181526e+03        1.593861e+01                                           4.246714e+00    2.060756e+00                       10.6168             1.77143                   0.4                      0.342857                 2.023060e+05 
9.236709e-04    1.268961e-03    1.116437e-03   4.000000e+00         1.000000e+01         5.221174e+00        1.133635e+01         5.698000e+03         3.431887e+03        1.110729e+01                                           1.505215e+01    3.879710e+00                       34.962              1.8                       0.122727                 0.263636                 3.979940e+05 
1.268961e-03    1.743329e-03    1.549350e-03   4.000000e+00         1.000000e+01         5.695179e+00        1.133635e+01         5.698000e+03         2.613950e+03        7.456988e+00                                           4.243889e+01    6.514514e+00                       83.8708             1.6                       0.0915254                0.220339                 5.622070e+05 
1.268961e-03    1.743329e-03    1.656074e-03   1.000000e+01         1.000000e+02         1.180635e+01        1.133635e+01         5.698000e+03         4.771668e+03        8.947958e+00                                           2.906203e+00    1.704759e+00                       4.28665             1.0                       0.25                     0.35                     1.298500e+04 
1.743329e-03    2.395027e-03    2.103505e-03   4.000000e+00         1.000000e+01         5.627348e+00        1.133635e+01         5.698000e+03         2.088076e+03        5.370220e+00                                           1.058595e+02    1.028881e+01                       163.212             1.33356                   0.0691781                0.143836                 6.814160e+05 
1.743329e-03    2.395027e-03    2.188637e-03   1.000000e+01         1.000000e+02         1.319145e+01        1.133635e+01         5.698000e+03         4.000320e+03        6.421071e+00                                           1.391809e+01    3.730695e+00                       28.6713             1.39333                   0.326667                 0.133333                 3.671900e+04 
2.395027e-03    3.290345e-03    2.874288e-03   4.000000e+00         1.000000e+01         5.896309e+00        1.133635e+01         5.698000e+03         1.653037e+03        3.910437e+00                                           2.385674e+02    1.544563e+01                       296.917             1.04396                   0.113622                 0.169969                 7.678350e+05 
2.395027e-03    3.290345e-03    2.960577e-03   1.000000e+01         1.000000e+02         1.420732e+01        1.133635e+01         5.698000e+03         3.184448e+03        4.604644e+00                                           4.924586e+01    7.017539e+00                       50.8617             0.685937                  0.179688                 0.11875                  7.576100e+04 
3.290345e-03    4.520354e-03    3.935353e-03   4.000000e+00         1.000000e+01         6.045836e+00        1.133635e+01         5.698000e+03         1.356772e+03        2.857444e+00                                           4.874469e+02    2.207820e+01                       383.277             0.759337                  0.101958                 0.144127                 8.311210e+05 
3.290345e-03    4.520354e-03    3.977269e-03   1.000000e+01         1.000000e+02         1.487524e+01        1.133635e+01         5.698000e+03         2.791881e+03        3.495367e+00                                           1.451554e+02    1.204804e+01                       70.7632             0.307407                  0.0407407                0.05                     1.336190e+05 
4.520354e-03    6.210169e-03    5.403965e-03   4.000000e+00         1.000000e+01         6.170492e+00        1.133635e+01         5.698000e+03         1.090587e+03        2.037474e+00                                           8.835639e+02    2.972480e+01                       458.612             0.464165                  0.0779661                0.135755                 8.760850e+05 
4.520354e-03    6.210169e-03    5.481001e-03   1.000000e+01         1.000000e+02         1.666472e+01        1.133635e+01         5.698000e+03         2.315161e+03        2.422596e+00                                           3.755780e+02    1.937983e+01                       151.581             0.278643                  0.102395                 0.0323353                2.160580e+05 
6.210169e-03    8.531679e-03    7.401349e-03   4.000000e+00         1.000000e+01         6.356260e+00        1.133635e+01         5.698000e+03         9.291244e+02        1.477875e+00                                           1.453594e+03    3.812603e+01                       505.254             0.323487                  0.133949                 0.100205                 9.083220e+05 
6.210169e-03    8.531679e-03    7.522707e-03   1.000000e+01         1.000000e+02         1.781151e+01        1.133635e+01         5.698000e+03         1.938472e+03        1.704693e+00                                           8.712712e+02    2.951730e+01                       189.867             0.160315                  0.113549                 0.020542                 3.312140e+05 
8.531679e-03    1.172102e-02    1.012524e-02   4.000000e+00         1.000000e+01         6.419276e+00        1.133635e+01         5.698000e+03         7.722513e+02        1.049840e+00                                           2.237563e+03    4.730289e+01                       309.18              0.12817                   0.108785                 0.0882761                9.319370e+05 
