Experiment = FLArE100 | seed 1 | Neutrino = -12 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 49575.0 |        del_theta = 15.0 mrad, theta_max = 500.0 mrad |        del_Elepton = 5.0 % , Elepton_min = 0.01 GeV, Elepton_max = 1000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 0.01 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
6.210169e-03    8.531679e-03    7.453928e-03   4.000000e+00         1.000000e+01         6.290223e+00        1.133635e+01         5.698000e+03         7.532946e+02        6.746320e-01                                           1.101299e+02    1.049428e+01                       24.7308             0.285627                  0.0242461                0.11375                  1.752200e+04 
8.531679e-03    1.172102e-02    1.015959e-02   4.000000e+00         1.000000e+01         6.441644e+00        1.133635e+01         5.698000e+03         6.403621e+02        5.810161e-01                                           1.968260e+02    1.402947e+01                       11.828              0.00298631                0.0275955                0.115093                 1.754400e+04 
8.531679e-03    1.172102e-02    1.028111e-02   1.000000e+01         1.000000e+02         1.670076e+01        1.133635e+01         5.698000e+03         1.176462e+03        6.037520e-01                                           1.368479e+02    1.169820e+01                       17.4952             0.138173                  0.00142198               0.0112685                1.661700e+04 
1.172102e-02    1.610262e-02    1.381458e-02   4.000000e+00         1.000000e+01         6.546709e+00        1.133635e+01         5.698000e+03         5.502180e+02        4.120538e-01                                           2.575153e+02    1.604728e+01                       15.8106             0.0236744                 0.0427224                0.108697                 1.734200e+04 
1.172102e-02    1.610262e-02    1.394184e-02   1.000000e+01         1.000000e+02         1.879894e+01        1.133635e+01         5.698000e+03         1.028998e+03        4.158696e-01                                           2.555155e+02    1.598485e+01                       38.5858             0.143198                  0.0165096                0.0351827                1.765300e+04 
1.610262e-02    2.212216e-02    1.916800e-02   4.000000e+00         1.000000e+01         6.636406e+00        1.133635e+01         5.698000e+03         4.786424e+02        2.505563e-01                                           2.878899e+02    1.696732e+01                       8.63977             0.072405                  0.00517801               0.0169621                1.756800e+04 
1.610262e-02    2.212216e-02    1.934576e-02   1.000000e+01         1.000000e+02         2.156575e+01        1.133635e+01         5.698000e+03         9.053540e+02        2.421877e-01                                           3.953729e+02    1.988399e+01                       25.2164             0.043337                  0.019612                 0.0188706                1.778600e+04 
2.212216e-02    3.039195e-02    2.623843e-02   4.000000e+00         1.000000e+01         6.723491e+00        1.133635e+01         5.698000e+03         4.258777e+02        2.222785e-01                                           4.247105e+02    2.060851e+01                       85.9846             0.17981                   0.0256619                0.0726696                1.759600e+04 
2.212216e-02    3.039195e-02    2.646852e-02   1.000000e+01         1.000000e+02         2.489130e+01        1.133635e+01         5.698000e+03         8.079004e+02        2.038222e-01                                           7.901131e+02    2.810895e+01                       221.187             0.256028                  0.00214372               0.0288873                1.783400e+04 
3.039195e-02    4.175319e-02    3.578227e-02   4.000000e+00         1.000000e+01         6.782064e+00        1.133635e+01         5.698000e+03         3.852663e+02        1.682404e-01                                           5.031282e+02    2.243052e+01                       136.379             0.257125                  0.0404046                0.0801485                1.741200e+04 
3.039195e-02    4.175319e-02    3.601660e-02   1.000000e+01         1.000000e+02         2.836751e+01        1.133635e+01         5.698000e+03         7.253380e+02        1.441524e-01                                           1.263514e+03    3.554594e+01                       410.44              0.298866                  0.018462                 0.0655486                1.732600e+04 
4.175319e-02    5.736153e-02    4.926541e-02   4.000000e+00         1.000000e+01         6.810859e+00        1.133635e+01         5.698000e+03         3.561059e+02        9.375141e-02                                           4.540950e+02    2.130951e+01                       75.5152             0.153298                  0.0015355                0.0502006                1.746100e+04 
4.175319e-02    5.736153e-02    4.959733e-02   1.000000e+01         1.000000e+02         3.157122e+01        1.133635e+01         5.698000e+03         6.481490e+02        7.057708e-02                                           1.338233e+03    3.658186e+01                       205.298             0.117215                  0.0175948                0.0151557                1.766100e+04 
5.736153e-02    7.880463e-02    6.792970e-02   4.000000e+00         1.000000e+01         6.842052e+00        1.133635e+01         5.698000e+03         3.304222e+02        8.356120e-02                                           5.784030e+02    2.405001e+01                       202.772             0.350556                  0.0195364                0.0339661                1.767800e+04 
5.736153e-02    7.880463e-02    6.836572e-02   1.000000e+01         1.000000e+02         3.500805e+01        1.133635e+01         5.698000e+03         5.784373e+02        6.212305e-02                                           2.164660e+03    4.652591e+01                       685.175             0.289946                  0.00203523               0.0338616                1.764300e+04 
5.736153e-02    7.880463e-02    6.952220e-02   1.000000e+02         1.000000e+03         1.421664e+02        1.133635e+01         5.698000e+03         1.410737e+03        4.471441e-02                                           2.150839e+02    1.466574e+01                       47.7383             0.280995                  0.00631639               0.108426                 1.115400e+04 
7.880463e-02    1.082637e-01    9.275748e-02   4.000000e+00         1.000000e+01         6.870817e+00        1.133635e+01         5.698000e+03         3.135029e+02        6.506765e-02                                           6.594455e+02    2.567967e+01                       292.408             0.449392                  0.0345296                0.0685715                1.756000e+04 
7.880463e-02    1.082637e-01    9.315960e-02   1.000000e+01         1.000000e+02         3.785309e+01        1.133635e+01         5.698000e+03         5.210966e+02        4.766952e-02                                           2.964642e+03    5.444852e+01                       1170.85             0.370748                  0.0147437                0.0757344                1.757000e+04 
7.880463e-02    1.082637e-01    9.437983e-02   1.000000e+02         1.000000e+03         1.552611e+02        1.133635e+01         5.698000e+03         1.200178e+03        3.137667e-02                                           5.604192e+02    2.367318e+01                       183.0               0.340028                  0.0162732                0.00779424               1.559700e+04 
1.082637e-01    1.487352e-01    1.267862e-01   4.000000e+00         1.000000e+01         6.888767e+00        1.133635e+01         5.698000e+03         2.999033e+02        3.540357e-02                                           5.552078e+02    2.356285e+01                       220.118             0.410748                  0.00944484               0.0608092                1.743400e+04 
1.082637e-01    1.487352e-01    1.268493e-01   1.000000e+01         1.000000e+02         3.937507e+01        1.133635e+01         5.698000e+03         4.772056e+02        2.351967e-02                                           2.679911e+03    5.176786e+01                       630.203             0.209607                  0.0146956                0.0298903                1.744000e+04 
1.082637e-01    1.487352e-01    1.277677e-01   1.000000e+02         1.000000e+03         1.689312e+02        1.133635e+01         5.698000e+03         1.042780e+03        1.159743e-02                                           6.656406e+02    2.580001e+01                       37.1156             0.0509362                 0.0129578                0.0170198                1.738900e+04 
1.487352e-01    2.043360e-01    1.758735e-01   4.000000e+00         1.000000e+01         6.902903e+00        1.133635e+01         5.698000e+03         2.877729e+02        2.898174e-02                                           6.091094e+02    2.468014e+01                       316.673             0.532775                  0.0215767                0.0056408                1.766100e+04 
1.487352e-01    2.043360e-01    1.765920e-01   1.000000e+01         1.000000e+02         4.137062e+01        1.133635e+01         5.698000e+03         4.357809e+02        1.992215e-02                                           3.386130e+03    5.819046e+01                       1146.68             0.320337                  0.00243785               0.0222495                1.745500e+04 
1.487352e-01    2.043360e-01    1.785369e-01   1.000000e+02         1.000000e+03         1.892228e+02        1.133635e+01         5.698000e+03         9.112354e+02        9.576624e-03                                           1.244865e+03    3.528264e+01                       227.913             0.164188                  0.00371889               0.00913571               1.756800e+04 
2.043360e-01    2.807216e-01    2.400849e-01   4.000000e+00         1.000000e+01         6.907894e+00        1.133635e+01         5.698000e+03         2.768668e+02        2.202085e-02                                           6.519524e+02    2.553336e+01                       402.738             0.630165                  0.0349513                0.0810713                1.755100e+04 
2.043360e-01    2.807216e-01    2.409413e-01   1.000000e+01         1.000000e+02         4.337952e+01        1.133635e+01         5.698000e+03         4.006687e+02        1.550266e-02                                           4.141575e+03    6.435507e+01                       1841.57             0.430865                  0.0175501                0.0873153                1.760600e+04 
2.043360e-01    2.807216e-01    2.428794e-01   1.000000e+02         1.000000e+03         2.123645e+02        1.133635e+01         5.698000e+03         8.135809e+02        7.149896e-03                                           2.091846e+03    4.573671e+01                       694.53              0.310115                  0.0189471                0.0595932                1.750000e+04 
2.807216e-01    3.856620e-01    3.248147e-01   4.000000e+00         1.000000e+01         6.927641e+00        1.133635e+01         5.698000e+03         2.715837e+02        1.200897e-02                                           4.867101e+02    2.206151e+01                       286.268             0.60792                   0.0238283                0.0454129                1.742000e+04 
2.807216e-01    3.856620e-01    3.236839e-01   1.000000e+01         1.000000e+02         4.399585e+01        1.133635e+01         5.698000e+03         3.798781e+02        8.345586e-03                                           3.113190e+03    5.579597e+01                       928.658             0.287724                  0.0052455                0.0304662                1.755500e+04 
2.807216e-01    3.856620e-01    3.226980e-01   1.000000e+02         1.000000e+03         2.273541e+02        1.133635e+01         5.698000e+03         7.454625e+02        3.673959e-03                                           1.787005e+03    4.227299e+01                       94.8927             0.00970432                0.0052656                0.0347838                1.762500e+04 
3.856620e-01    5.298317e-01    4.553968e-01   4.000000e+00         1.000000e+01         6.928796e+00        1.133635e+01         5.698000e+03         2.664431e+02        6.714917e-03                                           4.036208e+02    2.009032e+01                       253.836             0.655171                  0.0211511                0.0928397                1.774100e+04 
3.856620e-01    5.298317e-01    4.566335e-01   1.000000e+01         1.000000e+02         4.447154e+01        1.133635e+01         5.698000e+03         3.580287e+02        4.338373e-03                                           2.565186e+03    5.064766e+01                       649.843             0.251386                  0.00240017               0.0653776                1.741000e+04 
3.856620e-01    5.298317e-01    4.609316e-01   1.000000e+02         1.000000e+03         2.412895e+02        1.133635e+01         5.698000e+03         6.779214e+02        1.747034e-03                                           1.686670e+03    4.106909e+01                       194.082             0.171049                  0.00115133               0.0323004                1.746200e+04 
5.298317e-01    7.278954e-01    6.205077e-01   4.000000e+00         1.000000e+01         6.937039e+00        1.133635e+01         5.698000e+03         2.594056e+02        4.757067e-03                                           3.903878e+02    1.975823e+01                       289.084             0.76547                   0.0509817                0.0888239                1.747200e+04 
5.298317e-01    7.278954e-01    6.225268e-01   1.000000e+01         1.000000e+02         4.610675e+01        1.133635e+01         5.698000e+03         3.352404e+02        3.179262e-03                                           2.855276e+03    5.343479e+01                       1206.8              0.424422                  0.0230461                0.10289                  1.756600e+04 
5.298317e-01    7.278954e-01    6.276057e-01   1.000000e+02         1.000000e+03         2.689150e+02        1.133635e+01         5.698000e+03         6.142479e+02        1.333630e-03                                           2.575948e+03    5.075380e+01                       556.596             0.170694                  0.0229253                0.107599                 1.709600e+04 
7.278954e-01    1.000000e+00    8.198916e-01   4.000000e+00         1.000000e+01         6.947310e+00        1.133635e+01         5.698000e+03         2.560413e+02        2.300466e-03                                           2.056739e+02    1.434134e+01                       144.149             0.759308                  0.0963194                0.0288561                1.729400e+04 
7.278954e-01    1.000000e+00    8.204579e-01   1.000000e+01         1.000000e+02         4.745711e+01        1.133635e+01         5.698000e+03         3.185951e+02        1.578523e-03                                           1.610189e+03    4.012715e+01                       371.208             0.254077                  0.0494504                0.0407671                1.748400e+04 
7.278954e-01    1.000000e+00    8.253037e-01   1.000000e+02         1.000000e+03         2.949384e+02        1.133635e+01         5.698000e+03         5.654177e+02        6.751580e-04                                           1.856928e+03    4.309209e+01                       6.8111              0.0634793                 0.0376194                0.166108                 1.758900e+04 
