Experiment = SND | seed 1 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 35 cm | Total Events = 628.2 |    del_theta = 1.0 mrad, theta_max = 150.0 mrad |        del_Elepton = 15.0 % , Elepton_min = 20.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 20.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          Percent_error_theta       Percent_error_Elepton    Percent_error_Ehadron    MC_Samples 
6.723358e-04    9.236709e-04    8.228393e-04   4.000000e+00         1.000000e+01         4.832469e+00        1.133635e+01         5.698000e+03         3.448932e+03        1.582453e+01                                           1.240435e-03    3.521981e-02                       0.000372735         0.283422                  0.100162                 0.285369                 1.979300e+04 
9.236709e-04    1.268961e-03    1.103385e-03   4.000000e+00         1.000000e+01         5.112780e+00        1.133635e+01         5.698000e+03         2.949658e+03        1.352005e+01                                           6.648469e-03    8.153814e-02                       0.0020191           0.0469357                 0.155993                 0.199589                 3.947300e+04 
1.268961e-03    1.743329e-03    1.547351e-03   4.000000e+00         1.000000e+01         5.345869e+00        1.133635e+01         5.698000e+03         2.355680e+03        1.030054e+01                                           2.483517e-02    1.575918e-01                       0.00696539          0.183322                  0.188404                 0.150805                 5.624300e+04 
1.268961e-03    1.743329e-03    1.606810e-03   1.000000e+01         1.000000e+02         1.039231e+01        1.133635e+01         5.698000e+03         4.340790e+03        1.126345e+01                                           6.033291e-04    2.456276e-02                       0.000248336         0.306501                  0.449046                 0.746964                 1.273000e+03 
1.743329e-03    2.395027e-03    2.073466e-03   4.000000e+00         1.000000e+01         5.403634e+00        1.133635e+01         5.698000e+03         1.927290e+03        5.896191e+00                                           5.793207e-02    2.406908e-01                       0.00165613          0.0324322                 0.0240335                0.104515                 6.799700e+04 
1.743329e-03    2.395027e-03    2.191724e-03   1.000000e+01         1.000000e+02         1.198652e+01        1.133635e+01         5.698000e+03         3.213667e+03        5.716752e+00                                           4.073491e-03    6.382390e-02                       0.000691667         0.284242                  0.17994                  0.205581                 3.727000e+03 
2.395027e-03    3.290345e-03    2.914019e-03   4.000000e+00         1.000000e+01         5.701777e+00        1.133635e+01         5.698000e+03         1.525662e+03        4.639516e+00                                           1.486632e-01    3.855686e-01                       0.00691838          0.0867215                 0.0154229                0.0843271                7.679300e+04 
2.395027e-03    3.290345e-03    2.961505e-03   1.000000e+01         1.000000e+02         1.250478e+01        1.133635e+01         5.698000e+03         2.748553e+03        5.070056e+00                                           2.072556e-02    1.439638e-01                       0.0016624           0.121978                  0.103257                 0.0062311                7.628000e+03 
3.290345e-03    4.520354e-03    3.946973e-03   4.000000e+00         1.000000e+01         5.955207e+00        1.133635e+01         5.698000e+03         1.226468e+03        3.680752e+00                                           3.467640e-01    5.888667e-01                       0.0577568           0.137622                  0.0720797                0.0881582                8.279200e+04 
3.290345e-03    4.520354e-03    4.000474e-03   1.000000e+01         1.000000e+02         1.336111e+01        1.133635e+01         5.698000e+03         2.330967e+03        4.159786e+00                                           8.080506e-02    2.842623e-01                       0.0027535           0.0326885                 0.0446344                0.0731074                1.330800e+04 
