Experiment = SND | seed 2 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 35 cm | Total Events = 521.3 |        del_theta = 0.06 mrad, theta_max = 150.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 20.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 20.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
6.723358e-04    9.236709e-04    7.748478e-04   4.000000e+00         1.000000e+01         4.998201e+00        1.133635e+01         5.698000e+03         4.200439e+03        1.635642e+01                                           1.799296e-03    4.241810e-02                       0.000854665         0.175                     0.6                      0.15                     2.000360e+05 
9.236709e-04    1.268961e-03    1.112980e-03   4.000000e+00         1.000000e+01         5.131557e+00        1.133635e+01         5.698000e+03         3.474148e+03        1.149777e+01                                           7.563117e-03    8.696619e-02                       0.00164609          0.141176                  0.252941                 0.3                      3.950600e+05 
1.268961e-03    1.743329e-03    1.546010e-03   4.000000e+00         1.000000e+01         5.625815e+00        1.133635e+01         5.698000e+03         2.652081e+03        7.743571e+00                                           2.183627e-02    1.477710e-01                       0.00196526          0.0525                    0.075                    0.235                    5.592940e+05 
1.268961e-03    1.743329e-03    1.659811e-03   1.000000e+01         1.000000e+02         1.324814e+01        1.133635e+01         5.698000e+03         4.312507e+03        8.574373e+00                                           9.491798e-04    3.080876e-02                       0.00123393          0.1                       0.6                      0.4                      1.288300e+04 
1.743329e-03    2.395027e-03    2.088471e-03   4.000000e+00         1.000000e+01         5.780142e+00        1.133635e+01         5.698000e+03         2.159091e+03        5.641771e+00                                           5.230070e-02    2.286935e-01                       0.00390818          0.0659341                 0.105495                 0.215385                 6.790640e+05 
1.743329e-03    2.395027e-03    2.241139e-03   1.000000e+01         1.000000e+02         1.315775e+01        1.133635e+01         5.698000e+03         3.804853e+03        6.391307e+00                                           6.168505e-03    7.853983e-02                       0.00532034          0.2125                    0.575                    0.6                      3.661300e+04 
2.395027e-03    3.290345e-03    2.884480e-03   4.000000e+00         1.000000e+01         5.908760e+00        1.133635e+01         5.698000e+03         1.667014e+03        4.036973e+00                                           1.145778e-01    3.384935e-01                       0.00716111          0.0375                    0.0635                   0.136                    7.651070e+05 
2.395027e-03    3.290345e-03    2.955313e-03   1.000000e+01         1.000000e+02         1.376979e+01        1.133635e+01         5.698000e+03         3.018614e+03        4.671797e+00                                           2.513072e-02    1.585267e-01                       0.00402091          0.054                     0.146                    0.106                    7.558400e+04 
3.290345e-03    4.520354e-03    3.933847e-03   4.000000e+00         1.000000e+01         6.009193e+00        1.133635e+01         5.698000e+03         1.368385e+03        2.965270e+00                                           2.343564e-01    4.841037e-01                       0.010422            0.0381176                 0.0762353                0.164235                 8.290030e+05 
3.290345e-03    4.520354e-03    3.959663e-03   1.000000e+01         1.000000e+02         1.441367e+01        1.133635e+01         5.698000e+03         2.685651e+03        3.580551e+00                                           7.362642e-02    2.713419e-01                       0.011044            0.0280303                 0.119697                 0.0651515                1.329090e+05 
4.520354e-03    6.210169e-03    5.410083e-03   4.000000e+00         1.000000e+01         6.076622e+00        1.133635e+01         5.698000e+03         1.052803e+03        2.074406e+00                                           4.426909e-01    6.653502e-01                       0.0201478           0.0127686                 0.10708                  0.126296                 8.749580e+05 
4.520354e-03    6.210169e-03    5.486205e-03   1.000000e+01         1.000000e+02         1.673263e+01        1.133635e+01         5.698000e+03         2.348201e+03        2.506831e+00                                           1.876598e-01    4.331972e-01                       0.0408145           0.019802                  0.133003                 0.0462046                2.155080e+05 
6.210169e-03    8.531679e-03    7.402537e-03   4.000000e+00         1.000000e+01         6.330324e+00        1.133635e+01         5.698000e+03         9.006957e+02        1.510315e+00                                           7.668065e-01    8.756749e-01                       0.0637854           0.0156907                 0.124024                 0.0961712                9.090810e+05 
6.210169e-03    8.531679e-03    7.526435e-03   1.000000e+01         1.000000e+02         1.796113e+01        1.133635e+01         5.698000e+03         1.931275e+03        1.747582e+00                                           4.323046e-01    6.574988e-01                       0.0649036           0.00630027                0.0939678                0.0364611                3.322080e+05 
8.531679e-03    1.172102e-02    1.013109e-02   4.000000e+00         1.000000e+01         6.357585e+00        1.133635e+01         5.698000e+03         7.350972e+02        1.071736e+00                                           1.255143e+00    1.120332e+00                       0.0496404           0.0125676                 0.0941441                0.0975676                9.334370e+05 
8.531679e-03    1.172102e-02    1.025048e-02   1.000000e+01         1.000000e+02         1.988547e+01        1.133635e+01         5.698000e+03         1.603362e+03        1.205302e+00                                           9.206987e-01    9.595305e-01                       0.112903            0.00810811                0.122942                 0.0152734                4.863160e+05 
1.172102e-02    1.610262e-02    1.394621e-02   4.000000e+00         1.000000e+01         6.450757e+00        1.133635e+01         5.698000e+03         5.889930e+02        7.847973e-01                                           1.917359e+00    1.384687e+00                       0.0711423           0.00756155                0.097714                 0.0861665                9.512750e+05 
1.172102e-02    1.610262e-02    1.399946e-02   1.000000e+01         1.000000e+02         2.204692e+01        1.133635e+01         5.698000e+03         1.390592e+03        8.798384e-01                                           1.794550e+00    1.339608e+00                       0.244806            0.00529865                0.121195                 0.00809249               6.242380e+05 
1.172102e-02    1.610262e-02    1.502049e-02   1.000000e+02         1.000000e+03         1.155005e+02        1.133635e+01         5.698000e+03         4.649961e+03        8.235554e-01                                           4.739849e-03    6.884656e-02                       0.00521383          0.114286                  0.314286                 1.12857                  8.924000e+03 
1.610262e-02    2.212216e-02    1.909618e-02   4.000000e+00         1.000000e+01         6.576264e+00        1.133635e+01         5.698000e+03         4.937271e+02        5.845848e-01                                           2.756166e+00    1.660170e+00                       0.106223            0.00848497                0.0925169                0.0808015                9.641160e+05 
