Experiment = AdvSND | seed 2 | Neutrino = 12 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 50 cm | Total Events = 12204.8 |        del_theta = 0.06 mrad, theta_max = 500.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 20.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 20.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
6.723358e-04    9.236709e-04    7.934953e-04   4.000000e+00         1.000000e+01         4.833070e+00        1.133635e+01         5.698000e+03         4.112341e+03        1.611610e+01                                           3.049216e-02    1.746200e-01                       0.0121969           0.2                       0.242857                 0.314286                 2.000360e+05 
9.236709e-04    1.268961e-03    1.116598e-03   4.000000e+00         1.000000e+01         5.076691e+00        1.133635e+01         5.698000e+03         3.146651e+03        1.096481e+01                                           1.711293e-01    4.136777e-01                       0.0149738           0.1125                    0.15                     0.225                    3.953190e+05 
1.268961e-03    1.743329e-03    1.556282e-03   4.000000e+00         1.000000e+01         5.390731e+00        1.133635e+01         5.698000e+03         2.363865e+03        7.356346e+00                                           6.713156e-01    8.193385e-01                       0.104744            0.0510638                 0.0893617                0.190071                 5.599470e+05 
1.268961e-03    1.743329e-03    1.645588e-03   1.000000e+01         1.000000e+02         1.228988e+01        1.133635e+01         5.698000e+03         4.548883e+03        8.952382e+00                                           1.202760e-02    1.096704e-01                       0.0124285           0.2                       0.433333                 0.866667                 1.293200e+04 
1.743329e-03    2.395027e-03    2.106172e-03   4.000000e+00         1.000000e+01         5.481875e+00        1.133635e+01         5.698000e+03         1.913427e+03        5.302706e+00                                           2.054570e+00    1.433377e+00                       0.0899685           0.0435789                 0.0292632                0.18                     6.786600e+05 
1.743329e-03    2.395027e-03    2.171172e-03   1.000000e+01         1.000000e+02         1.199007e+01        1.133635e+01         5.698000e+03         3.502956e+03        6.240408e+00                                           1.088188e-01    3.298769e-01                       0.0888687           0.158333                  0.208333                 0.4375                   3.706900e+04 
2.395027e-03    3.290345e-03    2.878750e-03   4.000000e+00         1.000000e+01         5.930196e+00        1.133635e+01         5.698000e+03         1.599648e+03        3.951643e+00                                           5.015156e+00    2.239454e+00                       0.143661            0.0306299                 0.064107                 0.161864                 7.659440e+05 
2.395027e-03    3.290345e-03    2.973292e-03   1.000000e+01         1.000000e+02         1.284905e+01        1.133635e+01         5.698000e+03         2.786797e+03        4.565072e+00                                           5.894441e-01    7.677526e-01                       0.280213            0.0438462                 0.16                     0.351538                 7.553300e+04 
3.290345e-03    4.520354e-03    3.940209e-03   4.000000e+00         1.000000e+01         6.159645e+00        1.133635e+01         5.698000e+03         1.348204e+03        2.928097e+00                                           1.022645e+01    3.197882e+00                       0.134195            0.0290295                 0.0810549                0.149705                 8.292500e+05 
3.290345e-03    4.520354e-03    3.984959e-03   1.000000e+01         1.000000e+02         1.382966e+01        1.133635e+01         5.698000e+03         2.423355e+03        3.438702e+00                                           2.329538e+00    1.526282e+00                       0.724595            0.00852713                0.140891                 0.152326                 1.329250e+05 
4.520354e-03    6.210169e-03    5.397002e-03   4.000000e+00         1.000000e+01         6.340222e+00        1.133635e+01         5.698000e+03         1.137541e+03        2.137506e+00                                           1.771261e+01    4.208635e+00                       0.190973            0.0160889                 0.082907                 0.138202                 8.749600e+05 
4.520354e-03    6.210169e-03    5.479714e-03   1.000000e+01         1.000000e+02         1.490066e+01        1.133635e+01         5.698000e+03         1.979371e+03        2.401761e+00                                           7.199640e+00    2.683214e+00                       1.38882             0.00986181                0.111244                 0.0629397                2.159020e+05 
6.210169e-03    8.531679e-03    7.395043e-03   4.000000e+00         1.000000e+01         6.516625e+00        1.133635e+01         5.698000e+03         9.608116e+02        1.544677e+00                                           2.732965e+01    5.227777e+00                       2.5318              0.0104262                 0.155967                 0.0824262                9.084460e+05 
6.210169e-03    8.531679e-03    7.488514e-03   1.000000e+01         1.000000e+02         1.648547e+01        1.133635e+01         5.698000e+03         1.709576e+03        1.700956e+00                                           1.776822e+01    4.215237e+00                       3.14763             0.00291763                0.151665                 0.0211464                3.313040e+05 
8.531679e-03    1.172102e-02    1.010203e-02   4.000000e+00         1.000000e+01         6.604816e+00        1.133635e+01         5.698000e+03         8.309029e+02        1.114739e+00                                           3.862488e+01    6.214891e+00                       3.10049             0.0127626                 0.131569                 0.0789012                9.330420e+05 
8.531679e-03    1.172102e-02    1.022022e-02   1.000000e+01         1.000000e+02         1.860196e+01        1.133635e+01         5.698000e+03         1.474867e+03        1.186995e+00                                           3.732202e+01    6.109175e+00                       4.43086             0.00201541                0.131891                 0.0110373                4.854620e+05 
1.172102e-02    1.610262e-02    1.388011e-02   4.000000e+00         1.000000e+01         6.671118e+00        1.133635e+01         5.698000e+03         7.221164e+02        8.381080e-01                                           5.116282e+01    7.152819e+00                       4.30893             0.0156873                 0.126765                 0.0713273                9.512000e+05 
1.172102e-02    1.610262e-02    1.400352e-02   1.000000e+01         1.000000e+02         2.142468e+01        1.133635e+01         5.698000e+03         1.321652e+03        8.686874e-01                                           7.031609e+01    8.385469e+00                       8.55829             0.00190962                0.143077                 0.0176278                6.245930e+05 
1.172102e-02    1.610262e-02    1.512937e-02   1.000000e+02         1.000000e+03         1.134131e+02        1.133635e+01         5.698000e+03         4.488960e+03        8.149980e-01                                           5.315484e-02    2.305533e-01                       0.152968            0.144444                  0.444444                 2.5                      9.134000e+03 
1.610262e-02    2.212216e-02    1.903095e-02   4.000000e+00         1.000000e+01         6.756566e+00        1.133635e+01         5.698000e+03         6.315765e+02        6.225410e-01                                           6.446440e+01    8.028973e+00                       7.05492             0.00600852                0.137777                 0.0474632                9.637420e+05 
1.610262e-02    2.212216e-02    1.919834e-02   1.000000e+01         1.000000e+02         2.490486e+01        1.133635e+01         5.698000e+03         1.188735e+03        6.355613e-01                                           1.242138e+02    1.114513e+01                       13.0346             0.00189889                0.137247                 0.0263445                7.260880e+05 
1.610262e-02    2.212216e-02    1.987664e-02   1.000000e+02         1.000000e+03         1.185230e+02        1.133635e+01         5.698000e+03         3.748991e+03        6.104011e-01                                           5.742678e-01    7.578046e-01                       0.535983            0.0255814                 0.113953                 0.834884                 2.947200e+04 
2.212216e-02    3.039195e-02    2.612729e-02   4.000000e+00         1.000000e+01         6.804369e+00        1.133635e+01         5.698000e+03         5.721853e+02        4.565168e-01                                           7.697117e+01    8.773321e+00                       7.26263             0.011873                  0.110981                 0.0458507                9.731440e+05 
2.212216e-02    3.039195e-02    2.634221e-02   1.000000e+01         1.000000e+02         2.900610e+01        1.133635e+01         5.698000e+03         1.067146e+03        4.569939e-01                                           2.010486e+02    1.417916e+01                       16.3502             0.000937275               0.119484                 0.0335431                8.003800e+05 
2.212216e-02    3.039195e-02    2.703869e-02   1.000000e+02         1.000000e+03         1.245927e+02        1.133635e+01         5.698000e+03         2.973977e+03        4.306048e-01                                           3.450244e+00    1.857483e+00                       1.47048             0.00843829                0.0424433                0.378338                 6.365700e+04 
3.039195e-02    4.175319e-02    3.593168e-02   4.000000e+00         1.000000e+01         6.885033e+00        1.133635e+01         5.698000e+03         5.133516e+02        3.272895e-01                                           8.698763e+01    9.326716e+00                       7.17399             0.00670729                0.0898333                0.0292563                9.802100e+05 
3.039195e-02    4.175319e-02    3.616718e-02   1.000000e+01         1.000000e+02         3.319459e+01        1.133635e+01         5.698000e+03         9.573641e+02        3.243294e-01                                           3.015601e+02    1.736549e+01                       21.2129             0.000926661               0.109905                 0.0385676                8.547240e+05 
3.039195e-02    4.175319e-02    3.701426e-02   1.000000e+02         1.000000e+03         1.323691e+02        1.133635e+01         5.698000e+03         2.428470e+03        2.991036e-01                                           1.415562e+01    3.762395e+00                       4.38157             0.00497416                0.067991                 0.227972                 1.166700e+05 
4.175319e-02    5.736153e-02    4.929376e-02   4.000000e+00         1.000000e+01         6.902565e+00        1.133635e+01         5.698000e+03         4.783828e+02        2.319640e-01                                           9.441139e+01    9.716552e+00                       6.19155             0.00842178                0.0754809                0.0166582                9.851120e+05 
4.175319e-02    5.736153e-02    4.958670e-02   1.000000e+01         1.000000e+02         3.699312e+01        1.133635e+01         5.698000e+03         8.507267e+02        2.265865e-01                                           4.253288e+02    2.062350e+01                       24.7622             0.00062263                0.10148                  0.0339888                8.930240e+05 
4.175319e-02    5.736153e-02    5.049728e-02   1.000000e+02         1.000000e+03         1.425148e+02        1.133635e+01         5.698000e+03         2.005534e+03        2.053041e-01                                           4.478858e+01    6.692427e+00                       7.69013             0.00134818                0.0664386                0.103279                 1.924240e+05 
5.736153e-02    7.880463e-02    6.755687e-02   4.000000e+00         1.000000e+01         6.911475e+00        1.133635e+01         5.698000e+03         4.431266e+02        1.633076e-01                                           9.969181e+01    9.984578e+00                       1.96477             0.00511749                0.0217363                0.0130287                9.886980e+05 
5.736153e-02    7.880463e-02    6.791163e-02   1.000000e+01         1.000000e+02         4.033080e+01        1.133635e+01         5.698000e+03         7.560534e+02        1.565098e-01                                           5.657942e+02    2.378643e+01                       18.2984             0.000612694               0.0723606                0.0334549                9.221150e+05 
5.736153e-02    7.880463e-02    6.901365e-02   1.000000e+02         1.000000e+03         1.563906e+02        1.133635e+01         5.698000e+03         1.706107e+03        1.391806e-01                                           1.140688e+02    1.068030e+01                       9.82597             0.00160132                0.055405                 0.0333091                2.985090e+05 
7.880463e-02    1.082637e-01    9.274234e-02   4.000000e+00         1.000000e+01         6.948725e+00        1.133635e+01         5.698000e+03         4.287380e+02        1.192512e-01                                           1.032882e+02    1.016308e+01                       6.2424              0.00774505                0.0421618                0.0408117                9.910040e+05 
7.880463e-02    1.082637e-01    9.309415e-02   1.000000e+01         1.000000e+02         4.314668e+01        1.133635e+01         5.698000e+03         6.720764e+02        1.131020e-01                                           7.034182e+02    2.652203e+01                       2.03602             0.000592092               0.0335668                0.0298611                9.430820e+05 
7.880463e-02    1.082637e-01    9.426290e-02   1.000000e+02         1.000000e+03         1.754532e+02        1.133635e+01         5.698000e+03         1.475541e+03        9.828862e-02                                           2.434959e+02    1.560436e+01                       2.27676             0.000628482               0.0173986                0.00232257               4.457460e+05 
1.082637e-01    1.487352e-01    1.261983e-01   4.000000e+00         1.000000e+01         7.340551e+00        1.133635e+01         5.698000e+03         4.134947e+02        8.552757e-02                                           8.955620e+01    9.463414e+00                       13.6839             0.00161036                0.0919827                0.0977002                8.570480e+05 
1.082637e-01    1.487352e-01    1.277668e-01   1.000000e+01         1.000000e+02         4.546410e+01        1.133635e+01         5.698000e+03         6.008179e+02        7.880043e-02                                           8.297305e+02    2.880504e+01                       53.8668             0.000826359               0.0398263                0.0333686                9.582440e+05 
1.082637e-01    1.487352e-01    1.291477e-01   1.000000e+02         1.000000e+03         1.989934e+02        1.133635e+01         5.698000e+03         1.288916e+03        6.746927e-02                                           4.455128e+02    2.110717e+01                       25.0221             0.000353225               0.0315878                0.0220082                5.937780e+05 
1.082637e-01    1.487352e-01    1.355917e-01   1.000000e+03         1.000000e+04         1.108129e+03        1.133635e+01         5.698000e+03         4.747101e+03        4.689279e-02                                           1.233964e-01    3.512782e-01                       0.292354            0.0230769                 0.0846154                2.26923                  5.903000e+03 
1.487352e-01    2.043360e-01    1.722532e-01   4.000000e+00         1.000000e+01         8.213769e+00        1.133635e+01         5.698000e+03         4.104098e+02        5.860985e-02                                           5.688188e+01    7.542007e+00                       15.9945             0.00450791                0.157098                 0.206005                 5.596730e+05 
1.487352e-01    2.043360e-01    1.753851e-01   1.000000e+01         1.000000e+02         4.745782e+01        1.133635e+01         5.698000e+03         5.434185e+02        5.239095e-02                                           9.072912e+02    3.012128e+01                       117.39              0.000349351               0.110419                 0.0293159                9.689410e+05 
1.487352e-01    2.043360e-01    1.771699e-01   1.000000e+02         1.000000e+03         2.295076e+02        1.133635e+01         5.698000e+03         1.149072e+03        4.397143e-02                                           7.123144e+02    2.668922e+01                       91.3279             0.000407304               0.0923677                0.0375486                7.036480e+05 
1.487352e-01    2.043360e-01    1.845513e-01   1.000000e+03         1.000000e+04         1.156001e+03        1.133635e+01         5.698000e+03         3.848731e+03        3.050413e-02                                           1.581869e+00    1.257724e+00                       1.17058             0.00821918                0.127945                 0.92411                  2.297400e+04 
2.043360e-01    2.807216e-01    2.242862e-01   4.000000e+00         1.000000e+01         9.216747e+00        1.133635e+01         5.698000e+03         3.924653e+02        3.944275e-02                                           1.518543e+01    3.896849e+00                       6.22858             0.00461941                0.190819                 0.3095                   1.574530e+05 
2.043360e-01    2.807216e-01    2.403226e-01   1.000000e+01         1.000000e+02         4.904925e+01        1.133635e+01         5.698000e+03         4.973687e+02        3.227568e-02                                           8.832751e+02    2.971994e+01                       173.551             0.000447591               0.18398                  0.0287703                9.762630e+05 
2.043360e-01    2.807216e-01    2.423688e-01   1.000000e+02         1.000000e+03         2.649644e+02        1.133635e+01         5.698000e+03         1.027298e+03        2.635987e-02                                           9.843144e+02    3.137379e+01                       192.942             0.000254877               0.154593                 0.0489955                7.849550e+05 
2.043360e-01    2.807216e-01    2.500523e-01   1.000000e+03         1.000000e+04         1.213246e+03        1.133635e+01         5.698000e+03         3.090698e+03        1.812791e-02                                           8.698980e+00    2.949403e+00                       2.79698             0.00350969                0.133316                 0.545731                 5.403700e+04 
2.807216e-01    3.856620e-01    3.276552e-01   1.000000e+01         1.000000e+02         5.150635e+01        1.133635e+01         5.698000e+03         4.638467e+02        1.715228e-02                                           7.094582e+02    2.663566e+01                       171.798             0.000350447               0.243405                 0.0250478                9.552200e+05 
2.807216e-01    3.856620e-01    3.306485e-01   1.000000e+02         1.000000e+03         2.999491e+02        1.133635e+01         5.698000e+03         9.166809e+02        1.343580e-02                                           1.097254e+03    3.312483e+01                       260.202             0.000220487               0.191927                 0.0586983                8.430120e+05 
2.807216e-01    3.856620e-01    3.386769e-01   1.000000e+03         1.000000e+04         1.279650e+03        1.133635e+01         5.698000e+03         2.525602e+03        9.023861e-03                                           2.818199e+01    5.308671e+00                       1.67598             0.00189728                0.145551                 0.246304                 1.020810e+05 
3.856620e-01    5.298317e-01    4.428218e-01   1.000000e+01         1.000000e+02         5.448272e+01        1.133635e+01         5.698000e+03         4.404500e+02        7.895119e-03                                           4.185025e+02    2.045733e+01                       71.0992             0.000645639               0.208479                 0.031289                 9.076550e+05 
3.856620e-01    5.298317e-01    4.456725e-01   1.000000e+02         1.000000e+03         3.323722e+02        1.133635e+01         5.698000e+03         8.209953e+02        5.719046e-03                                           8.677004e+02    2.945675e+01                       156.073             0.000294583               0.137662                 0.0608575                8.850350e+05 
3.856620e-01    5.298317e-01    4.536934e-01   1.000000e+03         1.000000e+04         1.343655e+03        1.133635e+01         5.698000e+03         2.074268e+03        3.474862e-03                                           4.850220e+01    6.964352e+00                       0.572908            0.000709287               0.0573671                0.0371193                1.708130e+05 
5.298317e-01    7.278954e-01    5.971495e-01   1.000000e+01         1.000000e+02         5.805272e+01        1.133635e+01         5.698000e+03         4.225117e+02        1.980272e-03                                           1.301975e+02    1.141041e+01                       54.877              0.000654275               0.23259                  0.408103                 8.398070e+05 
5.298317e-01    7.278954e-01    5.992547e-01   1.000000e+02         1.000000e+03         3.556584e+02        1.133635e+01         5.698000e+03         7.303536e+02        1.280832e-03                                           3.358628e+02    1.832656e+01                       122.204             0.000302776               0.3735                   0.0862414                9.156000e+05 
5.298317e-01    7.278954e-01    6.060548e-01   1.000000e+03         1.000000e+04         1.433486e+03        1.133635e+01         5.698000e+03         1.738582e+03        7.430992e-04                                           3.459713e+01    5.881933e+00                       14.227              0.000677111               0.482355                 0.0913834                2.690470e+05 
7.278954e-01    1.000000e+00    7.769582e-01   1.000000e+01         1.000000e+02         6.113446e+01        1.133635e+01         5.698000e+03         4.183407e+02        2.083709e-04                                           1.039800e+01    3.224593e+00                       60.876              0.00668076                4.04355                  3.58786                  6.213780e+05 
7.278954e-01    1.000000e+00    7.785859e-01   1.000000e+02         1.000000e+03         3.671603e+02        1.133635e+01         5.698000e+03         6.620238e+02        1.082659e-04                                           2.908869e+01    5.393393e+00                       184.307             0.00210825                5.57075                  1.79393                  9.108080e+05 
7.278954e-01    1.000000e+00    7.813657e-01   1.000000e+03         1.000000e+04         1.516635e+03        1.133635e+01         5.698000e+03         1.486792e+03        5.553592e-05                                           4.225248e+00    2.055541e+00                       25.4354             0.00533485                6.81101                  0.0339387                4.033710e+05 
