Experiment = AdvSND | seed 2 | Neutrino = -12 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 50 cm | Total Events = 2755.3 |        del_theta = 0.06 mrad, theta_max = 500.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 20.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 20.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
4.175319e-02    5.736153e-02    4.954145e-02   1.000000e+01         1.000000e+02         3.470706e+01        1.133635e+01         5.698000e+03         8.770097e+02        7.919703e-02                                           1.232281e+02    1.110081e+01                       0.549896            0.000469793               0.032057                 0.0307342                8.935930e+05 
5.736153e-02    7.880463e-02    6.785334e-02   1.000000e+01         1.000000e+02         3.738535e+01        1.133635e+01         5.698000e+03         7.919006e+02        5.379786e-02                                           1.570926e+02    1.253366e+01                       3.2356              0.000568293               0.0138589                0.0300206                9.223590e+05 
7.880463e-02    1.082637e-01    9.299395e-02   1.000000e+01         1.000000e+02         3.943032e+01        1.133635e+01         5.698000e+03         7.213554e+02        3.908128e-02                                           1.887549e+02    1.373881e+01                       9.5722              0.000286659               0.0182864                0.0278744                9.425950e+05 
1.082637e-01    1.487352e-01    1.276527e-01   1.000000e+01         1.000000e+02         4.105632e+01        1.133635e+01         5.698000e+03         6.595825e+02        2.752263e-02                                           2.177396e+02    1.475600e+01                       21.1332             0.000299814               0.0680853                0.0314514                9.581970e+05 
1.487352e-01    2.043360e-01    1.754400e-01   1.000000e+01         1.000000e+02         4.242506e+01        1.133635e+01         5.698000e+03         6.100877e+02        1.866999e-02                                           2.351794e+02    1.533556e+01                       36.4184             0.000210477               0.127871                 0.0370453                9.693700e+05 
1.487352e-01    2.043360e-01    1.767164e-01   1.000000e+02         1.000000e+03         2.078003e+02        1.133635e+01         5.698000e+03         1.248641e+03        9.171576e-03                                           1.006924e+02    1.003456e+01                       14.2696             0.000204594               0.116759                 0.0332345                7.042410e+05 
2.043360e-01    2.807216e-01    2.406062e-01   1.000000e+01         1.000000e+02         4.364748e+01        1.133635e+01         5.698000e+03         5.697190e+02        1.176925e-02                                           2.344842e+02    1.531288e+01                       50.4304             0.000272213               0.185775                 0.0451725                9.763940e+05 
2.043360e-01    2.807216e-01    2.422376e-01   1.000000e+02         1.000000e+03         2.276386e+02        1.133635e+01         5.698000e+03         1.143040e+03        5.488484e-03                                           1.263093e+02    1.123874e+01                       23.1537             0.000342331               0.142404                 0.0446455                7.834760e+05 
2.807216e-01    3.856620e-01    3.280812e-01   1.000000e+01         1.000000e+02         4.637106e+01        1.133635e+01         5.698000e+03         5.385152e+02        6.401818e-03                                           1.944882e+02    1.394590e+01                       49.8071             0.000372693               0.230918                 0.0550504                9.553720e+05 
2.807216e-01    3.856620e-01    3.306528e-01   1.000000e+02         1.000000e+03         2.451875e+02        1.133635e+01         5.698000e+03         1.052646e+03        3.001952e-03                                           1.355750e+02    1.164367e+01                       27.582              0.000494015               0.155782                 0.0625326                8.424370e+05 
3.856620e-01    5.298317e-01    4.433234e-01   1.000000e+01         1.000000e+02         5.017611e+01        1.133635e+01         5.698000e+03         5.129327e+02        3.040883e-03                                           1.196370e+02    1.093787e+01                       23.2426             0.00034957                0.192568                 0.0280182                9.079320e+05 
3.856620e-01    5.298317e-01    4.458906e-01   1.000000e+02         1.000000e+03         2.649210e+02        1.133635e+01         5.698000e+03         9.672929e+02        1.406605e-03                                           1.087065e+02    1.042624e+01                       14.7652             0.00021364                0.0818462                0.0887506                8.852020e+05 
