Experiment = FASERv | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 80 cm | Total Events = 538.0 |    del_theta = 0.1 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 100.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.610262e-02    2.212216e-02    1.914605e-02   1.000000e+01         1.000000e+02         2.829946e+01        1.133635e+01         5.698000e+03         1.558350e+03        1.253268e+00                                           1.490479e+01    3.860672e+00                       0.49995             0.000792258               0.0540627                0.0235158                7.129230e+05 
2.212216e-02    3.039195e-02    2.628936e-02   1.000000e+01         1.000000e+02         3.159058e+01        1.133635e+01         5.698000e+03         1.390704e+03        8.856208e-01                                           2.201590e+01    4.692111e+00                       0.466886            0.000448482               0.0448695                0.0241076                7.860040e+05 
3.039195e-02    4.175319e-02    3.608806e-02   1.000000e+01         1.000000e+02         3.444503e+01        1.133635e+01         5.698000e+03         1.242461e+03        6.159980e-01                                           3.017067e+01    5.492783e+00                       0.531613            0.000842346               0.0378045                0.0239939                8.401740e+05 
4.175319e-02    5.736153e-02    4.942339e-02   1.000000e+01         1.000000e+02         3.674491e+01        1.133635e+01         5.698000e+03         1.124380e+03        4.249018e-01                                           3.792222e+01    6.158102e+00                       0.864133            0.000446846               0.0331768                0.0315703                8.748110e+05 
5.736153e-02    7.880463e-02    6.749213e-02   1.000000e+01         1.000000e+02         4.119256e+01        1.133635e+01         5.698000e+03         1.064819e+03        2.905870e-01                                           4.166527e+01    6.454864e+00                       1.80668             0.00030255                0.0176447                0.0380285                8.703020e+05 
5.736153e-02    7.880463e-02    6.837088e-02   1.000000e+02         1.000000e+03         1.724578e+02        1.133635e+01         5.698000e+03         2.289752e+03        2.232647e-01                                           1.475484e+01    3.841203e+00                       0.197297            0.000700269               0.0131807                0.0135637                2.778570e+05 
7.880463e-02    1.082637e-01    9.249641e-02   1.000000e+01         1.000000e+02         4.683443e+01        1.133635e+01         5.698000e+03         1.032171e+03        2.067682e-01                                           4.160804e+01    6.450429e+00                       3.14547             0.000545314               0.0231755                0.0448966                8.358320e+05 
7.880463e-02    1.082637e-01    9.352226e-02   1.000000e+02         1.000000e+03         1.912363e+02        1.133635e+01         5.698000e+03         2.084312e+03        1.556970e-01                                           2.404774e+01    4.903850e+00                       1.22558             0.000509902               0.0304335                0.0243139                4.072040e+05 
1.082637e-01    1.487352e-01    1.268783e-01   1.000000e+01         1.000000e+02         5.298774e+01        1.133635e+01         5.698000e+03         1.006468e+03        1.418760e-01                                           3.860056e+01    6.212935e+00                       4.65584             0.000893265               0.0632216                0.0630003                7.756310e+05 
1.082637e-01    1.487352e-01    1.282504e-01   1.000000e+02         1.000000e+03         2.114578e+02        1.133635e+01         5.698000e+03         1.924447e+03        1.053456e-01                                           3.451463e+01    5.874915e+00                       3.30531             0.000970684               0.0676274                0.0358024                5.397440e+05 
1.487352e-01    2.043360e-01    1.741409e-01   1.000000e+01         1.000000e+02         6.025376e+01        1.133635e+01         5.698000e+03         9.925159e+02        9.303179e-02                                           3.220311e+01    5.674778e+00                       5.39293             0.00078229                0.106619                 0.0846212                6.881650e+05 
1.487352e-01    2.043360e-01    1.762581e-01   1.000000e+02         1.000000e+03         2.314932e+02        1.133635e+01         5.698000e+03         1.797267e+03        6.842772e-02                                           4.462624e+01    6.680287e+00                       6.30012             0.000706003               0.108274                 0.0509241                6.357600e+05 
2.043360e-01    2.807216e-01    2.381096e-01   1.000000e+01         1.000000e+02         6.880012e+01        1.133635e+01         5.698000e+03         9.877820e+02        5.675165e-02                                           2.261172e+01    4.755178e+00                       4.72362             0.000295306               0.138413                 0.103553                 5.617800e+05 
2.043360e-01    2.807216e-01    2.416740e-01   1.000000e+02         1.000000e+03         2.510291e+02        1.133635e+01         5.698000e+03         1.684679e+03        4.122898e-02                                           4.994181e+01    7.066952e+00                       8.46907             0.000959238               0.134582                 0.0601786                7.010450e+05 
2.807216e-01    3.856620e-01    3.229339e-01   1.000000e+01         1.000000e+02         7.865278e+01        1.133635e+01         5.698000e+03         9.846572e+02        3.017734e-02                                           1.167537e+01    3.416923e+00                       2.82932             0.000561432               0.154353                 0.126705                 3.842360e+05 
2.807216e-01    3.856620e-01    3.298461e-01   1.000000e+02         1.000000e+03         2.702242e+02        1.133635e+01         5.698000e+03         1.595569e+03        2.140977e-02                                           4.594328e+01    6.778147e+00                       7.66582             0.00131334                0.132793                 0.0641316                7.455520e+05 
3.856620e-01    5.298317e-01    4.448845e-01   1.000000e+02         1.000000e+03         2.903578e+02        1.133635e+01         5.698000e+03         1.524046e+03        9.641301e-03                                           3.082160e+01    5.551720e+00                       1.9322              0.000536068               0.0324126                0.0307698                7.745550e+05 
