Experiment = FASERv | seed 2 | Neutrino = 12 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 80 cm | Total Events = 407.5 |        del_theta = 0.06 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
2.212216e-02    3.039195e-02    2.627368e-02   1.000000e+01         1.000000e+02         3.490463e+01        1.133635e+01         5.698000e+03         1.500106e+03        4.926645e-01                                           1.320298e+01    3.633590e+00                       0.44222             0.000630232               0.0740278                0.0387056                7.865880e+05 
3.039195e-02    4.175319e-02    3.608045e-02   1.000000e+01         1.000000e+02         3.844162e+01        1.133635e+01         5.698000e+03         1.341797e+03        3.468297e-01                                           1.807625e+01    4.251618e+00                       0.410427            0.00139299                0.0627315                0.0394667                8.400510e+05 
4.175319e-02    5.736153e-02    4.942209e-02   1.000000e+01         1.000000e+02         4.087804e+01        1.133635e+01         5.698000e+03         1.202196e+03        2.413617e-01                                           2.272558e+01    4.767136e+00                       0.123142            0.00072926                0.0552679                0.0525823                8.748660e+05 
5.736153e-02    7.880463e-02    6.754056e-02   1.000000e+01         1.000000e+02         4.505930e+01        1.133635e+01         5.698000e+03         1.125039e+03        1.667600e-01                                           2.514491e+01    5.014470e+00                       1.02925             0.000477772               0.0281158                0.062501                 8.695990e+05 
5.736153e-02    7.880463e-02    6.851368e-02   1.000000e+02         1.000000e+03         1.803682e+02        1.133635e+01         5.698000e+03         2.280650e+03        1.435395e-01                                           1.066384e+01    3.265554e+00                       0.102037            0.000953806               0.00753406               0.008739                 2.789310e+05 
7.880463e-02    1.082637e-01    9.256988e-02   1.000000e+01         1.000000e+02         5.008011e+01        1.133635e+01         5.698000e+03         1.072239e+03        1.187386e-01                                           2.523899e+01    5.023842e+00                       2.31188             0.000786479               0.0231176                0.0674752                8.350080e+05 
7.880463e-02    1.082637e-01    9.366500e-02   1.000000e+02         1.000000e+03         2.073554e+02        1.133635e+01         5.698000e+03         2.101727e+03        1.013453e-01                                           1.758293e+01    4.193200e+00                       1.13331             0.000595455               0.0352913                0.0248754                4.063740e+05 
1.082637e-01    1.487352e-01    1.269127e-01   1.000000e+01         1.000000e+02         5.559862e+01        1.133635e+01         5.698000e+03         1.035148e+03        8.165454e-02                                           2.343967e+01    4.841453e+00                       3.75595             0.00136368                0.0863567                0.085917                 7.756290e+05 
1.082637e-01    1.487352e-01    1.283776e-01   1.000000e+02         1.000000e+03         2.401917e+02        1.133635e+01         5.698000e+03         1.966160e+03        6.921254e-02                                           2.541170e+01    5.041001e+00                       3.12753             0.0012884                 0.0858348                0.0359906                5.399830e+05 
1.487352e-01    2.043360e-01    1.741170e-01   1.000000e+01         1.000000e+02         6.196750e+01        1.133635e+01         5.698000e+03         1.012585e+03        5.355276e-02                                           1.958780e+01    4.425810e+00                       4.43943             0.00108123                0.148949                 0.103996                 6.874570e+05 
1.487352e-01    2.043360e-01    1.760466e-01   1.000000e+02         1.000000e+03         2.755319e+02        1.133635e+01         5.698000e+03         1.863610e+03        4.488105e-02                                           3.282556e+01    5.729359e+00                       6.0076              0.000949071               0.140216                 0.0527829                6.361160e+05 
2.043360e-01    2.807216e-01    2.379504e-01   1.000000e+01         1.000000e+02         6.981010e+01        1.133635e+01         5.698000e+03         1.006903e+03        3.256158e-02                                           1.366667e+01    3.696846e+00                       3.89126             0.000361596               0.195196                 0.122521                 5.611760e+05 
2.043360e-01    2.807216e-01    2.410209e-01   1.000000e+02         1.000000e+03         3.093337e+02        1.133635e+01         5.698000e+03         1.767732e+03        2.674210e-02                                           3.634430e+01    6.028623e+00                       8.0354              0.00127825                0.176158                 0.0605764                7.013610e+05 
2.807216e-01    3.856620e-01    3.287177e-01   1.000000e+02         1.000000e+03         3.335461e+02        1.133635e+01         5.698000e+03         1.681163e+03        1.358370e-02                                           3.259677e+01    5.709358e+00                       7.14607             0.0017763                 0.175838                 0.0637104                7.456460e+05 
3.856620e-01    5.298317e-01    4.434433e-01   1.000000e+02         1.000000e+03         3.521758e+02        1.133635e+01         5.698000e+03         1.612480e+03        5.904631e-03                                           2.092453e+01    4.574334e+00                       1.60909             0.000770252               0.0432767                0.0405914                7.753450e+05 
