Experiment = FASERv2 | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660 cm | Total Events = 171418.0 |    del_theta = 0.1 mrad, theta_max = 50.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 100.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
2.395027e-03    3.290345e-03    2.863332e-03   4.000000e+00         1.000000e+01         6.125606e+00        1.133635e+01         5.698000e+03         1.937103e+03        8.149879e+00                                           1.732814e+02    1.316364e+01                       3.92415             0.0287155                 0.021404                 0.0838415                7.518360e+05 
3.290345e-03    4.520354e-03    3.930400e-03   4.000000e+00         1.000000e+01         6.310137e+00        1.133635e+01         5.698000e+03         1.628981e+03        5.972140e+00                                           2.968026e+02    1.722796e+01                       5.62322             0.0191778                 0.0386978                0.0692759                8.150860e+05 
3.290345e-03    4.520354e-03    3.958994e-03   1.000000e+01         1.000000e+02         1.472378e+01        1.133635e+01         5.698000e+03         2.785679e+03        6.744447e+00                                           1.270032e+02    1.126957e+01                       13.4407             0.0048394                 0.0662713                0.0404992                1.282660e+05 
4.520354e-03    6.210169e-03    5.390098e-03   4.000000e+00         1.000000e+01         6.426620e+00        1.133635e+01         5.698000e+03         1.390021e+03        4.351781e+00                                           4.540776e+02    2.130910e+01                       8.38529             0.0149023                 0.0337381                0.0583493                8.614960e+05 
4.520354e-03    6.210169e-03    5.441820e-03   1.000000e+01         1.000000e+02         1.635660e+01        1.133635e+01         5.698000e+03         2.413252e+03        4.760377e+00                                           3.081469e+02    1.755411e+01                       20.1738             0.00556591                0.0642319                0.0248353                2.082000e+05 
6.210169e-03    8.531679e-03    7.385155e-03   4.000000e+00         1.000000e+01         6.568217e+00        1.133635e+01         5.698000e+03         1.185158e+03        3.112945e+00                                           6.346833e+02    2.519292e+01                       23.887              0.0106571                 0.0665898                0.0371258                8.948620e+05 
6.210169e-03    8.531679e-03    7.445549e-03   1.000000e+01         1.000000e+02         1.855332e+01        1.133635e+01         5.698000e+03         2.129874e+03        3.322335e+00                                           6.396261e+02    2.529083e+01                       36.2519             0.00256383                0.0637227                0.0248958                3.215550e+05 
8.531679e-03    1.172102e-02    1.009909e-02   4.000000e+00         1.000000e+01         6.649198e+00        1.133635e+01         5.698000e+03         1.028405e+03        2.212378e+00                                           8.368901e+02    2.892905e+01                       25.1754             0.00740246                0.0504703                0.0319402                9.187970e+05 
8.531679e-03    1.172102e-02    1.020208e-02   1.000000e+01         1.000000e+02         2.106693e+01        1.133635e+01         5.698000e+03         1.875253e+03        2.290362e+00                                           1.187643e+03    3.446220e+01                       51.8359             0.0019714                 0.0598752                0.0281788                4.715720e+05 
1.172102e-02    1.610262e-02    1.386800e-02   4.000000e+00         1.000000e+01         6.698652e+00        1.133635e+01         5.698000e+03         9.197770e+02        1.646036e+00                                           1.043457e+03    3.230259e+01                       18.4747             0.0134963                 0.0364491                0.0329358                9.368280e+05 
1.172102e-02    1.610262e-02    1.396818e-02   1.000000e+01         1.000000e+02         2.447672e+01        1.133635e+01         5.698000e+03         1.696405e+03        1.654054e+00                                           2.004782e+03    4.477479e+01                       83.9945             0.00131718                0.0628194                0.0247634                6.108130e+05 
