Experiment = FASERv2 | seed 1 | Neutrino = -12 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660 cm | Total Events = 27855.2 |        del_theta = 0.1 mrad, theta_max = 50.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
6.210169e-03    8.531679e-03    7.379151e-03   4.000000e+00         1.000000e+01         6.549928e+00        1.133635e+01         5.698000e+03         1.183938e+03        7.346083e-01                                           1.423040e+02    1.192913e+01                       2.76045             0.0175993                 0.0386309                0.0801851                8.939100e+04 
6.210169e-03    8.531679e-03    7.449666e-03   1.000000e+01         1.000000e+02         1.858304e+01        1.133635e+01         5.698000e+03         2.131810e+03        7.769441e-01                                           1.219597e+02    1.104354e+01                       7.845               0.00116826                0.0661402                0.000647468              3.218500e+04 
8.531679e-03    1.172102e-02    1.010048e-02   4.000000e+00         1.000000e+01         6.661604e+00        1.133635e+01         5.698000e+03         1.041514e+03        5.236716e-01                                           1.895046e+02    1.376607e+01                       1.11827             0.0162168                 0.0335945                0.0687896                9.202600e+04 
8.531679e-03    1.172102e-02    1.020248e-02   1.000000e+01         1.000000e+02         2.122671e+01        1.133635e+01         5.698000e+03         1.886700e+03        5.276954e-01                                           2.381399e+02    1.543178e+01                       10.4569             0.000873181               0.0560316                0.0158727                4.705600e+04 
1.172102e-02    1.610262e-02    1.386193e-02   4.000000e+00         1.000000e+01         6.710081e+00        1.133635e+01         5.698000e+03         9.200693e+02        3.888391e-01                                           2.376246e+02    1.541508e+01                       0.0216671           0.0109909                 0.0326432                0.0502343                9.377100e+04 
1.172102e-02    1.610262e-02    1.396957e-02   1.000000e+01         1.000000e+02         2.446280e+01        1.133635e+01         5.698000e+03         1.698705e+03        3.769074e-01                                           4.005086e+02    2.001271e+01                       10.7196             0.000391536               0.0496229                0.0214494                6.104900e+04 
1.610262e-02    2.212216e-02    1.900253e-02   4.000000e+00         1.000000e+01         6.770858e+00        1.133635e+01         5.698000e+03         8.282603e+02        2.876343e-01                                           2.912415e+02    1.706580e+01                       13.4794             0.013335                  0.0240227                0.0806439                9.472100e+04 
1.610262e-02    2.212216e-02    1.913900e-02   1.000000e+01         1.000000e+02         2.782400e+01        1.133635e+01         5.698000e+03         1.523757e+03        2.691400e-01                                           6.474380e+02    2.544480e+01                       3.49361             0.000561701               0.0394255                0.0264798                7.124400e+04 
2.212216e-02    3.039195e-02    2.589061e-02   4.000000e+00         1.000000e+01         7.309818e+00        1.133635e+01         5.698000e+03         7.679451e+02        2.097089e-01                                           2.773798e+02    1.665472e+01                       30.8211             0.00308032                0.0283752                0.155502                 8.090800e+04 
2.212216e-02    3.039195e-02    2.628502e-02   1.000000e+01         1.000000e+02         3.122159e+01        1.133635e+01         5.698000e+03         1.366486e+03        1.874797e-01                                           9.529372e+02    3.086968e+01                       12.1668             0.000107112               0.0204476                0.0366483                7.869600e+04 
