Experiment = FLArE10 | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 700 cm | Total Events = 63130.3 |    del_theta = 15.0 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 2.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
4.520354e-03    6.210169e-03    5.393584e-03   4.000000e+00         1.000000e+01         6.339618e+00        1.133635e+01         5.698000e+03         1.116332e+03        3.899596e+00                                           1.099693e+02    1.048663e+01                       45.2028             0.483967                  0.0196058                0.0783048                3.509190e+05 
6.210169e-03    8.531679e-03    7.394751e-03   4.000000e+00         1.000000e+01         6.484059e+00        1.133635e+01         5.698000e+03         9.386738e+02        2.795209e+00                                           1.648849e+02    1.284075e+01                       56.6913             0.39474                   0.0135827                0.0495626                3.514390e+05 
6.210169e-03    8.531679e-03    7.470549e-03   1.000000e+01         1.000000e+02         1.706911e+01        1.133635e+01         5.698000e+03         1.730141e+03        3.054209e+00                                           1.232508e+02    1.110184e+01                       32.5848             0.271812                  0.00702805               0.00900239               2.146350e+05 
8.531679e-03    1.172102e-02    1.011482e-02   4.000000e+00         1.000000e+01         6.581825e+00        1.133635e+01         5.698000e+03         8.082212e+02        2.003528e+00                                           2.282858e+02    1.510913e+01                       49.1413             0.246243                  0.0140335                0.0428019                3.514850e+05 
8.531679e-03    1.172102e-02    1.021810e-02   1.000000e+01         1.000000e+02         1.907151e+01        1.133635e+01         5.698000e+03         1.495972e+03        2.105474e+00                                           2.494454e+02    1.579384e+01                       40.0283             0.173111                  0.00223833               0.0122521                3.021380e+05 
1.172102e-02    1.610262e-02    1.387650e-02   4.000000e+00         1.000000e+01         6.650690e+00        1.133635e+01         5.698000e+03         7.079124e+02        1.508417e+00                                           2.977933e+02    1.725669e+01                       34.9945             0.134548                  0.0186045                0.0412106                3.504670e+05 
1.172102e-02    1.610262e-02    1.399002e-02   1.000000e+01         1.000000e+02         2.198869e+01        1.133635e+01         5.698000e+03         1.332940e+03        1.516661e+00                                           4.528338e+02    2.127989e+01                       54.1667             0.127624                  0.00219298               0.0151064                3.479760e+05 
1.610262e-02    2.212216e-02    1.901500e-02   4.000000e+00         1.000000e+01         6.735015e+00        1.133635e+01         5.698000e+03         6.245988e+02        1.117549e+00                                           3.697387e+02    1.922859e+01                       32.9744             0.0868744                 0.0113085                0.025166                 3.519190e+05 
1.610262e-02    2.212216e-02    1.916838e-02   1.000000e+01         1.000000e+02         2.508383e+01        1.133635e+01         5.698000e+03         1.186350e+03        1.091500e+00                                           7.669939e+02    2.769465e+01                       85.8494             0.106463                  0.00313341               0.0162949                3.510390e+05 
2.212216e-02    3.039195e-02    2.613487e-02   4.000000e+00         1.000000e+01         6.782335e+00        1.133635e+01         5.698000e+03         5.660970e+02        8.191139e-01                                           4.359920e+02    2.088042e+01                       50.1418             0.107158                  0.0176048                0.0303128                3.513310e+05 
