Experiment = FLArE10 | seed 2 | Neutrino = -12 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 700 cm | Total Events = 10416.4 |        del_theta = 15.00 mrad, theta_max = 500.0 mrad |        del_Elepton = 5.0 % , Elepton_min = 2.00 GeV, Elepton_max = 2000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 0.01 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.610262e-02    2.212216e-02    1.916826e-02   1.000000e+01         1.000000e+02         2.506829e+01        1.133635e+01         5.698000e+03         1.181560e+03        2.531935e-01                                           1.634692e+02    1.278551e+01                       46.2416             0.263172                  0.00135954               0.0249151                3.516920e+05 
2.212216e-02    3.039195e-02    2.613427e-02   4.000000e+00         1.000000e+01         6.782007e+00        1.133635e+01         5.698000e+03         5.613429e+02        2.005193e-01                                           1.014972e+02    1.007458e+01                       26.6052             0.252354                  0.0288026                0.0470544                3.512780e+05 
2.212216e-02    3.039195e-02    2.631932e-02   1.000000e+01         1.000000e+02         2.855109e+01        1.133635e+01         5.698000e+03         1.053410e+03        1.751211e-01                                           2.487626e+02    1.577221e+01                       82.2728             0.30573                   0.00348252               0.0362816                3.500080e+05 
3.039195e-02    4.175319e-02    3.591915e-02   4.000000e+00         1.000000e+01         6.829996e+00        1.133635e+01         5.698000e+03         5.119721e+02        1.439396e-01                                           1.134889e+02    1.065312e+01                       37.1601             0.321904                  0.0202904                0.0275933                3.517230e+05 
3.039195e-02    4.175319e-02    3.613183e-02   1.000000e+01         1.000000e+02         3.203606e+01        1.133635e+01         5.698000e+03         9.434780e+02        1.194783e-01                                           3.505685e+02    1.872348e+01                       124.838             0.330915                  0.0016398                0.0344914                3.519400e+05 
4.175319e-02    5.736153e-02    4.926458e-02   4.000000e+00         1.000000e+01         6.862408e+00        1.133635e+01         5.698000e+03         4.801725e+02        1.018492e-01                                           1.222084e+02    1.105479e+01                       47.5006             0.390604                  0.0222508                0.0165946                3.514380e+05 
4.175319e-02    5.736153e-02    4.951781e-02   1.000000e+01         1.000000e+02         3.519403e+01        1.133635e+01         5.698000e+03         8.459833e+02        8.007115e-02                                           4.615970e+02    2.148481e+01                       172.398             0.350684                  0.00233013               0.0316894                3.509540e+05 
5.736153e-02    7.880463e-02    6.752838e-02   4.000000e+00         1.000000e+01         6.867201e+00        1.133635e+01         5.698000e+03         4.548147e+02        7.179632e-02                                           1.273364e+02    1.128434e+01                       57.7692             0.464458                  0.0211494                0.0109416                3.515740e+05 
5.736153e-02    7.880463e-02    6.781012e-02   1.000000e+01         1.000000e+02         3.784940e+01        1.133635e+01         5.698000e+03         7.625652e+02        5.378304e-02                                           5.723430e+02    2.392369e+01                       222.485             0.366253                  0.00219313               0.0281533                3.510440e+05 
7.880463e-02    1.082637e-01    9.271073e-02   4.000000e+00         1.000000e+01         6.892676e+00        1.133635e+01         5.698000e+03         4.357950e+02        5.264740e-02                                           1.318938e+02    1.148450e+01                       68.7477             0.533329                  0.0205778                0.0059959                3.520410e+05 
7.880463e-02    1.082637e-01    9.293237e-02   1.000000e+01         1.000000e+02         3.991857e+01        1.133635e+01         5.698000e+03         6.956582e+02        3.893322e-02                                           6.723608e+02    2.592992e+01                       275.698             0.390018                  0.000523439              0.0266347                3.510980e+05 
7.880463e-02    1.082637e-01    9.381128e-02   1.000000e+02         1.000000e+03         1.745493e+02        1.133635e+01         5.698000e+03         1.526268e+03        2.219829e-02                                           1.741771e+02    1.319762e+01                       52.7733             0.300868                  0.00158935               0.00126304               2.805960e+05 
1.082637e-01    1.487352e-01    1.272899e-01   4.000000e+00         1.000000e+01         6.909261e+00        1.133635e+01         5.698000e+03         4.198091e+02        3.762732e-02                                           1.335274e+02    1.155541e+01                       78.7817             0.604021                  0.0258218                0.00901976               3.518230e+05 
1.082637e-01    1.487352e-01    1.275961e-01   1.000000e+01         1.000000e+02         4.153393e+01        1.133635e+01         5.698000e+03         6.379874e+02        2.727688e-02                                           7.592351e+02    2.755422e+01                       331.65              0.423681                  0.00351321               0.0287173                3.513050e+05 
1.082637e-01    1.487352e-01    1.285068e-01   1.000000e+02         1.000000e+03         1.924258e+02        1.133635e+01         5.698000e+03         1.346952e+03        1.396574e-02                                           2.754257e+02    1.659596e+01                       82.9498             0.286083                  0.00653981               0.0218475                3.430590e+05 
1.487352e-01    2.043360e-01    1.750670e-01   4.000000e+00         1.000000e+01         6.910457e+00        1.133635e+01         5.698000e+03         4.099026e+02        2.603466e-02                                           1.313861e+02    1.146238e+01                       86.2257             0.672509                  0.0296637                0.014223                 3.506640e+05 
