Experiment = SND | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 35 cm | Total Events = 179.2 |    del_theta = 0.1 mrad, theta_max = 150.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 20.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 20.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
5.736153e-02    7.880463e-02    6.790466e-02   1.000000e+01         1.000000e+02         3.579030e+01        1.133635e+01         5.698000e+03         7.011744e+02        2.509817e-01                                           1.253030e+01    3.539817e+00                       0.297436            0.000514777               0.0502822                0.0232151                9.219020e+05 
7.880463e-02    1.082637e-01    9.304161e-02   1.000000e+01         1.000000e+02         3.826626e+01        1.133635e+01         5.698000e+03         6.401324e+02        1.829326e-01                                           1.589153e+01    3.986418e+00                       0.293969            0.00046766                0.0213478                0.0223166                9.427320e+05 
1.082637e-01    1.487352e-01    1.277125e-01   1.000000e+01         1.000000e+02         4.013278e+01        1.133635e+01         5.698000e+03         5.876067e+02        1.284820e-01                                           1.904160e+01    4.363669e+00                       1.11239             0.000424561               0.0356236                0.0339845                9.581620e+05 
1.487352e-01    2.043360e-01    1.755073e-01   1.000000e+01         1.000000e+02         4.154555e+01        1.133635e+01         5.698000e+03         5.440775e+02        8.654001e-02                                           2.104143e+01    4.587094e+00                       2.13536             0.000319504               0.0845255                0.0471072                9.689680e+05 
1.487352e-01    2.043360e-01    1.769611e-01   1.000000e+02         1.000000e+03         1.892363e+02        1.133635e+01         5.698000e+03         1.066914e+03        6.018094e-02                                           1.150288e+01    3.391590e+00                       1.19072             0.00029258                0.0771772                0.0375523                7.040310e+05 
2.043360e-01    2.807216e-01    2.406922e-01   1.000000e+01         1.000000e+02         4.280800e+01        1.133635e+01         5.698000e+03         5.081618e+02        5.399768e-02                                           2.092695e+01    4.574599e+00                       3.14036             0.000440944               0.13651                  0.064236                 9.764760e+05 
2.043360e-01    2.807216e-01    2.424439e-01   1.000000e+02         1.000000e+03         2.083994e+02        1.133635e+01         5.698000e+03         9.783756e+02        3.615099e-02                                           1.624107e+01    4.030021e+00                       2.59032             0.000204418               0.12474                  0.0467479                7.845000e+05 
2.807216e-01    3.856620e-01    3.281573e-01   1.000000e+01         1.000000e+02         4.559065e+01        1.133635e+01         5.698000e+03         4.807519e+02        2.911439e-02                                           1.731043e+01    4.160580e+00                       3.19975             0.000260192               0.177797                 0.0793032                9.552440e+05 
2.807216e-01    3.856620e-01    3.309912e-01   1.000000e+02         1.000000e+03         2.261084e+02        1.133635e+01         5.698000e+03         9.049918e+02        1.881423e-02                                           1.881568e+01    4.337704e+00                       3.68257             0.000213247               0.158355                 0.0562617                8.426600e+05 
3.856620e-01    5.298317e-01    4.433898e-01   1.000000e+01         1.000000e+02         4.951807e+01        1.133635e+01         5.698000e+03         4.576408e+02        1.358010e-02                                           1.059230e+01    3.254581e+00                       1.46347             0.000694074               0.153404                 0.0659649                9.077090e+05 
3.856620e-01    5.298317e-01    4.462209e-01   1.000000e+02         1.000000e+03         2.457534e+02        1.133635e+01         5.698000e+03         8.368834e+02        8.294129e-03                                           1.529021e+01    3.910270e+00                       2.32529             0.000246555               0.114205                 0.054487                 8.844810e+05 
