# x y Q2 xsec_nu xsec_nub
2.629930e-02 5.417429e-01 2.823867e+01 1.244508e-01 1.163958e-01
3.612571e-02 5.109009e-01 3.150745e+01 7.718100e-02 7.006673e-02
4.952080e-02 4.794408e-01 3.474040e+01 4.694947e-02 4.061856e-02
6.777140e-02 4.419045e-01 3.762459e+01 2.821064e-02 2.260095e-02
9.285297e-02 4.008751e-01 4.024567e+01 1.681098e-02 1.196735e-02
1.274525e-01 3.585268e-01 4.246499e+01 9.842057e-03 6.000413e-03
1.285971e-01 6.167167e-01 2.067412e+02 8.756920e-03 5.261198e-03
1.749647e-01 3.137098e-01 4.439827e+01 5.516484e-03 2.762508e-03
1.766531e-01 5.830848e-01 2.257559e+02 4.683467e-03 2.291253e-03
2.398247e-01 2.704863e-01 4.625340e+01 2.775850e-03 1.075255e-03
2.416150e-01 5.541240e-01 2.474706e+02 2.237951e-03 8.319265e-04
3.265541e-01 2.321508e-01 4.927012e+01 1.217638e-03 3.412746e-04
3.295962e-01 5.137241e-01 2.713638e+02 9.267534e-04 2.332040e-04
4.426626e-01 1.959971e-01 5.254408e+01 4.838524e-04 7.696291e-05
4.459493e-01 4.741590e-01 2.987192e+02 3.520121e-04 4.171256e-05
