# x y Q2 xsec_nu xsec_nub
7.738339e-04 7.669722e-01 4.858202e+00 1.654910e+01 1.590247e+01
1.106715e-03 7.166852e-01 5.564005e+00 1.178084e+01 1.124542e+01
1.120080e-03 9.677160e-01 1.103368e+01 1.234154e+01 1.171280e+01
1.541572e-03 7.435260e-01 5.879868e+00 7.919539e+00 7.453459e+00
1.566608e-03 8.251360e-01 1.222855e+01 9.247786e+00 8.727377e+00
2.099467e-03 6.411887e-01 5.615963e+00 5.821296e+00 5.451223e+00
2.146564e-03 8.035072e-01 1.327787e+01 6.542740e+00 6.098981e+00
2.873716e-03 6.396516e-01 5.903288e+00 4.072486e+00 3.754532e+00
2.944874e-03 7.415986e-01 1.457142e+01 4.761483e+00 4.392110e+00
3.937920e-03 5.910427e-01 6.022088e+00 2.929304e+00 2.669348e+00
3.967589e-03 7.061622e-01 1.593326e+01 3.468007e+00 3.155555e+00
5.405385e-03 5.438579e-01 6.162469e+00 2.104397e+00 1.893554e+00
5.460981e-03 6.818872e-01 1.754157e+01 2.438592e+00 2.176116e+00
7.403191e-03 4.947734e-01 6.375306e+00 1.526910e+00 1.357650e+00
7.506064e-03 6.500251e-01 1.875613e+01 1.713660e+00 1.495456e+00
1.013666e-02 4.390522e-01 6.443772e+00 1.108175e+00 9.758690e-01
1.024442e-02 6.345453e-01 2.050349e+01 1.205277e+00 1.021150e+00
1.123175e-02 9.848776e-01 1.107862e+02 1.110319e+00 8.903690e-01
1.391482e-02 3.935867e-01 6.536527e+00 7.970416e-01 6.933197e-01
1.398777e-02 5.975174e-01 2.253351e+01 8.599355e-01 7.078740e-01
1.480238e-02 8.513469e-01 1.143299e+02 8.301124e-01 6.446918e-01
1.908085e-02 3.437101e-01 6.624169e+00 5.777212e-01 4.980083e-01
1.921007e-02 5.573357e-01 2.463506e+01 6.224856e-01 4.978694e-01
1.964862e-02 7.947464e-01 1.275174e+02 6.003577e-01 4.442962e-01
2.619843e-02 2.879422e-01 6.675138e+00 4.199707e-01 3.608781e-01
2.639232e-02 5.354884e-01 2.705569e+01 4.350096e-01 3.315334e-01
2.669121e-02 7.625452e-01 1.402823e+02 4.181163e-01 2.881666e-01
3.603066e-02 2.496523e-01 6.751506e+00 3.005202e-01 2.555831e-01
3.622586e-02 5.056931e-01 3.019889e+01 3.055155e-01 2.209303e-01
3.663843e-02 7.153289e-01 1.525790e+02 2.891513e-01 1.835844e-01
4.940914e-02 2.097258e-01 6.766798e+00 2.157526e-01 1.825187e-01
4.968346e-02 4.740026e-01 3.333883e+01 2.144283e-01 1.463873e-01
5.032138e-02 6.896578e-01 1.658351e+02 1.981930e-01 1.126811e-01
6.774230e-02 1.720313e-01 6.792977e+00 1.549230e-01 1.308453e-01
6.807287e-02 4.370483e-01 3.614638e+01 1.505932e-01 9.730651e-02
6.894792e-02 6.657832e-01 1.761645e+02 1.363794e-01 6.816149e-02
9.291344e-02 1.368506e-01 6.869983e+00 1.105104e-01 9.385724e-02
9.325777e-02 3.964111e-01 3.884166e+01 1.052606e-01 6.491209e-02
9.427596e-02 6.459416e-01 1.907302e+02 9.350522e-02 4.025686e-02
1.049548e-01 9.652634e-01 1.030451e+03 6.128691e-02 1.746522e-02
1.264037e-01 1.165602e-01 7.283835e+00 7.827977e-02 6.646494e-02
1.280716e-01 3.545285e-01 4.104039e+01 7.230612e-02 4.321003e-02
1.292122e-01 6.190145e-01 2.065684e+02 6.303313e-02 2.338996e-02
1.352942e-01 8.909632e-01 1.129540e+03 4.307709e-02 9.952241e-03
1.724124e-01 1.007303e-01 8.203482e+00 5.348820e-02 4.555228e-02
1.756969e-01 3.111081e-01 4.313290e+01 4.798931e-02 2.844189e-02
1.774186e-01 5.860878e-01 2.251896e+02 4.071110e-02 1.322882e-02
1.810356e-01 8.106410e-01 1.238538e+03 2.763741e-02 5.173662e-03
2.242385e-01 9.586799e-02 9.206803e+00 3.681138e-02 3.126429e-02
2.408503e-01 2.682589e-01 4.481119e+01 2.961936e-02 1.786214e-02
2.426042e-01 5.586386e-01 2.480592e+02 2.429597e-02 6.999180e-03
2.470072e-01 7.710643e-01 1.347190e+03 1.572674e-02 2.240051e-03
3.280690e-01 2.317838e-01 4.770352e+01 1.614461e-02 1.006363e-02
3.310152e-01 5.206738e-01 2.723065e+02 1.255080e-02 3.475792e-03
3.354652e-01 7.318523e-01 1.454610e+03 7.701760e-03 8.994502e-04
4.432949e-01 1.977427e-01 5.113504e+01 7.042753e-03 4.603698e-03
4.461736e-01 4.821906e-01 2.987028e+02 5.094644e-03 1.466464e-03
4.506443e-01 6.970517e-01 1.523559e+03 2.951719e-03 3.287204e-04
5.982303e-01 1.647929e-01 5.517350e+01 1.872669e-03 1.286449e-03
6.011890e-01 4.364246e-01 3.185461e+02 1.212066e-03 3.880116e-04
6.065357e-01 6.677110e-01 1.580921e+03 6.388031e-04 7.451858e-05
7.851048e-01 1.389275e-01 5.894214e+01 2.070910e-04 1.466806e-04
7.872430e-01 3.872655e-01 3.294613e+02 1.126038e-04 3.982950e-05
7.931229e-01 6.540047e-01 1.650297e+03 5.067764e-05 5.183735e-06
