# x y Q2 xsec_nu xsec_nub
1.293257e-04 8.894893e-01 6.805179e+00 6.231130e+01 6.271372e+01
1.661777e-04 8.593717e-01 5.610705e+00 4.247260e+01 4.277915e+01
2.298988e-04 7.403321e-01 5.392243e+00 3.058338e+01 3.081195e+01
3.077807e-04 7.278054e-01 5.932399e+00 2.285564e+01 2.302534e+01
4.258496e-04 6.461875e-01 6.146684e+00 1.669324e+01 1.681440e+01
4.236335e-04 8.166838e-01 1.309361e+01 2.081459e+01 2.093892e+01
5.833660e-04 5.918151e-01 6.291074e+00 1.198771e+01 1.207163e+01
5.976438e-04 7.646527e-01 1.503206e+01 1.482296e+01 1.490562e+01
7.967536e-04 5.367675e-01 6.440724e+00 8.616510e+00 8.672520e+00
8.123636e-04 7.087839e-01 1.604261e+01 1.074994e+01 1.080486e+01
1.105234e-03 4.727669e-01 6.615133e+00 6.108563e+00 6.142891e+00
1.110086e-03 6.684315e-01 1.806591e+01 7.761671e+00 7.795456e+00
1.509847e-03 4.108535e-01 6.633756e+00 4.332300e+00 4.351419e+00
1.516701e-03 6.489567e-01 2.120648e+01 5.556128e+00 5.574386e+00
2.059372e-03 3.751715e-01 6.757850e+00 3.024080e+00 3.032235e+00
2.081638e-03 6.175395e-01 2.457650e+01 3.934846e+00 3.941941e+00
2.111074e-03 9.053660e-01 1.128430e+02 4.431047e+00 4.434500e+00
2.826056e-03 3.102221e-01 6.811782e+00 2.119780e+00 2.120179e+00
2.853696e-03 5.894396e-01 2.856485e+01 2.753873e+00 2.753271e+00
3.900844e-03 2.734678e-01 6.891701e+00 1.434889e+00 1.429997e+00
3.914162e-03 5.483529e-01 3.176215e+01 1.906539e+00 1.900875e+00
4.017038e-03 8.026989e-01 1.294490e+02 1.995214e+00 1.987372e+00
5.349073e-03 2.174003e-01 6.932789e+00 9.834425e-01 9.751767e-01
5.377038e-03 5.036041e-01 3.481411e+01 1.303999e+00 1.295134e+00
5.489457e-03 7.602726e-01 1.376279e+02 1.334579e+00 1.324192e+00
7.327684e-03 1.908684e-01 6.961663e+00 6.563182e-01 6.460563e-01
7.369620e-03 4.584274e-01 3.772424e+01 8.821806e-01 8.714397e-01
7.462279e-03 7.243341e-01 1.522355e+02 8.907178e-01 8.789292e-01
1.005851e-02 1.465535e-01 6.991536e+00 4.377312e-01 4.262456e-01
1.009169e-02 4.162249e-01 4.056730e+01 5.896013e-01 5.778878e-01
1.022505e-02 6.866707e-01 1.716798e+02 5.832597e-01 5.708449e-01
1.377973e-02 1.237080e-01 7.055365e+00 2.863764e-01 2.743544e-01
1.382168e-02 3.694207e-01 4.293769e+01 3.887136e-01 3.766432e-01
1.400023e-02 6.461152e-01 1.919585e+02 3.770625e-01 3.646067e-01
1.891130e-02 9.495533e-02 7.018851e+00 1.846676e-01 1.725384e-01
1.897528e-02 3.272171e-01 4.529629e+01 2.504948e-01 2.385356e-01
1.915184e-02 6.123753e-01 2.181926e+02 2.393521e-01 2.273009e-01
2.595237e-02 7.741686e-02 7.006026e+00 1.165201e-01 1.047230e-01
2.606382e-02 2.818348e-01 4.671398e+01 1.585006e-01 1.470420e-01
2.631247e-02 5.804937e-01 2.497197e+02 1.481222e-01 1.368529e-01
2.711935e-02 8.321237e-01 1.210739e+03 1.062678e-01 9.729500e-02
3.572368e-02 5.918249e-02 7.087530e+00 7.238252e-02 6.126527e-02
3.582714e-02 2.424190e-01 4.835746e+01 9.776691e-02 8.713421e-02
3.611568e-02 5.457035e-01 2.800780e+02 8.980665e-02 7.959964e-02
3.706858e-02 8.007082e-01 1.246878e+03 6.358304e-02 5.561755e-02
4.894409e-02 4.754538e-02 7.129476e+00 4.448842e-02 3.431559e-02
4.912978e-02 2.045012e-01 4.978757e+01 5.915344e-02 4.958765e-02
4.949165e-02 5.047196e-01 3.096000e+02 5.354280e-02 4.458785e-02
5.058361e-02 7.686429e-01 1.320188e+03 3.711544e-02 3.031253e-02
6.738593e-02 3.531341e-02 7.007768e+00 2.682890e-02 1.777338e-02
6.728716e-02 1.711177e-01 5.055967e+01 3.516923e-02 2.684519e-02
6.772328e-02 4.630934e-01 3.359291e+02 3.142612e-02 2.384251e-02
6.863855e-02 7.299330e-01 1.421921e+03 2.145551e-02 1.587003e-02
9.213619e-02 2.622977e-02 7.067426e+00 1.669836e-02 8.976321e-03
9.225500e-02 1.408624e-01 5.146316e+01 2.060173e-02 1.365718e-02
9.273908e-02 4.229938e-01 3.621057e+02 1.806192e-02 1.193147e-02
9.387053e-02 6.894113e-01 1.579004e+03 1.185677e-02 7.563869e-03
1.266343e-01 1.961594e-02 7.081901e+00 1.041573e-02 4.333864e-03
1.267173e-01 1.129151e-01 5.193658e+01 1.198167e-02 6.545410e-03
1.273198e-01 3.812126e-01 3.835822e+02 1.018775e-02 5.563825e-03
1.285028e-01 6.540371e-01 1.730409e+03 6.411429e-03 3.340241e-03
1.739243e-01 1.708956e-02 7.083052e+00 6.209538e-03 2.026574e-03
1.741953e-01 8.947880e-02 5.253097e+01 6.796390e-03 2.961303e-03
1.749053e-01 3.378566e-01 4.024581e+02 5.555082e-03 2.416987e-03
1.762816e-01 6.166681e-01 1.920174e+03 3.270370e-03 1.328096e-03
2.388602e-01 1.221305e-02 7.129247e+00 3.250324e-03 9.441365e-04
2.389706e-01 7.065624e-02 5.265636e+01 3.567716e-03 1.262491e-03
2.397671e-01 2.959562e-01 4.201028e+02 2.780756e-03 9.684045e-04
2.415053e-01 5.707842e-01 2.080627e+03 1.531466e-03 4.826024e-04
2.456091e-01 8.526840e-01 1.196994e+04 2.777583e-04 8.057822e-05
3.259970e-01 8.551462e-03 7.175063e+00 1.566213e-03 5.817341e-04
3.265009e-01 5.532150e-02 5.320061e+01 1.661232e-03 5.629348e-04
3.269363e-01 2.513171e-01 4.313554e+02 1.242107e-03 3.988627e-04
3.294449e-01 5.363881e-01 2.285903e+03 6.208543e-04 1.721214e-04
3.408003e-01 8.220672e-01 1.218286e+04 1.055446e-04 2.617123e-05
4.357394e-01 6.304276e-03 7.265347e+00 7.840948e-04 3.734096e-04
4.432175e-01 4.078220e-02 5.309900e+01 7.171377e-04 2.921817e-04
4.432690e-01 2.146200e-01 4.424548e+02 4.996254e-04 1.812750e-04
4.450954e-01 4.937248e-01 2.459032e+03 2.310190e-04 7.083785e-05
4.566754e-01 7.891492e-01 1.270552e+04 3.772101e-05 1.012241e-05
5.967647e-01 5.088379e-03 7.726532e+00 1.709655e-04 1.099754e-04
5.976283e-01 3.308761e-02 5.418234e+01 2.166166e-04 8.487386e-05
5.973935e-01 1.796394e-01 4.425103e+02 1.427473e-04 4.942857e-05
5.986291e-01 4.422356e-01 2.585009e+03 5.976048e-05 1.780738e-05
