# x y Q2 xsec_nu xsec_nub
1.696143e-04 8.971802e-01 5.748787e+00 4.100585e+01 4.130281e+01
2.319100e-04 7.659495e-01 5.408390e+00 2.978315e+01 3.000733e+01
3.082074e-04 7.528252e-01 5.872163e+00 2.229847e+01 2.246601e+01
4.259653e-04 6.543183e-01 6.111908e+00 1.654110e+01 1.666176e+01
4.237815e-04 8.332059e-01 1.307202e+01 2.057990e+01 2.070373e+01
5.839066e-04 6.060082e-01 6.234651e+00 1.179597e+01 1.187927e+01
5.986011e-04 7.832000e-01 1.450308e+01 1.443023e+01 1.451229e+01
7.978666e-04 5.543042e-01 6.336615e+00 8.422424e+00 8.477877e+00
8.129446e-04 7.241164e-01 1.552470e+01 1.051149e+01 1.056615e+01
1.105489e-03 4.972589e-01 6.543528e+00 5.964443e+00 5.998436e+00
1.110542e-03 6.785791e-01 1.746583e+01 7.621651e+00 7.655365e+00
1.509695e-03 4.358203e-01 6.590931e+00 4.239568e+00 4.258526e+00
1.517824e-03 6.602323e-01 2.039343e+01 5.445753e+00 5.463999e+00
2.063196e-03 4.016228e-01 6.696998e+00 2.945742e+00 2.953771e+00
2.083633e-03 6.289671e-01 2.344866e+01 3.850962e+00 3.858103e+00
2.825303e-03 3.346000e-01 6.784216e+00 2.079116e+00 2.079528e+00
2.855051e-03 6.014411e-01 2.707414e+01 2.695064e+00 2.694560e+00
3.900256e-03 2.947927e-01 6.856871e+00 1.410123e+00 1.405277e+00
3.913902e-03 5.608505e-01 3.017311e+01 1.869010e+00 1.863451e+00
4.010078e-03 8.311752e-01 1.244601e+02 1.961979e+00 1.954254e+00
5.345589e-03 2.393041e-01 6.911964e+00 9.680213e-01 9.598302e-01
5.380192e-03 5.166412e-01 3.316890e+01 1.278736e+00 1.269963e+00
5.487878e-03 7.762598e-01 1.330805e+02 1.319380e+00 1.309059e+00
7.333596e-03 2.109110e-01 6.930120e+00 6.454323e-01 6.352406e-01
7.371653e-03 4.746585e-01 3.609918e+01 8.651868e-01 8.545355e-01
7.468007e-03 7.346492e-01 1.485042e+02 8.830440e-01 8.712908e-01
1.005189e-02 1.642567e-01 6.957444e+00 4.321803e-01 4.207651e-01
1.009827e-02 4.359133e-01 3.914496e+01 5.781022e-01 5.664699e-01
1.022776e-02 6.946925e-01 1.659334e+02 5.793011e-01 5.669166e-01
1.376714e-02 1.380218e-01 7.029105e+00 2.837320e-01 2.717661e-01
1.382085e-02 3.929047e-01 4.187815e+01 3.816592e-01 3.696617e-01
1.401005e-02 6.548484e-01 1.857299e+02 3.744035e-01 3.619690e-01
1.889672e-02 1.070895e-01 7.008035e+00 1.834093e-01 1.713258e-01
1.897290e-02 3.482527e-01 4.420822e+01 2.465820e-01 2.346800e-01
1.916529e-02 6.219611e-01 2.086399e+02 2.376794e-01 2.256406e-01
2.594638e-02 8.742229e-02 7.026020e+00 1.160069e-01 1.042479e-01
2.606707e-02 3.022801e-01 4.592261e+01 1.563084e-01 1.448936e-01
2.632396e-02 5.913384e-01 2.380353e+02 1.472311e-01 1.359616e-01
3.566190e-02 6.755630e-02 7.102404e+00 7.229984e-02 6.120713e-02
3.581036e-02 2.618436e-01 4.761249e+01 9.667225e-02 8.607081e-02
3.611759e-02 5.570790e-01 2.657133e+02 8.942639e-02 7.920528e-02
3.712940e-02 8.302422e-01 1.197811e+03 6.355285e-02 5.551224e-02
4.883426e-02 5.348276e-02 7.146276e+00 4.454711e-02 3.438623e-02
4.908117e-02 2.219730e-01 4.916715e+01 5.867888e-02 4.913157e-02
