# x y Q2 xsec_nu xsec_nub
2.402160e-04 8.611964e-01 5.877339e+00 6.784221e+01 6.654393e+01
3.291096e-04 7.085257e-01 5.300453e+00 4.964912e+01 4.867308e+01
4.286041e-04 6.388060e-01 6.164944e+00 4.073241e+01 3.993080e+01
4.557031e-04 9.605907e-01 1.357916e+01 4.026399e+01 3.926100e+01
5.820155e-04 6.022735e-01 5.995478e+00 2.896624e+01 2.831226e+01
6.214439e-04 8.132611e-01 1.346881e+01 3.011667e+01 2.930785e+01
8.096715e-04 5.982171e-01 6.110226e+00 1.983165e+01 1.928023e+01
8.168685e-04 6.962312e-01 1.428682e+01 2.394274e+01 2.329125e+01
1.113559e-03 5.488766e-01 6.452957e+00 1.444040e+01 1.399637e+01
1.103178e-03 6.823563e-01 1.675033e+01 1.756229e+01 1.700483e+01
1.512615e-03 4.591683e-01 6.452379e+00 1.081906e+01 1.048469e+01
1.546542e-03 6.583883e-01 2.005826e+01 1.238499e+01 1.192005e+01
2.062895e-03 4.223661e-01 6.551756e+00 7.745572e+00 7.474516e+00
2.080884e-03 6.255698e-01 2.064365e+01 8.876493e+00 8.487907e+00
2.829201e-03 3.705814e-01 6.558169e+00 5.551239e+00 5.339887e+00
2.866311e-03 5.979207e-01 2.349081e+01 6.269043e+00 5.944398e+00
3.921013e-03 3.296743e-01 6.829589e+00 3.936781e+00 3.770408e+00
3.913221e-03 5.644455e-01 2.676103e+01 4.576202e+00 4.305907e+00
3.910893e-03 8.470564e-01 1.200237e+02 4.631098e+00 4.279528e+00
5.350483e-03 2.695378e-01 6.709849e+00 2.838850e+00 2.715928e+00
5.366368e-03 5.185413e-01 2.915948e+01 3.236958e+00 3.015755e+00
5.492006e-03 7.814283e-01 1.346273e+02 3.133546e+00 2.844041e+00
7.360628e-03 2.427265e-01 6.774413e+00 1.989886e+00 1.892395e+00
7.411265e-03 4.870552e-01 3.190879e+01 2.241905e+00 2.058862e+00
7.488994e-03 7.264978e-01 1.457662e+02 2.180928e+00 1.939217e+00
1.009150e-02 1.899252e-01 6.815573e+00 1.431690e+00 1.362391e+00
1.013158e-02 4.291437e-01 3.364261e+01 1.594330e+00 1.448819e+00
1.031738e-02 6.754418e-01 1.575837e+02 1.495600e+00 1.295275e+00
1.375096e-02 1.657189e-01 6.916436e+00 1.017068e+00 9.632905e-01
1.385858e-02 3.964203e-01 3.679355e+01 1.114439e+00 9.949763e-01
1.403034e-02 6.468738e-01 1.766795e+02 1.028940e+00 8.599455e-01
1.901076e-02 1.324239e-01 6.826072e+00 7.132312e-01 6.745798e-01
1.906742e-02 3.554595e-01 3.901353e+01 7.743894e-01 6.791754e-01
1.920802e-02 6.159626e-01 1.935434e+02 7.016414e-01 5.607016e-01
2.583302e-02 1.071639e-01 7.316841e+00 5.148352e-01 4.861415e-01
2.617711e-02 3.049349e-01 4.043563e+01 5.410837e-01 4.682918e-01
2.642004e-02 5.722290e-01 2.131840e+02 4.786344e-01 3.641693e-01
3.514871e-02 9.771487e-02 8.262423e+00 3.673411e-01 3.438090e-01
3.596724e-02 2.674491e-01 4.231292e+01 3.727688e-01 3.168261e-01
3.626522e-02 5.410643e-01 2.324677e+02 3.239623e-01 2.313879e-01
3.700379e-02 7.944852e-01 1.182226e+03 2.294589e-01 1.415795e-01
