# x y Q2 xsec_nu xsec_nub
1.310307e-04 9.073361e-01 7.451698e+00 1.466959e+02 1.446421e+02
2.297018e-04 7.150168e-01 5.532734e+00 7.586649e+01 7.459296e+01
3.103097e-04 7.141575e-01 5.581364e+00 5.361865e+01 5.255521e+01
4.277843e-04 6.433908e-01 6.094646e+00 4.023153e+01 3.940379e+01
4.278823e-04 7.990396e-01 1.376838e+01 4.764381e+01 4.663985e+01
5.824939e-04 6.050918e-01 6.264891e+00 2.917903e+01 2.851600e+01
5.942912e-04 7.670482e-01 1.521081e+01 3.383080e+01 3.301434e+01
7.963225e-04 5.653003e-01 6.306720e+00 2.090023e+01 2.037366e+01
8.172721e-04 6.985117e-01 1.590097e+01 2.452615e+01 2.387882e+01
1.111545e-03 5.088616e-01 6.468227e+00 1.491523e+01 1.451239e+01
1.107598e-03 6.565931e-01 1.768679e+01 1.802365e+01 1.749520e+01
1.509826e-03 4.573802e-01 6.484624e+00 1.085128e+01 1.053902e+01
1.524546e-03 6.459999e-01 2.066268e+01 1.279041e+01 1.234820e+01
2.063952e-03 4.270820e-01 6.606480e+00 7.722913e+00 7.472587e+00
2.081470e-03 6.204301e-01 2.339380e+01 9.149582e+00 8.782408e+00
2.082069e-03 9.152929e-01 1.146137e+02 9.881293e+00 9.410022e+00
2.833405e-03 3.554746e-01 6.690993e+00 5.654012e+00 5.471589e+00
2.856413e-03 5.933883e-01 2.594615e+01 6.448455e+00 6.143966e+00
3.908302e-03 3.179951e-01 6.775721e+00 3.990917e+00 3.848670e+00
3.920815e-03 5.569469e-01 2.847315e+01 4.553121e+00 4.302169e+00
4.007330e-03 7.794640e-01 1.313152e+02 4.667899e+00 4.347299e+00
5.357765e-03 2.631984e-01 6.861996e+00 2.877085e+00 2.772205e+00
5.387426e-03 5.184796e-01 3.140836e+01 3.206982e+00 2.999906e+00
5.509924e-03 7.435498e-01 1.422167e+02 3.185710e+00 2.916072e+00
7.335480e-03 2.373361e-01 6.875757e+00 2.022993e+00 1.938558e+00
7.386904e-03 4.781755e-01 3.384912e+01 2.252850e+00 2.082070e+00
7.463562e-03 7.156003e-01 1.540351e+02 2.201376e+00 1.971094e+00
1.006680e-02 1.873531e-01 6.904887e+00 1.449849e+00 1.388605e+00
1.010722e-02 4.437532e-01 3.653013e+01 1.578700e+00 1.436367e+00
1.024115e-02 6.829182e-01 1.700264e+02 1.501964e+00 1.306655e+00
1.377158e-02 1.585312e-01 6.962489e+00 1.027111e+00 9.791355e-01
1.384305e-02 4.050660e-01 3.933380e+01 1.105569e+00 9.881242e-01
1.401409e-02 6.458262e-01 1.863057e+02 1.028923e+00 8.640101e-01
1.891535e-02 1.265228e-01 6.963569e+00 7.265313e-01 6.904204e-01
1.901514e-02 3.652815e-01 4.187286e+01 7.696217e-01 6.740362e-01
1.917157e-02 6.160579e-01 2.069483e+02 7.015202e-01 5.625530e-01
1.993151e-02 9.114440e-01 1.181991e+03 4.918437e-01 3.633554e-01
2.575645e-02 1.098243e-01 7.391359e+00 5.185520e-01 4.891289e-01
2.610827e-02 3.216756e-01 4.368858e+01 5.358048e-01 4.601109e-01
2.636719e-02 5.886351e-01 2.292131e+02 4.742518e-01 3.587153e-01
2.700591e-02 8.256709e-01 1.244245e+03 3.360326e-01 2.307159e-01
3.514319e-02 9.586039e-02 8.282672e+00 3.693734e-01 3.454288e-01
3.586754e-02 2.835862e-01 4.569679e+01 3.698199e-01 3.106963e-01
3.620775e-02 5.574351e-01 2.520857e+02 3.208685e-01 2.268417e-01
3.712479e-02 7.715111e-01 1.264419e+03 2.259114e-01 1.406831e-01
4.539348e-02 8.235970e-02 9.268348e+00 2.787577e-01 2.592749e-01
4.918041e-02 2.461140e-01 4.744735e+01 2.546500e-01 2.097672e-01
4.956685e-02 5.197804e-01 2.764398e+02 2.179622e-01 1.435611e-01
5.063014e-02 7.552050e-01 1.339445e+03 1.497561e-01 8.169641e-02
6.720611e-02 2.139137e-01 5.000280e+01 1.750509e-01 1.415138e-01
6.784885e-02 4.865334e-01 2.999622e+02 1.474280e-01 8.976749e-02
6.852804e-02 7.199660e-01 1.424513e+03 1.006238e-01 4.785472e-02
9.217057e-02 1.864387e-01 5.423339e+01 1.187870e-01 9.432026e-02
9.291722e-02 4.499329e-01 3.248027e+02 9.907404e-02 5.598463e-02
9.389672e-02 6.841661e-01 1.564691e+03 6.528292e-02 2.649050e-02
1.264004e-01 1.579889e-01 5.837887e+01 7.972612e-02 6.286938e-02
1.275431e-01 4.147752e-01 3.484013e+02 6.544055e-02 3.458749e-02
1.288093e-01 6.570434e-01 1.690416e+03 4.172306e-02 1.416197e-02
1.735383e-01 1.358506e-01 6.387218e+01 5.158094e-02 4.058742e-02
1.752292e-01 3.757713e-01 3.702592e+02 4.162847e-02 2.115285e-02
1.766223e-01 6.241157e-01 1.831520e+03 2.553209e-02 7.366557e-03
1.999368e-01 8.250189e-01 1.056592e+04 4.585260e-03 7.113914e-04
2.371602e-01 1.177033e-01 7.095864e+01 3.115641e-02 2.469836e-02
2.401338e-01 3.355556e-01 3.904379e+02 2.450276e-02 1.239981e-02
2.418539e-01 5.831164e-01 1.947625e+03 1.443673e-02 3.753787e-03
2.416852e-01 8.681338e-01 1.219776e+04 2.659373e-03 2.834377e-04
3.219601e-01 1.021483e-01 7.929668e+01 1.665355e-02 1.347950e-02
3.273935e-01 2.915131e-01 4.047102e+02 1.254891e-02 6.693346e-03
3.302168e-01 5.567760e-01 2.102623e+03 6.887647e-03 1.684244e-03
3.373241e-01 8.047565e-01 1.202755e+04 1.234451e-03 1.079033e-04
4.256641e-01 8.972307e-02 9.002842e+01 7.648321e-03 6.351597e-03
4.436446e-01 2.537524e-01 4.182637e+02 4.989745e-03 2.884132e-03
4.463394e-01 5.132177e-01 2.215465e+03 2.552471e-03 7.034965e-04
4.561491e-01 7.510226e-01 1.285961e+04 3.992953e-04 4.255429e-05
5.962915e-01 2.180895e-01 4.311234e+02 1.179492e-03 7.363497e-04
5.993851e-01 4.702163e-01 2.352114e+03 5.356142e-04 1.748236e-04
