# x y Q2 xsec_nu xsec_nub
1.666477e-04 8.855479e-01 5.356642e+00 4.056306e+01 4.086273e+01
2.332264e-04 7.640173e-01 5.397644e+00 2.958872e+01 2.981166e+01
3.116200e-04 7.163222e-01 5.495526e+00 2.180295e+01 2.196925e+01
4.282607e-04 6.750409e-01 6.163644e+00 1.625555e+01 1.637464e+01
4.294051e-04 8.377078e-01 1.318115e+01 2.025989e+01 2.038175e+01
5.847109e-04 6.221340e-01 6.199240e+00 1.160329e+01 1.168589e+01
5.966389e-04 8.046615e-01 1.454002e+01 1.430538e+01 1.438745e+01
7.988465e-04 5.791559e-01 6.225440e+00 8.183183e+00 8.237932e+00
8.183045e-04 7.295043e-01 1.489375e+01 1.023886e+01 1.029288e+01
1.107882e-03 5.345572e-01 6.439168e+00 5.739349e+00 5.772722e+00
1.108259e-03 6.794420e-01 1.679813e+01 7.540977e+00 7.574813e+00
1.513598e-03 4.753602e-01 6.435052e+00 4.056151e+00 4.074701e+00
1.524305e-03 6.663402e-01 1.915275e+01 5.293131e+00 5.311252e+00
2.069152e-03 4.472464e-01 6.572523e+00 2.811797e+00 2.819612e+00
2.085542e-03 6.359422e-01 2.198874e+01 3.761120e+00 3.768327e+00
2.833208e-03 3.773052e-01 6.669526e+00 1.991849e+00 1.992208e+00
2.857853e-03 6.085595e-01 2.452038e+01 2.613415e+00 2.613067e+00
3.906916e-03 3.378610e-01 6.767571e+00 1.355763e+00 1.350981e+00
3.923000e-03 5.739700e-01 2.702851e+01 1.800587e+00 1.795201e+00
4.009292e-03 8.239249e-01 1.237713e+02 1.968482e+00 1.960758e+00
5.349454e-03 2.813824e-01 6.826190e+00 9.336364e-01 9.255691e-01
5.389154e-03 5.328031e-01 3.001320e+01 1.235306e+00 1.226695e+00
5.514524e-03 7.869240e-01 1.339904e+02 1.304209e+00 1.293869e+00
7.337460e-03 2.529369e-01 6.860633e+00 6.238732e-01 6.138319e-01
7.387922e-03 4.952927e-01 3.246857e+01 8.332191e-01 8.227337e-01
7.477066e-03 7.372384e-01 1.450879e+02 8.785878e-01 8.668556e-01
1.006339e-02 2.037326e-01 6.887753e+00 4.185777e-01 4.073133e-01
1.011499e-02 4.612099e-01 3.539757e+01 5.572639e-01 5.457878e-01
1.024292e-02 6.961386e-01 1.615895e+02 5.766031e-01 5.642345e-01
1.377753e-02 1.721305e-01 6.962436e+00 2.762490e-01 2.644141e-01
1.384626e-02 4.232643e-01 3.820863e+01 3.680852e-01 3.562292e-01
1.402865e-02 6.598891e-01 1.767964e+02 3.718231e-01 3.594105e-01
1.889466e-02 1.379613e-01 6.981802e+00 1.797430e-01 1.677769e-01
1.901030e-02 3.826250e-01 4.102445e+01 2.382912e-01 2.265062e-01
1.918873e-02 6.308934e-01 1.953182e+02 2.357289e-01 2.237051e-01
2.574471e-02 1.176917e-01 7.399582e+00 1.175079e-01 1.058763e-01
2.610587e-02 3.397516e-01 4.299911e+01 1.513841e-01 1.400662e-01
2.637371e-02 6.033802e-01 2.168474e+02 1.458415e-01 1.345704e-01
3.508270e-02 1.046104e-01 8.300017e+00 7.656321e-02 6.563891e-02
3.585949e-02 2.996560e-01 4.498526e+01 9.394851e-02 8.342130e-02
3.620255e-02 5.713469e-01 2.393702e+02 8.863188e-02 7.839054e-02
3.730267e-02 8.223274e-01 1.202215e+03 6.315177e-02 5.513131e-02
4.537393e-02 8.880920e-02 9.266311e+00 5.313060e-02 4.298077e-02
4.911182e-02 2.600641e-01 4.687105e+01 5.727478e-02 4.778018e-02
4.953538e-02 5.337391e-01 2.633199e+02 5.311908e-02 4.409967e-02
5.062578e-02 7.854943e-01 1.274090e+03 3.728471e-02 3.041348e-02
6.705063e-02 2.270480e-01 4.976978e+01 3.448799e-02 2.620156e-02
6.772449e-02 4.987265e-01 2.870071e+02 3.127401e-02 2.361242e-02
6.850249e-02 7.418968e-01 1.371526e+03 2.172607e-02 1.606581e-02
9.181562e-02 1.981931e-01 5.415211e+01 2.037827e-02 1.345927e-02
9.260207e-02 4.614591e-01 3.118643e+02 1.808630e-02 1.186891e-02
9.365181e-02 7.016060e-01 1.497724e+03 1.211325e-02 7.724569e-03
1.258321e-01 1.673486e-01 5.840973e+01 1.194339e-02 6.523335e-03
1.269976e-01 4.243403e-01 3.364521e+02 1.024200e-02 5.539596e-03
1.283974e-01 6.707833e-01 1.619441e+03 6.579947e-03 3.418452e-03
1.728552e-01 1.456223e-01 6.375771e+01 6.765516e-03 2.948974e-03
1.745625e-01 3.833837e-01 3.593993e+02 5.571554e-03 2.382151e-03
1.761615e-01 6.306029e-01 1.761380e+03 3.401536e-03 1.375727e-03
2.360062e-01 1.221616e-01 7.063993e+01 3.573090e-03 1.266167e-03
2.391291e-01 3.394702e-01 3.800767e+02 2.797649e-03 9.509949e-04
2.409477e-01 5.862183e-01 1.849969e+03 1.630347e-03 5.101256e-04
3.184703e-01 1.084432e-01 7.871827e+01 1.702147e-03 5.626312e-04
3.244210e-01 2.848608e-01 3.893734e+02 1.278445e-03 3.991003e-04
3.269129e-01 5.584901e-01 1.989363e+03 6.824768e-04 1.859513e-04
4.187045e-01 9.160530e-02 8.966415e+01 7.907479e-04 3.023038e-04
4.325713e-01 2.344142e-01 3.993595e+02 5.481774e-04 1.945131e-04
4.320778e-01 4.897061e-01 2.088144e+03 2.822218e-04 8.598653e-05
6.333328e-01 7.842545e-01 1.331452e+04 6.452965e-06 1.674086e-06
