# x y Q2 xsec_nu xsec_nub
2.296973e-04 8.319106e-01 5.390570e+00 7.021757e+01 6.891618e+01
4.350038e-04 6.003570e-01 6.257304e+00 4.147825e+01 4.071855e+01
5.573876e-04 5.994670e-01 5.457032e+00 2.944890e+01 2.878877e+01
6.342269e-04 8.589418e-01 1.469592e+01 2.929049e+01 2.846915e+01
8.038459e-04 4.648083e-01 6.082763e+00 2.228931e+01 2.183788e+01
8.175060e-04 6.548047e-01 1.464817e+01 2.486239e+01 2.423301e+01
1.118103e-03 5.347795e-01 6.621603e+00 1.467192e+01 1.423617e+01
1.084519e-03 6.711066e-01 1.863614e+01 1.858991e+01 1.802798e+01
1.514041e-03 4.521583e-01 6.508176e+00 1.090395e+01 1.057350e+01
1.551358e-03 6.602704e-01 2.044298e+01 1.237404e+01 1.190849e+01
2.059690e-03 4.084834e-01 6.634648e+00 7.885941e+00 7.621379e+00
2.073308e-03 6.367597e-01 2.365043e+01 9.101455e+00 8.704389e+00
2.820484e-03 3.587420e-01 6.646990e+00 5.653228e+00 5.446610e+00
2.860357e-03 6.091867e-01 2.484499e+01 6.447267e+00 6.118762e+00
3.239685e-03 6.236696e-01 1.137688e+02 6.759069e+00 6.418680e+00
3.905209e-03 3.200733e-01 6.829272e+00 3.988569e+00 3.825620e+00
3.936836e-03 5.558664e-01 2.819720e+01 4.611608e+00 4.343460e+00
3.950295e-03 7.973779e-01 1.245642e+02 4.714460e+00 4.370565e+00
5.340516e-03 2.914830e-01 6.568206e+00 2.775717e+00 2.645343e+00
5.368669e-03 5.438357e-01 3.009082e+01 3.190114e+00 2.961841e+00
5.494747e-03 7.390017e-01 1.375742e+02 3.215324e+00 2.931751e+00
7.381882e-03 2.304327e-01 7.060473e+00 2.025272e+00 1.931372e+00
7.442576e-03 4.959400e-01 3.410340e+01 2.235154e+00 2.049536e+00
7.514802e-03 7.005567e-01 1.551289e+02 2.212736e+00 1.974984e+00
1.009188e-02 1.955276e-01 6.770810e+00 1.422880e+00 1.352046e+00
1.009983e-02 4.424882e-01 3.510175e+01 1.593046e+00 1.443855e+00
1.041316e-02 6.776020e-01 1.616074e+02 1.477455e+00 1.277699e+00
1.377389e-02 1.768657e-01 6.915338e+00 1.006257e+00 9.497065e-01
1.387359e-02 3.856445e-01 3.707888e+01 1.122292e+00 1.005168e+00
1.392700e-02 6.497064e-01 1.863557e+02 1.038059e+00 8.681327e-01
1.898911e-02 1.596468e-01 6.843353e+00 7.001747e-01 6.553243e-01
1.910191e-02 3.549513e-01 3.926949e+01 7.733179e-01 6.782558e-01
1.919110e-02 6.218266e-01 2.100341e+02 7.001688e-01 5.586555e-01
2.022097e-02 9.155595e-01 1.307579e+03 4.687375e-01 3.437645e-01
2.592652e-02 1.184523e-01 6.807030e+00 5.026787e-01 4.718474e-01
2.621463e-02 3.306751e-01 4.134353e+01 5.321072e-01 4.546564e-01
2.646244e-02 5.851377e-01 2.258423e+02 4.739419e-01 3.583087e-01
2.613509e-02 8.437002e-01 1.188838e+03 3.530296e-01 2.433226e-01
3.570768e-02 1.037879e-01 6.935006e+00 3.510693e-01 3.267912e-01
3.607817e-02 2.965851e-01 4.411836e+01 3.657264e-01 3.051146e-01
3.640683e-02 5.621780e-01 2.469865e+02 3.184170e-01 2.241786e-01
3.709729e-02 7.341476e-01 1.225752e+03 2.307332e-01 1.463872e-01
4.935439e-02 7.553576e-02 6.940564e+00 2.453182e-01 2.285094e-01
4.934971e-02 2.639332e-01 4.545277e+01 2.517456e-01 2.051222e-01
4.974816e-02 5.255201e-01 2.707018e+02 2.165469e-01 1.420368e-01
5.043175e-02 7.598156e-01 1.346898e+03 1.496806e-01 8.168184e-02
6.746805e-02 5.699726e-02 6.808251e+00 1.720579e-01 1.597638e-01
6.764503e-02 2.213885e-01 4.636546e+01 1.731066e-01 1.394008e-01
6.807621e-02 5.020395e-01 2.992766e+02 1.456908e-01 8.734197e-02
