# x y Q2 xsec_nu xsec_nub
3.925194e-03 5.536550e-01 6.323387e+00 5.449614e-01 5.380107e-01
5.383392e-03 4.911039e-01 6.463419e+00 3.794085e-01 3.723004e-01
5.441459e-03 6.874730e-01 1.603992e+01 4.596965e-01 4.527290e-01
7.381227e-03 4.311427e-01 6.556102e+00 2.607170e-01 2.539338e-01
7.451026e-03 6.463280e-01 1.820063e+01 3.185268e-01 3.118601e-01
1.009416e-02 3.734565e-01 6.705695e+00 1.776687e-01 1.716463e-01
1.019481e-02 6.119909e-01 2.085579e+01 2.171590e-01 2.111348e-01
1.383391e-02 3.177946e-01 6.784055e+00 1.182673e-01 1.129834e-01
1.396599e-02 5.788555e-01 2.426268e+01 1.554702e-01 1.501997e-01
1.894139e-02 2.666291e-01 6.863669e+00 7.754730e-02 7.287887e-02
1.911509e-02 5.449124e-01 2.785003e+01 1.013468e-01 9.673041e-02
2.583686e-02 2.298351e-01 7.370771e+00 5.088496e-02 4.674610e-02
2.624364e-02 5.057471e-01 3.162752e+01 6.465143e-02 6.057669e-02
3.521419e-02 2.030094e-01 8.303939e+00 3.313892e-02 2.943178e-02
3.604561e-02 4.606557e-01 3.520805e+01 4.028284e-02 3.668227e-02
3.674981e-02 7.393763e-01 1.379707e+02 3.740635e-02 3.380137e-02
4.933705e-02 4.172654e-01 3.857775e+01 2.461323e-02 2.140922e-02
5.012647e-02 6.961949e-01 1.516728e+02 2.258987e-02 1.941696e-02
6.730497e-02 3.794509e-01 4.353523e+01 1.484854e-02 1.200964e-02
6.836310e-02 6.523803e-01 1.685971e+02 1.345153e-02 1.069529e-02
9.206928e-02 3.446416e-01 4.934540e+01 8.809926e-03 6.365812e-03
9.330548e-02 6.149860e-01 1.893834e+02 7.876458e-03 5.573299e-03
1.262136e-01 3.089219e-01 5.549030e+01 5.116690e-03 3.186199e-03
1.277969e-01 5.782618e-01 2.147405e+02 4.468668e-03 2.712005e-03
1.731282e-01 2.730050e-01 6.196384e+01 2.831844e-03 1.458501e-03
1.752299e-01 5.337832e-01 2.424130e+02 2.394717e-03 1.192212e-03
2.363814e-01 2.346581e-01 6.947170e+01 1.418846e-03 5.733659e-04
2.396900e-01 4.802546e-01 2.715373e+02 1.147302e-03 4.404723e-04
3.182622e-01 2.029536e-01 7.846543e+01 6.361327e-04 1.917193e-04
3.247658e-01 4.154475e-01 2.949847e+02 4.893704e-04 1.335580e-04
4.328070e-01 3.438952e-01 3.124799e+02 1.986807e-04 3.137637e-05
6.122359e-01 2.838597e-01 3.456565e+02 4.052689e-05 7.215190e-06
