# x y Q2 xsec_nu xsec_nub
1.011325e-02 3.483698e-01 6.713319e+00 1.806071e-01 1.745390e-01
1.022352e-02 6.097370e-01 2.129569e+01 2.177378e-01 2.117105e-01
1.374462e-02 2.928014e-01 6.775840e+00 1.215292e-01 1.161857e-01
1.387679e-02 5.771997e-01 2.494518e+01 1.577984e-01 1.525008e-01
1.909528e-02 2.400526e-01 6.855047e+00 7.802989e-02 7.333775e-02
1.927306e-02 5.394319e-01 2.914067e+01 1.010618e-01 9.644667e-02
2.594834e-02 2.046718e-01 7.339553e+00 5.134910e-02 4.718518e-02
2.635804e-02 4.998866e-01 3.340459e+01 6.486542e-02 6.078383e-02
3.584470e-02 4.546364e-01 3.725363e+01 4.103433e-02 3.741372e-02
4.930138e-02 4.077465e-01 4.089204e+01 2.489441e-02 2.167961e-02
5.015983e-02 6.944841e-01 1.523781e+02 2.258211e-02 1.940986e-02
6.798035e-02 3.628345e-01 4.572019e+01 1.475651e-02 1.192238e-02
6.903317e-02 6.498566e-01 1.701995e+02 1.323594e-02 1.049308e-02
9.254669e-02 3.229919e-01 5.087814e+01 8.819092e-03 6.378616e-03
9.377791e-02 6.132097e-01 1.926588e+02 7.807237e-03 5.513829e-03
1.253366e-01 2.875978e-01 5.635690e+01 5.220616e-03 3.276078e-03
1.270433e-01 5.794095e-01 2.207528e+02 4.509591e-03 2.746561e-03
1.751640e-01 2.497598e-01 6.310136e+01 2.782184e-03 1.428732e-03
1.776073e-01 5.396657e-01 2.572064e+02 2.310354e-03 1.138034e-03
2.382221e-01 2.170205e-01 7.063019e+01 1.396543e-03 5.637003e-04
2.417687e-01 5.026167e-01 2.949005e+02 1.104424e-03 4.180375e-04
3.152045e-01 1.952984e-01 7.883364e+01 6.551770e-04 2.005781e-04
3.204437e-01 4.624361e-01 3.261702e+02 4.962063e-04 1.349585e-04
4.582121e-01 4.071737e-01 3.610853e+02 1.580202e-04 1.941993e-05
6.224640e-01 3.653528e-01 4.032859e+02 3.376683e-05 5.979958e-06
6.329496e-01 6.586673e-01 1.569899e+03 1.655504e-05 2.825920e-06
8.199672e-01 3.341691e-01 4.571956e+02 3.217562e-06 -1.046232e-07
8.291156e-01 6.225910e-01 1.711085e+03 1.490782e-06 -2.273100e-08
