# x y Q2 xsec_nu xsec_nub
7.385422e-03 4.355486e-01 6.588937e+00 2.645676e-01 2.547368e-01
7.448985e-03 6.467177e-01 1.819266e+01 3.252350e-01 3.155019e-01
1.009329e-02 3.801455e-01 6.696031e+00 1.807273e-01 1.721293e-01
1.019797e-02 6.122387e-01 2.074571e+01 2.227878e-01 2.142135e-01
1.384281e-02 3.205654e-01 6.775795e+00 1.215429e-01 1.142119e-01
1.396542e-02 5.817728e-01 2.428093e+01 1.608233e-01 1.534466e-01
1.895102e-02 2.701494e-01 6.879040e+00 8.052353e-02 7.427694e-02
1.913219e-02 5.448744e-01 2.790318e+01 1.058950e-01 9.961836e-02
2.581900e-02 2.307346e-01 7.369521e+00 5.343282e-02 4.795473e-02
2.625742e-02 5.074949e-01 3.162894e+01 6.812808e-02 6.273426e-02
3.522243e-02 2.050688e-01 8.296757e+00 3.503077e-02 3.013252e-02
3.603803e-02 4.648710e-01 3.529034e+01 4.280300e-02 3.806043e-02
4.933011e-02 4.203362e-01 3.866450e+01 2.640461e-02 2.218098e-02
5.006020e-02 6.965347e-01 1.514882e+02 2.444584e-02 2.026808e-02
6.726608e-02 3.834485e-01 4.364878e+01 1.609797e-02 1.235163e-02
6.830915e-02 6.548959e-01 1.683371e+02 1.465576e-02 1.102467e-02
9.198602e-02 3.476395e-01 4.951281e+01 9.634616e-03 6.410588e-03
9.315493e-02 6.156920e-01 1.893703e+02 8.654084e-03 5.607410e-03
1.260866e-01 3.093019e-01 5.545720e+01 5.721385e-03 3.107257e-03
1.275858e-01 5.785624e-01 2.143478e+02 5.005263e-03 2.617477e-03
1.733044e-01 2.699741e-01 6.189894e+01 3.300700e-03 1.394844e-03
1.752640e-01 5.302713e-01 2.414623e+02 2.781777e-03 1.112280e-03
2.370634e-01 2.309718e-01 6.937739e+01 1.765330e-03 5.880700e-04
2.402470e-01 4.731867e-01 2.707090e+02 1.412730e-03 4.338960e-04
3.217708e-01 1.936207e-01 7.868708e+01 8.357929e-04 2.595824e-04
3.282935e-01 4.031509e-01 2.931914e+02 6.323518e-04 1.801599e-04
4.483970e-01 3.394422e-01 3.116640e+02 2.654129e-04 8.874092e-05
5.995796e-01 2.918713e-01 3.390569e+02 8.037697e-05 2.804611e-05
