# x y Q2 xsec_nu xsec_nub
8.358806e-04 8.801502e-01 4.838842e+00 2.635303e+00 2.635823e+00
1.134610e-03 8.195275e-01 4.875839e+00 1.891094e+00 1.889273e+00
1.547269e-03 7.633028e-01 5.240744e+00 1.394826e+00 1.391068e+00
1.606810e-03 7.942294e-01 1.039231e+01 1.795256e+00 1.791242e+00
2.090060e-03 6.900663e-01 5.514119e+00 1.033661e+00 1.028446e+00
2.210103e-03 8.600195e-01 1.195242e+01 1.211691e+00 1.206309e+00
2.899983e-03 6.463823e-01 5.856324e+00 7.252763e-01 7.190012e-01
2.941226e-03 7.987188e-01 1.207281e+01 8.761470e-01 8.699029e-01
3.939724e-03 5.922678e-01 6.061923e+00 5.158962e-01 5.090325e-01
4.033433e-03 7.509795e-01 1.321869e+01 6.171323e-01 6.103409e-01
5.327104e-03 5.215130e-01 6.264692e+00 3.704955e-01 3.634525e-01
5.417795e-03 7.150626e-01 1.460912e+01 4.406082e-01 4.337244e-01
7.437318e-03 4.503990e-01 6.408100e+00 2.516100e-01 2.448949e-01
7.513446e-03 6.623924e-01 1.613743e+01 3.007965e-01 2.942170e-01
1.014106e-02 3.834744e-01 6.539707e+00 1.732478e-01 1.672666e-01
1.025354e-02 6.215761e-01 1.820057e+01 2.064838e-01 2.005416e-01
1.380615e-02 3.255635e-01 6.616072e+00 1.166573e-01 1.113854e-01
1.392130e-02 5.813618e-01 2.081352e+01 1.408706e-01 1.356636e-01
1.460916e-02 9.534339e-01 1.074003e+02 1.442792e-01 1.389723e-01
1.914366e-02 2.681747e-01 6.697637e+00 7.544007e-02 7.079817e-02
1.931841e-02 5.372248e-01 2.407613e+01 9.161520e-02 8.704235e-02
2.034694e-02 8.471387e-01 1.134550e+02 9.121972e-02 8.660902e-02
2.598542e-02 2.299971e-01 7.245943e+00 5.009473e-02 4.596641e-02
2.641541e-02 4.995140e-01 2.774598e+01 6.310716e-02 5.906981e-02
2.732969e-02 8.115450e-01 1.190002e+02 5.837790e-02 5.430858e-02
3.514316e-02 2.046913e-01 8.235547e+00 3.311416e-02 2.940597e-02
3.597567e-02 4.544856e-01 3.124996e+01 3.999620e-02 3.641024e-02
3.686406e-02 7.650139e-01 1.274295e+02 3.669012e-02 3.309859e-02
4.530669e-02 1.850108e-01 9.231285e+00 2.296874e-02 1.955704e-02
4.953074e-02 3.999436e-01 3.425953e+01 2.438187e-02 2.119073e-02
5.047787e-02 7.125870e-01 1.381384e+02 2.212712e-02 1.896513e-02
6.807897e-02 3.630750e-01 3.986391e+01 1.456904e-02 1.174450e-02
6.933537e-02 6.591662e-01 1.511023e+02 1.309017e-02 1.034609e-02
9.277627e-02 3.271159e-01 4.607435e+01 8.724983e-03 6.287923e-03
9.413363e-02 6.099268e-01 1.668770e+02 7.793523e-03 5.488759e-03
1.262398e-01 2.868889e-01 5.230051e+01 5.147341e-03 3.211173e-03
1.277123e-01 5.491901e-01 1.830717e+02 4.551856e-03 2.770291e-03
1.391423e-01 8.477156e-01 1.107244e+03 2.750725e-03 1.555663e-03
1.755309e-01 2.511944e-01 6.009813e+01 2.772259e-03 1.418689e-03
1.782516e-01 4.936527e-01 2.066357e+02 2.365334e-03 1.169142e-03
1.878135e-01 8.606814e-01 1.100871e+03 1.458995e-03 6.608975e-04
2.388303e-01 2.233136e-01 6.885234e+01 1.387610e-03 5.570957e-04
2.426965e-01 4.508810e-01 2.327221e+02 1.139111e-03 4.343781e-04
2.510772e-01 8.164153e-01 1.160582e+03 6.961853e-04 2.373391e-04
3.186494e-01 1.987820e-01 7.823539e+01 6.347497e-04 1.914208e-04
3.236301e-01 3.931172e-01 2.502069e+02 5.091878e-04 1.408887e-04
3.255401e-01 7.484964e-01 1.206671e+03 3.238376e-04 7.624744e-05
4.337221e-01 1.736682e-01 9.037105e+01 2.449162e-04 4.454453e-05
4.601890e-01 3.238266e-01 2.669901e+02 1.682329e-04 2.288466e-05
4.717755e-01 6.374285e-01 1.281189e+03 9.407722e-05 7.860101e-06
5.312705e-01 1.848527e-01 9.980178e+01 1.207518e-04 1.416647e-05
6.235858e-01 3.004726e-01 3.149718e+02 3.615615e-05 6.790433e-06
6.386455e-01 5.819322e-01 1.356877e+03 1.669871e-05 3.181772e-06
8.215302e-01 2.840683e-01 3.785426e+02 3.343579e-06 -1.247202e-07
8.341711e-01 5.347305e-01 1.437306e+03 1.495012e-06 -2.878577e-08
