# x y Q2 xsec_nu xsec_nub
4.653642e-04 9.544331e-01 4.499471e+00 4.994651e+00 5.048552e+00
6.023158e-04 8.460499e-01 4.804296e+00 4.048799e+00 4.087928e+00
8.054870e-04 7.677954e-01 5.295361e+00 3.136641e+00 3.160906e+00
1.103386e-03 6.876627e-01 6.165672e+00 2.427237e+00 2.438839e+00
1.199512e-03 9.048747e-01 1.083793e+01 2.431651e+00 2.441018e+00
1.502325e-03 5.887319e-01 6.605884e+00 1.827338e+00 1.829242e+00
1.550446e-03 8.271502e-01 1.182182e+01 1.908751e+00 1.910506e+00
2.056204e-03 4.894521e-01 6.711767e+00 1.326403e+00 1.321337e+00
2.088313e-03 7.572105e-01 1.365257e+01 1.441174e+00 1.436623e+00
2.832968e-03 3.937977e-01 6.922080e+00 9.550558e-01 9.456874e-01
2.868817e-03 6.816224e-01 1.588118e+01 1.058226e+00 1.049555e+00
3.867511e-03 3.085769e-01 6.969445e+00 6.771188e-01 6.657897e-01
3.910165e-03 6.374154e-01 1.923522e+01 7.698911e-01 7.593440e-01
5.332159e-03 2.490415e-01 6.923533e+00 4.589727e-01 4.474010e-01
5.376057e-03 5.966340e-01 2.372244e+01 5.470499e-01 5.361735e-01
7.283820e-03 1.850251e-01 6.864471e+00 3.135878e-01 3.028049e-01
7.357012e-03 5.671791e-01 2.985817e+01 4.031475e-01 3.930275e-01
1.004141e-02 1.418935e-01 7.016726e+00 2.091312e-01 1.997679e-01
1.009387e-02 5.412153e-01 3.841355e+01 2.748667e-01 2.658660e-01
1.106434e-02 9.196172e-01 1.052370e+02 2.235739e-01 2.150243e-01
1.373133e-02 1.050598e-01 7.059776e+00 1.378983e-01 1.299738e-01
1.382972e-02 4.866762e-01 4.486927e+01 1.843286e-01 1.766125e-01
1.436363e-02 8.594588e-01 1.164126e+02 1.585910e-01 1.511355e-01
1.893405e-02 8.044442e-02 7.091961e+00 8.805564e-02 8.141793e-02
1.897474e-02 4.081072e-01 4.842158e+01 1.215382e-01 1.149763e-01
1.947225e-02 7.693783e-01 1.319940e+02 1.056273e-01 9.925740e-02
2.594167e-02 6.240370e-02 7.205886e+00 5.574426e-02 5.001624e-02
2.598053e-02 3.360215e-01 5.129325e+01 7.840160e-02 7.276367e-02
2.639133e-02 7.034552e-01 1.534399e+02 6.851789e-02 6.302384e-02
3.557055e-02 4.649578e-02 7.374244e+00 3.470162e-02 2.962353e-02
3.566166e-02 2.684474e-01 5.228651e+01 4.883811e-02 4.390861e-02
3.618693e-02 6.486397e-01 1.841340e+02 4.238401e-02 3.760194e-02
4.820685e-02 3.747180e-02 7.673717e+00 2.180024e-02 1.721098e-02
4.897279e-02 2.090832e-01 5.387375e+01 2.964792e-02 2.529567e-02
4.957802e-02 6.095022e-01 2.266382e+02 2.541921e-02 2.125374e-02
6.715395e-02 1.623725e-01 5.526338e+01 1.761644e-02 1.379955e-02
6.803198e-02 5.825176e-01 2.876338e+02 1.477200e-02 1.122172e-02
9.212532e-02 1.266102e-01 5.700281e+01 1.029737e-02 7.044249e-03
9.330445e-02 5.519200e-01 3.659470e+02 8.397392e-03 5.503773e-03
1.052238e-01 9.495164e-01 1.035315e+03 5.175882e-03 3.019666e-03
1.267209e-01 9.914203e-02 6.059327e+01 5.995329e-03 3.379330e-03
1.276447e-01 5.075446e-01 4.448369e+02 4.736063e-03 2.530883e-03
1.349260e-01 8.706975e-01 1.128952e+03 3.242533e-03 1.565440e-03
1.740196e-01 7.456987e-02 6.160985e+01 3.444681e-03 1.537471e-03
1.747921e-01 4.319023e-01 4.876005e+02 2.617810e-03 1.097249e-03
1.799304e-01 7.898294e-01 1.270491e+03 1.793875e-03 6.686762e-04
2.384199e-01 5.673532e-02 6.461185e+01 1.843083e-03 6.642363e-04
2.398246e-01 3.540127e-01 5.140246e+02 1.325990e-03 4.434571e-04
2.446001e-01 7.155133e-01 1.462042e+03 8.534652e-04 2.411636e-04
3.266705e-01 4.219449e-02 6.529731e+01 8.639681e-04 2.967911e-04
3.286942e-01 2.836319e-01 5.335003e+02 5.906281e-04 1.895282e-04
3.339514e-01 6.597937e-01 1.750704e+03 3.393623e-04 8.676578e-05
4.455657e-01 3.323001e-02 6.663131e+01 3.849389e-04 1.553949e-04
4.516526e-01 2.162043e-01 5.393660e+02 2.435176e-04 8.988294e-05
4.566834e-01 6.118828e-01 2.135987e+03 1.201451e-04 3.395770e-05
6.180630e-01 1.656295e-01 5.498954e+02 6.083889e-05 2.352182e-05
6.238343e-01 5.725493e-01 2.648665e+03 2.321799e-05 7.026017e-06
8.474980e-01 1.237857e-01 5.582213e+02 6.738286e-07 6.622987e-07
8.514353e-01 5.265396e-01 3.251184e+03 7.835667e-08 1.684430e-07
9.977282e-01 9.585248e-01 1.016770e+04 4.431460e-09 2.618563e-09
