# x y Q2 xsec_nu xsec_nub
1.912138e-02 5.410335e-01 2.834456e+01 2.035658e-01 1.943203e-01
2.625000e-02 5.022370e-01 3.205061e+01 1.297268e-01 1.215689e-01
3.602833e-02 4.583118e-01 3.561241e+01 8.083137e-02 7.362306e-02
4.926757e-02 4.051996e-01 3.848742e+01 4.963493e-02 4.321543e-02
6.714096e-02 3.561787e-01 4.303593e+01 3.011817e-02 2.442336e-02
9.185780e-02 3.081474e-01 4.868526e+01 1.793865e-02 1.302947e-02
9.295259e-02 5.687263e-01 1.907482e+02 1.611635e-02 1.148807e-02
1.258948e-01 2.615653e-01 5.457824e+01 1.044265e-02 6.559026e-03
1.272942e-01 5.125788e-01 2.171034e+02 9.177496e-03 5.642542e-03
1.728006e-01 2.182066e-01 6.114165e+01 5.775414e-03 3.012286e-03
1.747563e-01 4.491945e-01 2.448041e+02 4.918212e-03 2.499051e-03
2.390708e-01 3.869784e-01 2.728259e+02 2.359552e-03 9.355094e-04
