# x y Q2 xsec_nu xsec_nub
6.522737e-04 8.931740e-01 4.150569e+00 3.352070e+00 3.384571e+00
8.172470e-04 8.283996e-01 4.834327e+00 2.902353e+00 2.925216e+00
1.128112e-03 7.816485e-01 5.173592e+00 2.084026e+00 2.093940e+00
1.041377e-03 9.553560e-01 1.006477e+01 2.832415e+00 2.847230e+00
1.531420e-03 7.277375e-01 5.547838e+00 1.530931e+00 1.531956e+00
1.544313e-03 8.758732e-01 1.102586e+01 1.874010e+00 1.876021e+00
2.076740e-03 6.671058e-01 5.840040e+00 1.113929e+00 1.108867e+00
2.130519e-03 8.109321e-01 1.192955e+01 1.334131e+00 1.329447e+00
2.883547e-03 6.079787e-01 6.130146e+00 7.816934e-01 7.727734e-01
2.930751e-03 7.804776e-01 1.328744e+01 9.366350e-01 9.281141e-01
3.928246e-03 5.497910e-01 6.294084e+00 5.521658e-01 5.416603e-01
3.988852e-03 7.351747e-01 1.447220e+01 6.625716e-01 6.523858e-01
5.309392e-03 4.872793e-01 6.449188e+00 3.925355e-01 3.818557e-01
5.380531e-03 6.911270e-01 1.610978e+01 4.740375e-01 4.635995e-01
7.422616e-03 4.216830e-01 6.538731e+00 2.644614e-01 2.546072e-01
7.484450e-03 6.487276e-01 1.847207e+01 3.240828e-01 3.143618e-01
1.012251e-02 3.633023e-01 6.665582e+00 1.817589e-01 1.731281e-01
1.022540e-02 6.127955e-01 2.115731e+01 2.229316e-01 2.143604e-01
1.124451e-02 9.714603e-01 1.058302e+02 2.179983e-01 2.095343e-01
1.375989e-02 3.099752e-01 6.729839e+00 1.230937e-01 1.157136e-01
1.387930e-02 5.804380e-01 2.461454e+01 1.627009e-01 1.552922e-01
1.467318e-02 8.850298e-01 1.113981e+02 1.539548e-01 1.465915e-01
1.910030e-02 2.596459e-01 6.810912e+00 7.980032e-02 7.355895e-02
1.927811e-02 5.443425e-01 2.858258e+01 1.050849e-01 9.882540e-02
1.991304e-02 8.362949e-01 1.189030e+02 9.989500e-02 9.362530e-02
2.595245e-02 2.238482e-01 7.323908e+00 5.310997e-02 4.763263e-02
2.636376e-02 5.047918e-01 3.248063e+01 6.800062e-02 6.260827e-02
2.698639e-02 7.838129e-01 1.263809e+02 6.415305e-02 5.874016e-02
3.501390e-02 1.992775e-01 8.259825e+00 3.542023e-02 3.050363e-02
3.583684e-02 4.609201e-01 3.607225e+01 4.335350e-02 3.859341e-02
3.653377e-02 7.419417e-01 1.369057e+02 4.034812e-02 3.559453e-02
4.510075e-02 1.815015e-01 9.221584e+00 2.478405e-02 2.025330e-02
4.926881e-02 4.155832e-01 3.946132e+01 2.655321e-02 2.232263e-02
5.010652e-02 6.976513e-01 1.513992e+02 2.439801e-02 2.022220e-02
6.797040e-02 3.733829e-01 4.429149e+01 1.588833e-02 1.215469e-02
6.898297e-02 6.520113e-01 1.690741e+02 1.442297e-02 1.080920e-02
9.238918e-02 3.363082e-01 4.959894e+01 9.599618e-03 6.380849e-03
9.359538e-02 6.141546e-01 1.903896e+02 8.585840e-03 5.548975e-03
1.239827e-01 3.026869e-01 5.529650e+01 5.899583e-03 3.249274e-03
1.256520e-01 5.781160e-01 2.153105e+02 5.142373e-03 2.722800e-03
1.361013e-01 9.052237e-01 1.102470e+03 3.205747e-03 1.530703e-03
1.753012e-01 2.643044e-01 6.269839e+01 3.235293e-03 1.356782e-03
1.776940e-01 5.356117e-01 2.498501e+02 2.694647e-03 1.062393e-03
1.849402e-01 8.427969e-01 1.159465e+03 1.737490e-03 6.228178e-04
2.382876e-01 2.314500e-01 7.044549e+01 1.743267e-03 5.789534e-04
2.416947e-01 4.979182e-01 2.835999e+02 1.375560e-03 4.156777e-04
2.479392e-01 7.961655e-01 1.230749e+03 8.709878e-04 2.354012e-04
3.134740e-01 2.088251e-01 7.851845e+01 8.906704e-04 2.724355e-04
3.174735e-01 4.530095e-01 3.092059e+02 6.776486e-04 1.858747e-04
3.217455e-01 7.522281e-01 1.297823e+03 4.228812e-04 1.011198e-04
4.332946e-01 1.743758e-01 9.033765e+01 3.738855e-04 1.370874e-04
4.588740e-01 3.792578e-01 3.329586e+02 2.410208e-04 7.840705e-05
4.670731e-01 6.835932e-01 1.420345e+03 1.356739e-04 3.649580e-05
5.309837e-01 4.059028e-01 9.964989e+01 1.803089e-04 5.618059e-05
6.231894e-01 3.421045e-01 3.740374e+02 5.962165e-05 2.048463e-05
6.337885e-01 6.385224e-01 1.551087e+03 2.808541e-05 8.288648e-06
8.213496e-01 3.169252e-01 4.300767e+02 2.223063e-06 1.292789e-06
8.303219e-01 5.988812e-01 1.677210e+03 8.663044e-07 5.143459e-07
