# x y Q2 xsec_nu xsec_nub
6.579024e-04 9.162249e-01 4.846443e+00 1.868804e+01 1.794095e+01
8.152108e-04 8.334988e-01 4.783053e+00 1.513094e+01 1.448563e+01
1.133993e-03 7.667540e-01 5.267991e+00 1.109643e+01 1.056925e+01
1.088849e-03 9.430440e-01 1.006790e+01 1.299128e+01 1.238454e+01
1.532895e-03 7.361420e-01 5.555860e+00 8.084339e+00 7.641098e+00
1.591820e-03 8.573857e-01 1.135064e+01 8.948201e+00 8.458673e+00
2.091842e-03 6.585253e-01 5.796670e+00 6.006350e+00 5.648749e+00
2.163688e-03 8.114980e-01 1.210922e+01 6.470719e+00 6.059609e+00
2.863256e-03 6.029683e-01 6.082277e+00 4.389332e+00 4.098496e+00
2.920029e-03 7.703679e-01 1.331493e+01 4.739482e+00 4.391890e+00
3.932334e-03 5.372582e-01 6.288965e+00 3.208421e+00 2.976710e+00
3.954932e-03 7.201216e-01 1.451829e+01 3.467793e+00 3.176449e+00
5.392419e-03 4.710405e-01 6.390220e+00 2.339429e+00 2.157259e+00
5.448168e-03 6.743266e-01 1.591902e+01 2.477980e+00 2.235512e+00
7.394479e-03 4.166214e-01 6.489555e+00 1.693338e+00 1.549519e+00
7.456851e-03 6.331411e-01 1.799933e+01 1.787139e+00 1.583580e+00
1.011481e-02 3.602297e-01 6.580232e+00 1.233256e+00 1.121424e+00
1.020107e-02 5.921520e-01 2.035937e+01 1.287039e+00 1.116192e+00
1.387944e-02 3.014331e-01 6.655143e+00 8.972451e-01 8.124742e-01
1.398510e-02 5.577548e-01 2.360944e+01 9.209511e-01 7.767849e-01
1.485552e-02 8.702495e-01 1.111113e+02 8.441767e-01 6.611156e-01
1.901407e-02 2.518251e-01 6.737755e+00 6.507173e-01 5.865769e-01
1.916281e-02 5.156814e-01 2.681847e+01 6.709331e-01 5.507850e-01
1.976736e-02 8.306262e-01 1.190391e+02 6.050303e-01 4.474804e-01
2.588608e-02 2.139112e-01 7.266992e+00 4.759657e-01 4.263881e-01
2.630211e-02 4.729158e-01 2.998938e+01 4.753402e-01 3.770326e-01
2.685310e-02 7.794838e-01 1.281087e+02 4.257851e-01 2.936760e-01
3.529250e-02 1.891664e-01 8.248549e+00 3.443744e-01 3.049116e-01
3.612322e-02 4.238635e-01 3.291644e+01 3.349656e-01 2.570155e-01
3.671384e-02 7.268796e-01 1.376290e+02 2.968609e-01 1.885688e-01
4.547087e-02 1.720795e-01 9.262109e+00 2.624696e-01 2.297477e-01
4.944870e-02 3.673955e-01 3.515151e+01 2.361527e-01 1.768069e-01
5.005155e-02 6.643093e-01 1.503786e+02 2.078391e-01 1.215430e-01
6.749688e-02 3.195801e-01 3.957219e+01 1.655529e-01 1.209939e-01
6.844411e-02 5.998911e-01 1.654922e+02 1.444452e-01 7.791872e-02
9.252376e-02 2.750834e-01 4.551973e+01 1.141992e-01 8.184990e-02
9.354858e-02 5.314835e-01 1.828086e+02 9.965321e-02 5.042292e-02
1.268958e-01 2.343103e-01 5.196027e+01 7.749878e-02 5.499016e-02
1.283122e-01 4.647274e-01 2.020810e+02 6.725798e-02 3.269177e-02
1.357651e-01 8.582484e-01 1.098254e+03 4.407761e-02 1.050012e-02
1.741693e-01 1.981194e-01 5.959810e+01 5.063442e-02 3.598145e-02
1.763094e-01 3.959919e-01 2.208858e+02 4.351696e-02 2.121882e-02
1.825206e-01 7.693107e-01 1.134203e+03 2.876016e-02 5.753454e-03
2.381520e-01 1.666344e-01 6.845282e+01 3.075327e-02 2.221567e-02
2.417458e-01 3.349167e-01 2.404537e+02 2.588584e-02 1.309420e-02
2.472770e-01 6.752528e-01 1.196804e+03 1.688834e-02 3.226939e-03
3.230029e-01 1.409995e-01 7.844404e+01 1.649477e-02 1.231060e-02
3.299322e-01 2.791736e-01 2.586631e+02 1.330821e-02 7.300815e-03
3.361848e-01 5.766779e-01 1.260949e+03 8.351709e-03 1.888444e-03
4.248932e-01 1.204741e-01 8.941744e+01 7.694195e-03 5.975535e-03
4.451399e-01 2.332279e-01 2.788898e+02 5.385146e-03 3.263375e-03
4.521916e-01 4.946228e-01 1.324750e+03 3.166447e-03 9.338200e-04
5.958229e-01 1.956165e-01 3.084333e+02 1.303311e-03 8.541562e-04
6.051646e-01 4.241827e-01 1.393931e+03 6.792523e-04 2.563236e-04
7.773723e-01 1.730342e-01 3.626321e+02 9.858786e-05 7.190156e-05
7.832313e-01 3.648572e-01 1.473405e+03 4.600164e-05 2.321131e-05
