# x y Q2 xsec_nu xsec_nub
1.398764e-02 5.560449e-01 2.524439e+01 9.494417e-01 8.045255e-01
1.903272e-02 2.471328e-01 6.758521e+00 6.526534e-01 5.894526e-01
1.918281e-02 5.131009e-01 2.837431e+01 6.748189e-01 5.546677e-01
2.585416e-02 2.108149e-01 7.281293e+00 4.778323e-01 4.287884e-01
2.631925e-02 4.792224e-01 3.170278e+01 4.751464e-01 3.757278e-01
3.612386e-02 4.373748e-01 3.528165e+01 3.337189e-01 2.538518e-01
4.948921e-02 3.883628e-01 3.789187e+01 2.340649e-01 1.722029e-01
5.010340e-02 6.626570e-01 1.631547e+02 2.073732e-01 1.213902e-01
6.756707e-02 3.407800e-01 4.257482e+01 1.639744e-01 1.172304e-01
6.861237e-02 6.122785e-01 1.806097e+02 1.429554e-01 7.602409e-02
9.259249e-02 2.945235e-01 4.827976e+01 1.132175e-01 7.918886e-02
9.375989e-02 5.632278e-01 2.038837e+02 9.785892e-02 4.731833e-02
1.269488e-01 2.494988e-01 5.427703e+01 7.699850e-02 5.342331e-02
1.285092e-01 5.088116e-01 2.315992e+02 6.570236e-02 2.952376e-02
1.741506e-01 2.087874e-01 6.117688e+01 5.044375e-02 3.520607e-02
1.761766e-01 4.464054e-01 2.593030e+02 4.244302e-02 1.861236e-02
2.378770e-01 1.734822e-01 6.926167e+01 3.075161e-02 2.193068e-02
2.410637e-01 3.847987e-01 2.871239e+02 2.525484e-02 1.135484e-02
3.225879e-01 1.442313e-01 7.877155e+01 1.653064e-02 1.225646e-02
3.287859e-01 3.195146e-01 3.067659e+02 1.301238e-02 6.461837e-03
4.437368e-01 2.608514e-01 3.237657e+02 5.275751e-03 2.994941e-03
5.943688e-01 2.113764e-01 3.430292e+02 1.285918e-03 8.145807e-04
