# x y Q2 xsec_nu xsec_nub
2.630211e-02 4.729158e-01 2.998938e+01 2.376701e-01 1.885163e-01
3.612322e-02 4.238635e-01 3.291644e+01 1.674828e-01 1.285077e-01
4.944870e-02 3.673955e-01 3.515151e+01 1.180763e-01 8.840343e-02
6.749688e-02 3.195801e-01 3.957219e+01 8.277644e-02 6.049693e-02
9.252376e-02 2.750834e-01 4.551973e+01 5.709959e-02 4.092495e-02
1.268958e-01 2.343103e-01 5.196027e+01 3.874939e-02 2.749508e-02
1.741693e-01 1.981194e-01 5.959810e+01 2.531721e-02 1.799072e-02
1.763094e-01 3.959919e-01 2.208858e+02 2.175848e-02 1.060941e-02
2.381520e-01 1.666344e-01 6.845282e+01 1.537663e-02 1.110784e-02
2.417458e-01 3.349167e-01 2.404537e+02 1.294292e-02 6.547100e-03
3.299322e-01 2.791736e-01 2.586631e+02 6.654105e-03 3.650407e-03
4.451399e-01 2.332279e-01 2.788898e+02 2.692573e-03 1.631687e-03
